GS1-2017 encoding fixes
Format: Line | Q# | Before => After
559 | Q44 | The terms ‘Event Horizon’, ‘Singularity’, ‘String Theory’ and ‘Standard Model’ are sometimes seen in the news in the context of => The terms 'Event Horizon', 'Singularity', 'String Theory' and 'Standard Model' are sometimes seen in the news in the context of
568 | Q45 | With reference to agriculture in India, how can the technique of ‘genome sequencing’, often seen in the news, be used in the immediate future ? => With reference to agriculture in India, how can the technique of 'genome sequencing', often seen in the news, be used in the immediate future ?
645 | Q52 | With reference to ‘Global Climate Change Alliance’, which of the following statements is/are correct? => With reference to 'Global Climate Change Alliance', which of the following statements is/are correct?
693 | Q55 | With reference to ‘National Investment and Infrastructure Fund’, which of the following statements is/are correct ? => With reference to 'National Investment and Infrastructure Fund', which of the following statements is/are correct ?
697 | Q55 | It has a corpus of ₹ 4,00,000 crore at present. => It has a corpus of ? 4,00,000 crore at present.
766 | Q61 | With reference to ‘National Skills Qualification Framework (NSQF)’, which of the statements given below is/are correct ? => With reference to 'National Skills Qualification Framework (NSQF)', which of the statements given below is/are correct ?
780 | Q62 | In the context of Indian history, the principle of ‘Dyarchy (diarchy)’ refers to => In the context of Indian history, the principle of 'Dyarchy (diarchy)' refers to
789 | Q63 | Consider the following in respect of ‘National Career Service’ : => Consider the following in respect of 'National Career Service' :
803 | Q64 | Which of the following statements best describes the term ‘Scheme for Sustainable Structuring of Stressed Assets (S4A)’, recently seen in the news ? => Which of the following statements best describes the term 'Scheme for Sustainable Structuring of Stressed Assets (S4A)', recently seen in the news ?
808 | Q64 | (d) It is an important provision in ‘The Insolvency and Bankruptcy Code’ recently implemented by the Government. => (d) It is an important provision in 'The Insolvency and Bankruptcy Code' recently implemented by the Government.
826 | Q66 | With reference to ‘Indian Ocean Dipole (IOD)’ sometimes mentioned in the news while forecasting Indian monsoon, which of the following statements is/are correct ? => With reference to 'Indian Ocean Dipole (IOD)' sometimes mentioned in the news while forecasting Indian monsoon, which of the following statements is/are correct ?
830 | Q66 | An IOD phenomenon can influence an El Nino’s impact on the monsoon. => An IOD phenomenon can influence an El Nino's impact on the monsoon.
874 | Q70 | Traditions — Communities => Traditions - Communities
876 | Q70 | Chaliha Sahib Festival — Sindhis => Chaliha Sahib Festival - Sindhis
878 | Q70 | Nanda Raj Jaat Yatra — Gonds => Nanda Raj Jaat Yatra - Gonds
880 | Q70 | Wari-Warkari — Santhals => Wari-Warkari - Santhals
908 | Q72 | The nation-wide ‘Soil Health Card Scheme’ aims at => The nation-wide 'Soil Health Card Scheme' aims at
926 | Q73 | Commonly used / consumed materials — Unwanted or controversial chemicals likely to be found in them => Commonly used / consumed materials - Unwanted or controversial chemicals likely to be found in them
928 | Q73 | Lipstick — Lead => Lipstick - Lead
930 | Q73 | Soft drinks — Brominated vegetable oils => Soft drinks - Brominated vegetable oils
932 | Q73 | Chinese fast food — Monosodium glutamate => Chinese fast food - Monosodium glutamate
978 | Q76 | According to the provisions laid down in the Constitution of India, in Lok Sabha, the Speaker’s post goes to the majority party and the Deputy Speaker’s to the Opposition. => According to the provisions laid down in the Constitution of India, in Lok Sabha, the Speaker's post goes to the majority party and the Deputy Speaker's to the Opposition.
992 | Q77 | Share of India’s exports in world trade increased. => Share of India's exports in world trade increased.
996 | Q77 | India’s foreign exchange reserves increased enormously. => India's foreign exchange reserves increased enormously.
1029 | Q80 | The term ‘M-STrIPES’ is sometimes seen in the news in the context of => The term 'M-STrIPES' is sometimes seen in the news in the context of
1038 | Q81 | What is/are the most likely advantages of implementing ‘Goods and Services Tax (GST)’? => What is/are the most likely advantages of implementing 'Goods and Services Tax (GST)'?
1042 | Q81 | It will drastically reduce the ‘Current Account Deficit’ of India and will enable it to increase its foreign exchange reserves. => It will drastically reduce the 'Current Account Deficit' of India and will enable it to increase its foreign exchange reserves.
1054 | Q82 | ‘Broad-based Trade and Investment Agreement (BTIA)’ is sometimes seen in the news in the context of negotiations held between India and => 'Broad-based Trade and Investment Agreement (BTIA)' is sometimes seen in the news in the context of negotiations held between India and
1067 | Q83 | TFA is a part of WTO’s Bali Ministerial Package of 2013. => TFA is a part of WTO's Bali Ministerial Package of 2013.
1081 | Q84 | (a) India’s trade with African countries will enormously increase. => (a) India's trade with African countries will enormously increase.
1082 | Q84 | (b) India’s relations with oil-producing Arab countries will be strengthened. => (b) India's relations with oil-producing Arab countries will be strengthened.
1113 | Q87 | What is the purpose of ‘evolved Laser Interferometer Space Antenna (eLISA)’ project ? => What is the purpose of 'evolved Laser Interferometer Space Antenna (eLISA)' project ?
1122 | Q88 | What is the purpose of ‘Vidyanjali Yojana’ ? => What is the purpose of 'Vidyanjali Yojana' ?
1138 | Q89 | What is the aim of the programme ‘Unnat Bharat Abhiyan’ ? => What is the aim of the programme 'Unnat Bharat Abhiyan' ?
1140 | Q89 | (a) Achieving 100% literacy by promoting collaboration between voluntary organizations and government’s education system and local communities. => (a) Achieving 100% literacy by promoting collaboration between voluntary organizations and government's education system and local communities.
1142 | Q89 | (c) Strengthening India’s scientific research institutions in order to make India a scientific and technological power. => (c) Strengthening India's scientific research institutions in order to make India a scientific and technological power.
1220 | Q96 | Which of the following are not necessarily the consequences of the proclamation of the President’s rule in a State ? => Which of the following are not necessarily the consequences of the proclamation of the President's rule in a State ?
