GS1-2016 fixes
Format: Line | Q# | Before => After
424 | Q61 | B) Gujarat => (b) Gujarat
425 | Q61 | C) Maharashtra => (c) Maharashtra
426 | Q61 | D) Uttar Pradesh => (d) Uttar Pradesh
430 | Q62 | A) 1 and 2 only => (a) 1 and 2 only
431 | Q62 | B) 2 only => (b) 2 only
432 | Q62 | C) 1 and 3 only => (c) 1 and 3 only
433 | Q62 | D) 1, 2 and 3 => (d) 1, 2 and 3
437 | Q63 | A) promoting the Self Help Groups in rural areas => (a) promoting the Self Help Groups in rural areas
438 | Q63 | B) providing financial and technical assistance to young start-up entrepreneurs => (b) providing financial and technical assistance to young start-up entrepreneurs
439 | Q63 | C) promoting the education and health of adolescent girls => (c) promoting the education and health of adolescent girls
440 | Q63 | D) providing affordable and quality education to the citizens for free => (d) providing affordable and quality education to the citizens for free
444 | Q64 | A) social reforms => (a) social reforms
445 | Q64 | B) educational reforms => (b) educational reforms
446 | Q64 | C) reforms in police administration => (c) reforms in police administration
447 | Q64 | D) constitutional reforms => (d) constitutional reforms
451 | Q65 | A) 1 and 2 only => (a) 1 and 2 only
452 | Q65 | B) 3 only => (b) 3 only
453 | Q65 | C) 1 and 3 only => (c) 1 and 3 only
454 | Q65 | D) None of the statements given above is correct => (d) None of the statements given above is correct
458 | Q66 | A) 1 and 2 only => (a) 1 and 2 only
459 | Q66 | B) 2 and 3 only => (b) 2 and 3 only
460 | Q66 | C) 3 only => (c) 3 only
461 | Q66 | D) 1, 2 and 3 => (d) 1, 2 and 3
465 | Q67 | A) 1 only => (a) 1 only
466 | Q67 | B) 2 only => (b) 2 only
467 | Q67 | C) Both 1 and 2 => (c) Both 1 and 2
468 | Q67 | D) Neither 1 nor 2 => (d) Neither 1 nor 2
472 | Q68 | A) constitutional reforms => (a) constitutional reforms
473 | Q68 | B) Ganga Action Plan => (b) Ganga Action Plan
474 | Q68 | C) linking of rivers => (c) linking of rivers
475 | Q68 | D) protection of Western Ghats => (d) protection of Western Ghats
479 | Q69 | A) 1 and 3 only => (a) 1 and 3 only
480 | Q69 | B) 2 and 3 only => (b) 2 and 3 only
481 | Q69 | C) 3 only => (c) 3 only
482 | Q69 | D) 1, 2 and 3 => (d) 1, 2 and 3
486 | Q70 | A) Iran => (a) Iran
487 | Q70 | B) Saudi Arabia => (b) Saudi Arabia
488 | Q70 | C) Oman => (c) Oman
489 | Q70 | D) Kuwait => (d) Kuwait
493 | Q71 | A) 1 only => (a) 1 only
494 | Q71 | B) 2 and 3 only => (b) 2 and 3 only
495 | Q71 | C) 1 and 3 only => (c) 1 and 3 only
496 | Q71 | D) 1, 2 and 3 => (d) 1, 2 and 3
500 | Q72 | A) African Union => (a) African Union
501 | Q72 | B) Brazil => (b) Brazil
502 | Q72 | C) European Union => (c) European Union
503 | Q72 | D) China => (d) China
507 | Q73 | A) bringing the small entrepreneurs into formal financial system => (a) bringing the small entrepreneurs into formal financial system
508 | Q73 | B) providing loans to poor farmers for cultivating particular crops => (b) providing loans to poor farmers for cultivating particular crops
509 | Q73 | C) providing pensions to old and destitute persons => (c) providing pensions to old and destitute persons
510 | Q73 | D) funding the voluntary organizations involved in the promotion of skill development and employment generation => (d) funding the voluntary organizations involved in the promotion of skill development and employment generation
514 | Q74 | A) 1 and 2 only => (a) 1 and 2 only
515 | Q74 | B) 3 only => (b) 3 only
516 | Q74 | C) 2 and 3 only => (c) 2 and 3 only
517 | Q74 | D) 1, 2 and 3 => (d) 1, 2 and 3
521 | Q75 | A) European Central Bank => (a) European Central Bank
522 | Q75 | B) International Monetary Fund => (b) International Monetary Fund
523 | Q75 | C) International Bank for Reconstruction and Development => (c) International Bank for Reconstruction and Development
524 | Q75 | D) Organization for Economic Cooperation and Development => (d) Organization for Economic Cooperation and Development
528 | Q76 | A) 1 and 2 only => (a) 1 and 2 only
529 | Q76 | B) 3 only => (b) 3 only
530 | Q76 | C) 2 and 3 only => (c) 2 and 3 only
531 | Q76 | D) 1, 2 and 3 => (d) 1, 2 and 3
535 | Q77 | A) G20 => (a) G20
536 | Q77 | B) ASEAN => (b) ASEAN
537 | Q77 | C) SCO => (c) SCO
538 | Q77 | D) SAARC => (d) SAARC
542 | Q78 | A) 1 and 2 only => (a) 1 and 2 only
543 | Q78 | B) 2 and 3 only => (b) 2 and 3 only
544 | Q78 | C) 3 only => (c) 3 only
545 | Q78 | D) 1, 2 and 3 => (d) 1, 2 and 3
549 | Q79 | A) It can use thorium in place of uranium for power generation => (a) It can use thorium in place of uranium for power generation
550 | Q79 | B) It can attain a global role in satellite navigation => (b) It can attain a global role in satellite navigation
551 | Q79 | C) It can drastically improve the efficiency of its fusion reactors in power generation => (c) It can drastically improve the efficiency of its fusion reactors in power generation
552 | Q79 | D) It can build fusion reactors for power generation => (d) It can build fusion reactors for power generation
556 | Q80 | A) 1 and 2 => (a) 1 and 2
557 | Q80 | B) 3 only => (b) 3 only
558 | Q80 | C) 2 and 3 => (c) 2 and 3
559 | Q80 | D) 1 and 3 => (d) 1 and 3
563 | Q81 | A) 1 only => (a) 1 only
564 | Q81 | B) 2 only => (b) 2 only
565 | Q81 | C) Both 1 and 2 => (c) Both 1 and 2
566 | Q81 | D) Neither 1 nor 2 => (d) Neither 1 nor 2
570 | Q82 | A) agency created by EU to deal with the impact of millions of refugees arriving from Middle East => (a) agency created by EU to deal with the impact of millions of refugees arriving from Middle East
571 | Q82 | B) agency of EU that provides financial assistance to eurozone countries => (b) agency of EU that provides financial assistance to eurozone countries
572 | Q82 | C) agency of EU to deal with all the bilateral and multilateral agreements on trade => (c) agency of EU to deal with all the bilateral and multilateral agreements on trade
573 | Q82 | D) agency of EU to deal with the conflicts arising among the member countries => (d) agency of EU to deal with the conflicts arising among the member countries
577 | Q83 | A) 1 and 2 only => (a) 1 and 2 only
578 | Q83 | B) 3 only => (b) 3 only
579 | Q83 | C) 1 and 3 only => (c) 1 and 3 only
580 | Q83 | D) None of the above is an advantage of practising drip irrigation => (d) None of the above is an advantage of practising drip irrigation
584 | Q84 | A) 1 only => (a) 1 only
585 | Q84 | B) 2 only => (b) 2 only
586 | Q84 | C) Both 1 and 2 => (c) Both 1 and 2
587 | Q84 | D) Neither 1 nor 2 => (d) Neither 1 nor 2
591 | Q85 | A) Cauvery and Tungabhadra => (a) Cauvery and Tungabhadra
592 | Q85 | B) Godavari and Krishna => (b) Godavari and Krishna
593 | Q85 | C) Mahanadi and Sone => (c) Mahanadi and Sone
594 | Q85 | D) Narmada and Tapti => (d) Narmada and Tapti
598 | Q86 | A) 1, 2 and 3 only => (a) 1, 2 and 3 only
599 | Q86 | B) 2, 3 and 4 only => (b) 2, 3 and 4 only
600 | Q86 | C) 1, 4 and 5 only => (c) 1, 4 and 5 only
601 | Q86 | D) 1, 2, 3, 4 and 5 => (d) 1, 2, 3, 4 and 5
605 | Q87 | A) 1 only => (a) 1 only
606 | Q87 | B) 2 only => (b) 2 only
607 | Q87 | C) Both 1 and 2 => (c) Both 1 and 2
608 | Q87 | D) Neither 1 nor 2 => (d) Neither 1 nor 2
612 | Q88 | A) bonded labour => (a) bonded labour
613 | Q88 | B) land grants made to military officers => (b) land grants made to military officers
614 | Q88 | C) waterwheel used in the irrigation of land => (c) waterwheel used in the irrigation of land
615 | Q88 | D) wasteland converted to cultivated land => (d) wasteland converted to cultivated land
619 | Q89 | A) Shramana => (a) Shramana
620 | Q89 | B) Parivraajaka => (b) Parivraajaka
621 | Q89 | C) Agrahaarika => (c) Agrahaarika
622 | Q89 | D) Maagadha => (d) Maagadha
626 | Q90 | A) Arunachal Pradesh => (a) Arunachal Pradesh
627 | Q90 | B) Himachal Pradesh => (b) Himachal Pradesh
628 | Q90 | C) Karnataka => (c) Karnataka
629 | Q90 | D) Maharashtra => (d) Maharashtra
633 | Q91 | A) 1 only => (a) 1 only
634 | Q91 | B) 2 and 3 only => (b) 2 and 3 only
635 | Q91 | C) 1 and 3 only => (c) 1 and 3 only
636 | Q91 | D) 1, 2 and 3 => (d) 1, 2 and 3
640 | Q92 | A) Introduction of communalism into Indian politics by Lord Minto => (a) Introduction of communalism into Indian politics by Lord Minto
641 | Q92 | B) Extremists' lack of faith in the capacity of the moderates to negotiate with the British Government => (b) Extremists' lack of faith in the capacity of the moderates to negotiate with the British Government
642 | Q92 | C) Foundation of Muslim League => (c) Foundation of Muslim League
643 | Q92 | D) Aurobindo Ghosh's inability to be elected as the President of the Indian National Congress => (d) Aurobindo Ghosh's inability to be elected as the President of the Indian National Congress
647 | Q93 | A) India should be granted complete independence => (a) India should be granted complete independence
648 | Q93 | B) India should be partitioned into two before granting independence => (b) India should be partitioned into two before granting independence
649 | Q93 | C) India should be made a republic with the condition that she will join the Commonwealth => (c) India should be made a republic with the condition that she will join the Commonwealth
650 | Q93 | D) India should be given Dominion status => (d) India should be given Dominion status
654 | Q94 | A) 1, 2 and 4 => (a) 1, 2 and 4
655 | Q94 | B) 2, 3, 4 and 5 => (b) 2, 3, 4 and 5
656 | Q94 | C) 2 and 5 only => (c) 2 and 5 only
657 | Q94 | D) 1, 3, 4 and 5 => (d) 1, 3, 4 and 5
661 | Q95 | A) Lok Sabha by a simple majority of its total membership => (a) Lok Sabha by a simple majority of its total membership
662 | Q95 | B) Lok Sabha by a majority of not less than two-thirds of its total membership => (b) Lok Sabha by a majority of not less than two-thirds of its total membership
663 | Q95 | C) Rajya Sabha by a simple majority of its total membership => (c) Rajya Sabha by a simple majority of its total membership
664 | Q95 | D) Rajya Sabha by a majority of not less than two-thirds of its members present and voting => (d) Rajya Sabha by a majority of not less than two-thirds of its members present and voting
668 | Q96 | A) Andhra Pradesh => (a) Andhra Pradesh
669 | Q96 | B) Chhattisgarh => (b) Chhattisgarh
670 | Q96 | C) Karnataka => (c) Karnataka
671 | Q96 | D) Rajasthan => (d) Rajasthan
675 | Q97 | A) 1 and 3 only => (a) 1 and 3 only
676 | Q97 | B) 2 only => (b) 2 only
677 | Q97 | C) 2 and 3 only => (c) 2 and 3 only
678 | Q97 | D) 1, 2 and 3 => (d) 1, 2 and 3
682 | Q98 | A) 1 only => (a) 1 only
683 | Q98 | B) 2 only => (b) 2 only
684 | Q98 | C) Both 1 and 2 => (c) Both 1 and 2
685 | Q98 | D) Neither 1 nor 2 => (d) Neither 1 nor 2
689 | Q99 | A) S. Ramanujan => (a) S. Ramanujan
690 | Q99 | B) S. Chandrasekhar => (b) S. Chandrasekhar
691 | Q99 | C) S. N. Bose => (c) S. N. Bose
692 | Q99 | D) C. V. Raman => (d) C. V. Raman
696 | Q100 | A) 1 only => (a) 1 only
697 | Q100 | B) 2 only => (b) 2 only
698 | Q100 | C) Both 1 and 2 => (c) Both 1 and 2
