CSAT-2020 encoding fixes
Format: Line | Q# | Before => After
939 | Q52 | (b) 1941–1951 => (b) 1941-1951
940 | Q52 | (c) 1961–1971 => (c) 1961-1971
941 | Q52 | (d) 1971–1981 => (d) 1971-1981
948 | Q52 | Passage – 1 => Passage - 1
966 | Q53 | Passage – 1 => Passage - 1
984 | Q54 | Passage – 1 => Passage - 1
1010 | Q55 | Passage – 1 => Passage - 1
1031 | Q35 | Passage – 1 => Passage - 1
1055 | Q36 | Passage – 1 => Passage - 1
1073 | Q37 | Passage – 1 => Passage - 1
1096 | Q38 | Passage – 1 => Passage - 1
1106 | Q39 | Teacher’s age? => Teacher's age?
1118 | Q39 | Passage – 1 => Passage - 1
1124 | Q40 | A person bought a car and sold it for ₹3,00,000. => A person bought a car and sold it for ?3,00,000.
1129 | Q40 | (a) ₹3,60,000 => (a) ?3,60,000
1130 | Q40 | (b) ₹3,65,000 => (b) ?3,65,000
1131 | Q40 | (c) ₹3,70,000 => (c) ?3,70,000
1132 | Q40 | (d) ₹3,75,000 => (d) ?3,75,000
1135 | Q40 | Passage – 1 (Potato Famine) => Passage - 1 (Potato Famine)
1137 | Q40 | Spanish ships in the late 16th century brought potato to Europe. By the 19th century, it became a staple in Ireland. The Irish depended heavily on a single variety “Lumper,” which was vulnerable to fungus Phytophthora infestans. In 1845, the fungus spread and destroyed crops, causing famine that killed or displaced millions. => Spanish ships in the late 16th century brought potato to Europe. By the 19th century, it became a staple in Ireland. The Irish depended heavily on a single variety "Lumper," which was vulnerable to fungus Phytophthora infestans. In 1845, the fungus spread and destroyed crops, causing famine that killed or displaced millions.
1144 | Q40 | Passage – 1 => Passage - 1
1157 | Q41 | Passage – 2 (Malnutrition in India) => Passage - 2 (Malnutrition in India)
1166 | Q41 | Passage – 1 => Passage - 1
1190 | Q42 | Passage – 3 (Pusa Arhar 16) => Passage - 3 (Pusa Arhar 16)
1199 | Q42 | Passage – 1 => Passage - 1
1223 | Q43 | Passage – 4 (Reservoir Mismanagement) => Passage - 4 (Reservoir Mismanagement)
1232 | Q43 | Passage – 1 => Passage - 1
1242 | Q44 | Reservoirs shouldn’t be full before monsoon => Reservoirs shouldn't be full before monsoon
1252 | Q44 | Passage – 5 (Economic Liberalization) => Passage - 5 (Economic Liberalization)
1254 | Q44 | India’s liberalization was driven by government constraints, not people’s priorities. It led to jobless growth, inequality, and structural issues in agriculture, infrastructure, industry, and education. => India's liberalization was driven by government constraints, not people's priorities. It led to jobless growth, inequality, and structural issues in agriculture, infrastructure, industry, and education.
1261 | Q44 | Passage – 1 => Passage - 1
1283 | Q45 | Passage – 1 => Passage - 1
1306 | Q46 | Passage – 1 => Passage - 1
1325 | Q56 | Passage – 1 => Passage - 1
1331 | Q57 | A sum of ₹ 2,500 is distributed among X, Y and Z in the ratio 1/2 : 3/4 : 5/6. => A sum of ? 2,500 is distributed among X, Y and Z in the ratio 1/2 : 3/4 : 5/6.
1334 | Q57 | (a) ₹ 300 => (a) ? 300
1335 | Q57 | (b) ₹ 350 => (b) ? 350
1336 | Q57 | (c) ₹ 400 => (c) ? 400
1337 | Q57 | (d) ₹ 450 => (d) ? 450
1344 | Q57 | Passage – 1 => Passage - 1
1362 | Q58 | Passage – 1 => Passage - 1
1381 | Q59 | Passage – 1 => Passage - 1
1387 | Q60 | How many different sums can be formed with the denominations ₹50, ₹100, ₹200, ₹500 and ₹2000 taking at least three denominations at a time? => How many different sums can be formed with the denominations ?50, ?100, ?200, ?500 and ?2000 taking at least three denominations at a time?
1399 | Q60 | Passage – 1 (Banking System) => Passage - 1 (Banking System)
1408 | Q60 | Passage – 1 => Passage - 1
1421 | Q61 | Passage – 2 (Energy Transition) => Passage - 2 (Energy Transition)
1430 | Q61 | Passage – 1 => Passage - 1
1448 | Q62 | Passage – 1 => Passage - 1
1458 | Q63 | India’s emission reduction depends on gas-based economy => India's emission reduction depends on gas-based economy
1466 | Q63 | Passage – 3 (Genome Editing) => Passage - 3 (Genome Editing)
1475 | Q63 | Passage – 1 => Passage - 1
1492 | Q64 | Passage – 4 (Waste & Drainage) => Passage - 4 (Waste & Drainage)
1501 | Q64 | Passage – 1 => Passage - 1
1514 | Q65 | Passage – 5 (Religious Freedom) => Passage - 5 (Religious Freedom)
1523 | Q65 | Passage – 1 => Passage - 1
1531 | Q66 | (a) State won’t interfere => (a) State won't interfere
1541 | Q66 | Passage – 1 => Passage - 1
1547 | Q67 | How many 5-letter words can be formed using “DELHI” such that each word starts with D and ends with I? => How many 5-letter words can be formed using "DELHI" such that each word starts with D and ends with I?
1560 | Q67 | Passage – 1 => Passage - 1
1567 | Q68 | 4 litres removed → replaced with B => 4 litres removed -> replaced with B
1568 | Q68 | Again 4 litres removed → replaced with B => Again 4 litres removed -> replaced with B
1582 | Q68 | Passage – 1 => Passage - 1
1603 | Q69 | Passage – 1 => Passage - 1
1609 | Q70 | After 25% price hike, a person buys 6 kg less rice for ₹1200. => After 25% price hike, a person buys 6 kg less rice for ?1200.
1612 | Q70 | (a) ₹30 => (a) ?30
1613 | Q70 | (b) ₹40 => (b) ?40
1614 | Q70 | (c) ₹50 => (c) ?50
1615 | Q70 | (d) ₹60 => (d) ?60
1623 | Q70 | Passage – 1 => Passage - 1
1629 | Q71 | X completes 20% work in 8 days → full in 40 days => X completes 20% work in 8 days -> full in 40 days
1630 | Q71 | Y completes 25% in 6 days → full in 24 days => Y completes 25% in 6 days -> full in 24 days
1644 | Q71 | Passage – 1 => Passage - 1
1651 | Q72 | X→Y = v => X->Y = v
1652 | Q72 | Y→X = 2v => Y->X = 2v
1653 | Q72 | X→Y = 3v => X->Y = 3v
1654 | Q72 | Y→X = 4v => Y->X = 4v
1668 | Q72 | Passage – 1 => Passage - 1
1688 | Q73 | Passage – 1 => Passage - 1
1707 | Q74 | Passage – 1 => Passage - 1
1725 | Q75 | Passage – 1 => Passage - 1
1743 | Q76 | Passage – 1 => Passage - 1
1763 | Q77 | Passage – 1 => Passage - 1
1782 | Q78 | Passage – 1 => Passage - 1
1803 | Q79 | Passage – 1 => Passage - 1
