CSAT-2017 encoding fixes (pass 4)
Format: Line | Q# | Before => After
118 | Q9 | (b) There is at least one supporter of ‘party Y’ who knew some supporters of ‘party X’ as a friend => (b) There is at least one supporter of 'party Y' who knew some supporters of 'party X' as a friend
119 | Q9 | (c) No supporters of ‘party X’ supported Z’s campaign strategy => (c) No supporters of 'party X' supported Z's campaign strategy
120 | Q9 | (d) No supporters of party ‘X’ knew Z => (d) No supporters of party 'X' knew Z
126 | Q10 | Some supporters of party ‘X’ knew Z. => Some supporters of party 'X' knew Z.
128 | Q10 | Some supporters of party ‘X’, who opposed Z’s campaign strategy, knew Z. => Some supporters of party 'X', who opposed Z's campaign strategy, knew Z.
130 | Q10 | No supporters of party ‘X’ supported Z’s campaign strategy. => No supporters of party 'X' supported Z's campaign strategy.
159 | Q13 | Four tests—Physics, Chemistry, Mathematics and Biology—are to be conducted on four consecutive days, not necessarily in the same order. => Four tests-Physics, Chemistry, Mathematics and Biology-are to be conducted on four consecutive days, not necessarily in the same order.
190 | Q15 | II. Even though one’s voice is not good, one can keep practising. => II. Even though one's voice is not good, one can keep practising.
201 | Q16 | A: +6 cm, slips 1 cm → net 5 cm => A: +6 cm, slips 1 cm -> net 5 cm
203 | Q16 | B: +7 cm, slips 3 cm → net 4 cm => B: +7 cm, slips 3 cm -> net 4 cm
205 | Q16 | C: +6.5 cm, slips 2 cm → net 4.5 cm => C: +6.5 cm, slips 2 cm -> net 4.5 cm
216 | Q17 | “Rights are certain advantageous conditions of social well-being indispensable to the true development of the citizen.” => "Rights are certain advantageous conditions of social well-being indispensable to the true development of the citizen."
227 | Q18 | 15 students failed in a class of 52. Merit list after removing failures → Ramesh is 22nd from top. What is his position from bottom? => 15 students failed in a class of 52. Merit list after removing failures -> Ramesh is 22nd from top. What is his position from bottom?
236 | Q19 | A + B → A is son of B => A + B -> A is son of B
237 | Q19 | A − B → A is wife of B => A - B -> A is wife of B
239 | Q19 | Expression: P + R − Q => Expression: P + R - Q
258 | Q20 | Passage—1 => Passage-1
269 | Q21 | Passage—2 => Passage-2
271 | Q21 | “The individual, according to Rousseau, puts his person and all his power in common under the supreme direction of the General Will and in our corporate capacity we receive each member as an indivisible part of the whole.” => "The individual, according to Rousseau, puts his person and all his power in common under the supreme direction of the General Will and in our corporate capacity we receive each member as an indivisible part of the whole."
280 | Q22 | Passage—3 => Passage-3
291 | Q23 | Passage—4 => Passage-4
293 | Q23 | A successful democracy depends upon widespread interest and participation in politics, in which voting is an essential part. To deliberately refrain from taking such an interest, and from voting, is a kind of implied anarchy; it is to refuse one’s political responsibility while enjoying the benefits of a free political society. => A successful democracy depends upon widespread interest and participation in politics, in which voting is an essential part. To deliberately refrain from taking such an interest, and from voting, is a kind of implied anarchy; it is to refuse one's political responsibility while enjoying the benefits of a free political society.
302 | Q24 | Passage—5 => Passage-5
313 | Q25 | Passage—6 => Passage-6
330 | Q26 | Passage—7 => Passage-7
332 | Q26 | There is more than a modicum of truth in the assertion that “a working knowledge of ancient history is necessary to the intelligent interpretation of current events”. But the sage who uttered these words of wisdom might well have added something on the benefits of studying particularly the famous battles of history for the lessons they contain for those of us who lead or aspire to leadership. Such a study will reveal certain qualities and attributes which enabled the winners to win—and certain deficiencies which caused the losers to lose. And the student will see that the same pattern recurs consistently, again and again, throughout the centuries. => There is more than a modicum of truth in the assertion that "a working knowledge of ancient history is necessary to the intelligent interpretation of current events". But the sage who uttered these words of wisdom might well have added something on the benefits of studying particularly the famous battles of history for the lessons they contain for those of us who lead or aspire to leadership. Such a study will reveal certain qualities and attributes which enabled the winners to win-and certain deficiencies which caused the losers to lose. And the student will see that the same pattern recurs consistently, again and again, throughout the centuries.
378 | Q32 | In a city, 12% of households earn less than ₹30,000 per year, 6% households earn more than ₹2,00,000 per year, 22% households earn more than ₹1,00,000 per year and 990 households earn between ₹30,000 and ₹1,00,000 per year. How many households earn between ₹1,00,000 and ₹2,00,000 per year? => In a city, 12% of households earn less than ?30,000 per year, 6% households earn more than ?2,00,000 per year, 22% households earn more than ?1,00,000 per year and 990 households earn between ?30,000 and ?1,00,000 per year. How many households earn between ?1,00,000 and ?2,00,000 per year?
385 | Q33 | A clock strikes once at 1 o’clock, twice at 2 o’clock and thrice at 3 o’clock, and so on. If it takes 12 seconds to strike at 5 o’clock, what is the time taken by it to strike at 10 o’clock? => A clock strikes once at 1 o'clock, twice at 2 o'clock and thrice at 3 o'clock, and so on. If it takes 12 seconds to strike at 5 o'clock, what is the time taken by it to strike at 10 o'clock?
454 | Q40 | Passage—1 => Passage-1
465 | Q41 | Passage—2 => Passage-2
467 | Q41 | There has been a significant trend worldwide towards regionalism in government, resulting in a widespread transfer of powers downwards towards regions and communities since 1990s. This process, which involves the creation of new political entities and bodies at a sub-national level and an increase in their content and powers, is known as devolution. Devolution has been characterized as being made up of three factors—political legitimacy, decentralization of authority and decentralization of resources. Political legitimacy here means a mass demand from below for the decentralization process, which is able to create a political force for it to take place. In many cases, decentralization is initiated by the upper tier of government without sufficient political mobilization for it at the grassroots level, and in such cases the decentralization process often does not fulfil its objectives. => There has been a significant trend worldwide towards regionalism in government, resulting in a widespread transfer of powers downwards towards regions and communities since 1990s. This process, which involves the creation of new political entities and bodies at a sub-national level and an increase in their content and powers, is known as devolution. Devolution has been characterized as being made up of three factors-political legitimacy, decentralization of authority and decentralization of resources. Political legitimacy here means a mass demand from below for the decentralization process, which is able to create a political force for it to take place. In many cases, decentralization is initiated by the upper tier of government without sufficient political mobilization for it at the grassroots level, and in such cases the decentralization process often does not fulfil its objectives.
476 | Q42 | Passage—3 => Passage-3
487 | Q43 | Passage—4 => Passage-4
489 | Q43 | The IMF has pointed out that the fast growing economies of Asia face the risk of falling into ‘middle-income trap’. It means that average incomes in these countries, which till now have been growing rapidly, will stop growing beyond a point—a point that is well short of incomes in the developed West. The IMF identifies a number of causes of middle-income trap—none of which is surprising—from infrastructure to weak institutions, to less than favourable macroeconomic conditions. But the broad, overall cause, says IMF, is a collapse in the growth of productivity. => The IMF has pointed out that the fast growing economies of Asia face the risk of falling into 'middle-income trap'. It means that average incomes in these countries, which till now have been growing rapidly, will stop growing beyond a point-a point that is well short of incomes in the developed West. The IMF identifies a number of causes of middle-income trap-none of which is surprising-from infrastructure to weak institutions, to less than favourable macroeconomic conditions. But the broad, overall cause, says IMF, is a collapse in the growth of productivity.
498 | Q44 | Passage—5 => Passage-5
500 | Q44 | An innovative India will be inclusive as well as technologically advanced, improving the lives of all Indians. Innovation and R&D can mitigate increases in social inequality and relieve the pressures created by rapid urbanization. The growing divergence in productivity between agriculture and knowledge-intensive manufacturing and services threatens to increase income inequality. By encouraging India’s R&D labs and universities to focus on the needs of poor people and by improving the ability of informal firms to absorb knowledge, an innovation and research agenda can counter this effect. Inclusive innovation can lower the costs of goods and services and create income-earning opportunities for the poor people. => An innovative India will be inclusive as well as technologically advanced, improving the lives of all Indians. Innovation and R&D can mitigate increases in social inequality and relieve the pressures created by rapid urbanization. The growing divergence in productivity between agriculture and knowledge-intensive manufacturing and services threatens to increase income inequality. By encouraging India's R&D labs and universities to focus on the needs of poor people and by improving the ability of informal firms to absorb knowledge, an innovation and research agenda can counter this effect. Inclusive innovation can lower the costs of goods and services and create income-earning opportunities for the poor people.
507 | Q45 | (d) Rapid urbanization takes place only when a country’s economic growth is rapid. => (d) Rapid urbanization takes place only when a country's economic growth is rapid.
509 | Q45 | Passage—6 => Passage-6
520 | Q46 | Passage—7 => Passage-7
677 | Q60 | In a certain code, ‘256’ means ‘red colour chalk’, ‘589’ means ‘green colour flower’ and ‘254’ means ‘white colour chalk’. The digit in the code that indicates ‘white’ is => In a certain code, '256' means 'red colour chalk', '589' means 'green colour flower' and '254' means 'white colour chalk'. The digit in the code that indicates 'white' is
686 | Q60 | Passage—1 => Passage-1
697 | Q61 | Passage—2 => Passage-2
708 | Q62 | Passage—3 => Passage-3
710 | Q62 | A landscape-scale approach to land use can encourage greater biodiversity outside protected areas. During hurricane Mitch in 1998, farms using ecoagricultural practices suffered 58 per cent, 70 per cent and 99 per cent less damage in Honduras, Nicaragua and Guatemala, respectively, than farms using conventional techniques. In Costa Rica, vegetative windbreaks and fencerows boosted farmers’ income from pasture and coffee while also increasing bird diversity. Bee pollination is more effective when agricultural fields are closer to natural or seminatural habitat, a finding that matters because 87 per cent of the world’s 107 leading crops depend on animal pollinators. In Costa Rica, Nicaragua and Colombia silvopastoral systems that integrate trees with pastureland are improving the sustainability of cattle production, and diversifying and increasing farmers’ income. => A landscape-scale approach to land use can encourage greater biodiversity outside protected areas. During hurricane Mitch in 1998, farms using ecoagricultural practices suffered 58 per cent, 70 per cent and 99 per cent less damage in Honduras, Nicaragua and Guatemala, respectively, than farms using conventional techniques. In Costa Rica, vegetative windbreaks and fencerows boosted farmers' income from pasture and coffee while also increasing bird diversity. Bee pollination is more effective when agricultural fields are closer to natural or seminatural habitat, a finding that matters because 87 per cent of the world's 107 leading crops depend on animal pollinators. In Costa Rica, Nicaragua and Colombia silvopastoral systems that integrate trees with pastureland are improving the sustainability of cattle production, and diversifying and increasing farmers' income.
719 | Q63 | Passage—4 => Passage-4
725 | Q64 | (a) India’s GDP displays high value-added and high productivity levels in medium tech and resource processing industries. => (a) India's GDP displays high value-added and high productivity levels in medium tech and resource processing industries.
730 | Q64 | Passage—5 => Passage-5
732 | Q64 | Over the last decade, Indian agriculture has become more robust with record production of food grains and oilseeds. Increased procurement, consequently, has added huge stocks of food grains in the granaries. India is one of the world’s top producers of rice, wheat, milk, fruits and vegetables. India is still home to a quarter of all undernourished people in the world. On an average, almost half of the total expenditure of nearly half of the households is on food. => Over the last decade, Indian agriculture has become more robust with record production of food grains and oilseeds. Increased procurement, consequently, has added huge stocks of food grains in the granaries. India is one of the world's top producers of rice, wheat, milk, fruits and vegetables. India is still home to a quarter of all undernourished people in the world. On an average, almost half of the total expenditure of nearly half of the households is on food.
738 | Q65 | (c) India’s agricultural productivity is already great and it is not necessary to increase it further. => (c) India's agricultural productivity is already great and it is not necessary to increase it further.
741 | Q65 | Passage—6 => Passage-6
752 | Q66 | Passage—7 => Passage-7
773 | Q68 | A, B, C, D, E, F and G are Lecturers from different cities—Hyderabad, Delhi, Shillong, Kanpur, Chennai, Mumbai and Srinagar (not necessarily in the same order) who participated in a conference. Each one of them is specialized in a different subject, viz., Economics, Commerce, History, Sociology, Geography, Mathematics and Statistics (not necessarily in the same order). Further: => A, B, C, D, E, F and G are Lecturers from different cities-Hyderabad, Delhi, Shillong, Kanpur, Chennai, Mumbai and Srinagar (not necessarily in the same order) who participated in a conference. Each one of them is specialized in a different subject, viz., Economics, Commerce, History, Sociology, Geography, Mathematics and Statistics (not necessarily in the same order). Further:
825 | Q74 | The monthly incomes of X and Y are in the ratio of 4 : 3 and their monthly expenses are in the ratio of 3 : 2. However, each saves ₹ 6,000 per month. What is their total monthly income? => The monthly incomes of X and Y are in the ratio of 4 : 3 and their monthly expenses are in the ratio of 3 : 2. However, each saves ? 6,000 per month. What is their total monthly income?
826 | Q74 | (a) ₹ 28,000 => (a) ? 28,000
827 | Q74 | (b) ₹ 42,000 => (b) ? 42,000
828 | Q74 | (c) ₹ 56,000 => (c) ? 56,000
829 | Q74 | (d) ₹ 84,000 => (d) ? 84,000
