Line 5 | Q | Passage â€“ 1 => Passage – 1
Line 650 | Q50 | It is hard to predict how changes in the climate and the atmosphereâ€™s chemistry will affect the prevalence and virulence of agricultural diseases. => It is hard to predict how changes in the climate and the atmosphere’s chemistry will affect the prevalence and virulence of agricultural diseases.
Line 656 | Q50 | They are spectacular at growing in todayâ€™s conditions but genetic variations that are not immediately useful to them have been bred out. => They are spectacular at growing in today’s conditions but genetic variations that are not immediately useful to them have been bred out.
Line 689 | Q52 | Passage â€“ 2 => Passage – 2
Line 691 | Q52 | â€œA good statesman, like any other sensible human being, learns more from his opponents than from his fervent supporters. => “A good statesman, like any other sensible human being, learns more from his opponents than from his fervent supporters.
Line 699 | Q52 | The national unity of free people depends upon a sufficiently even balance of political power to make it impracticable for the administration to be arbitrary and for opposition to be revolutionary and irreconcilable.â€ => The national unity of free people depends upon a sufficiently even balance of political power to make it impracticable for the administration to be arbitrary and for opposition to be revolutionary and irreconcilable.”
Line 730 | Q55 | P is the brother of Q and R. S is Râ€™s mother. T is Pâ€™s father. => P is the brother of Q and R. S is R’s mother. T is P’s father.
Line 734 | Q55 | II. Q is Tâ€™s son. => II. Q is T’s son.
Line 735 | Q55 | III. T is Qâ€™s father. => III. T is Q’s father.
Line 736 | Q55 | IV. S is Pâ€™s mother. => IV. S is P’s mother.
Line 737 | Q55 | V. R is Tâ€™s daughter. => V. R is T’s daughter.
Line 738 | Q55 | VI. P is Sâ€™s son. => VI. P is S’s son.
Line 767 | Q58 | The 5-digit number PQRST (all distinct digits) is such that T â‰  0. => The 5-digit number PQRST (all distinct digits) is such that T ? 0.
Line 810 | Q60 | Passage â€“ 1 => Passage – 1
Line 814 | Q60 | It generates jobs â€” and there is no other way to fix a countryâ€™s unemployment challenge without a further impetus to private business. => It generates jobs — and there is no other way to fix a country’s unemployment challenge without a further impetus to private business.
Line 818 | Q60 | A vibrant corporate capitalist base also leads to additional revenues for the State â€” which in turn, can be used for greater welfare for the marginalized and creating a more level playing field in terms of opportunities. => A vibrant corporate capitalist base also leads to additional revenues for the State — which in turn, can be used for greater welfare for the marginalized and creating a more level playing field in terms of opportunities.
Line 847 | Q62 | Passage â€“ 2 => Passage – 2
Line 849 | Q62 | â€œA network of voluntary associations stands as a â€˜bufferâ€™ between the relatively powerless individual and the potentially powerful State.â€ => “A network of voluntary associations stands as a ‘buffer’ between the relatively powerless individual and the potentially powerful State.”
Line 911 | Q67 | 9Â³ + 9â´ + 9âµ + 9â¶ + â€¦ + 9Â¹â°â° => 9³ + 94 + 95 + 96 + … + 9¹°°
Line 942 | Q69 | PP Ã— PQ = RRSS => PP × PQ = RRSS
Line 944 | Q69 | where P â‰¤ 3 and Q â‰¤ 4, => where P = 3 and Q = 4,
Line 964 | Q70 | Statement II: Râ€™s father is the brother of Q. => Statement II: R’s father is the brother of Q.
Line 977 | Q70 | Passage â€“ 1 => Passage – 1
Line 979 | Q70 | A single number for inflation is an aggregate across different commodities and services â€” the price rise differs for different items of consumption. => A single number for inflation is an aggregate across different commodities and services — the price rise differs for different items of consumption.
Line 1003 | Q71 | Passage â€“ 2 => Passage – 2
Line 1045 | Q74 | Is (p + q)Â² âˆ’ 4pq positive, where p and q are natural numbers? => Is (p + q)² - 4pq positive, where p and q are natural numbers?
Line 1078 | Q76 | Value-I = Maximum value of p Ã— q when p, q are positive integers. => Value-I = Maximum value of p × q when p, q are positive integers.
Line 1080 | Q76 | Value-II = Maximum value of p Ã— q when p â‰¥ âˆ’6, q â‰¥ âˆ’4. => Value-II = Maximum value of p × q when p = -6, q = -4.
Line 1093 | Q77 | Value-I = Minimum value of the average when the numbers are consecutive integers â‰¥ âˆ’5. => Value-I = Minimum value of the average when the numbers are consecutive integers = -5.
Line 1113 | Q78 | (b) k âˆ’ 1 => (b) k - 1
Line 1123 | Q79 | I. xÂ² > xÂ³ => I. x² > x³
Line 1124 | Q79 | II. x > âˆšx => II. x > vx
