Line 5 | Q | Passage â€“ 1 => Passage – 1
Line 205 | Q12 | Passage â€“ 3 => Passage – 3
Line 207 | Q12 | Computers increasingly deal not just with abstract data like credit card details and databases, but also with the real world of physical objects and vulnerable human bodies. A modern car is a computer on wheels; an aeroplane is a computer on wings. The arrival of the â€œInternet of Thingsâ€ will see computers baked into everything from road signs and MRI scanners to prosthetics and insulin pumps. There is little evidence that these gadgets will be any more trustworthy than their desktop counterparts. Hackers have already proved that they can take remote control of internet connected cars and pacemakers. => Computers increasingly deal not just with abstract data like credit card details and databases, but also with the real world of physical objects and vulnerable human bodies. A modern car is a computer on wheels; an aeroplane is a computer on wings. The arrival of the “Internet of Things” will see computers baked into everything from road signs and MRI scanners to prosthetics and insulin pumps. There is little evidence that these gadgets will be any more trustworthy than their desktop counterparts. Hackers have already proved that they can take remote control of internet connected cars and pacemakers.
Line 218 | Q13 | Passage â€“ 4 => Passage – 4
Line 309 | Q20 | (a) An angle less than 45Â° South of East => (a) An angle less than 45° South of East
Line 310 | Q20 | (b) An angle less than 45Â° North of East => (b) An angle less than 45° North of East
Line 311 | Q20 | (c) An angle more than 45Â° South of East => (c) An angle more than 45° South of East
Line 312 | Q20 | (d) An angle more than 45Â° North of East => (d) An angle more than 45° North of East
Line 318 | Q20 | Passage â€“ 1 => Passage – 1
Line 328 | Q21 | (a) Indiaâ€™s energy decision-making process is ever more complex and interconnected. => (a) India’s energy decision-making process is ever more complex and interconnected.
Line 329 | Q21 | (b) Indiaâ€™s energy and climate policy is heavily tuned to sustainable development goals. => (b) India’s energy and climate policy is heavily tuned to sustainable development goals.
Line 330 | Q21 | (c) Indiaâ€™s energy and climate actions are not compatible with its broader social, economic and environmental goals. => (c) India’s energy and climate actions are not compatible with its broader social, economic and environmental goals.
Line 331 | Q21 | (d) Indiaâ€™s energy decision-making process is straightforward supply-oriented and ignores the demand side. => (d) India’s energy decision-making process is straightforward supply-oriented and ignores the demand side.
Line 333 | Q21 | Passage â€“ 2 => Passage – 2
Line 335 | Q21 | There are reports that some of the antibiotics sold in the market are fed to poultry and other livestock as growth promoters. Overusing these substances can create superbugs, pathogens that are resistant to multiple drugs and could be passed along humans. Mindful of that, some farming companies have stopped using the drugs to make chickens gain weight faster. Since Denmark banned antibiotic growth promoters in the 1990s, the major pork exporter says it is producing more pigs â€” and the animals get fewer diseases. => There are reports that some of the antibiotics sold in the market are fed to poultry and other livestock as growth promoters. Overusing these substances can create superbugs, pathogens that are resistant to multiple drugs and could be passed along humans. Mindful of that, some farming companies have stopped using the drugs to make chickens gain weight faster. Since Denmark banned antibiotic growth promoters in the 1990s, the major pork exporter says it is producing more pigs — and the animals get fewer diseases.
Line 346 | Q22 | Passage â€“ 3 => Passage – 3
Line 365 | Q23 | Passage â€“ 4 => Passage – 4
Line 367 | Q23 | A central message of modern development economics is the importance of income growth, by which is meant growth in Gross Domestic Product (GDP). In theory, rising GDP creates employment and investment opportunities. As incomes grow in a country where the level of GDP was once low, households, communities, and governments are increasingly able to set aside some funds for the production of things that make for a good life. Today GDP has assumed such a significant place in the development lexicon, that if someone mentions â€œeconomic growthâ€, we know they mean growth in GDP. => A central message of modern development economics is the importance of income growth, by which is meant growth in Gross Domestic Product (GDP). In theory, rising GDP creates employment and investment opportunities. As incomes grow in a country where the level of GDP was once low, households, communities, and governments are increasingly able to set aside some funds for the production of things that make for a good life. Today GDP has assumed such a significant place in the development lexicon, that if someone mentions “economic growth”, we know they mean growth in GDP.
Line 463 | Q30 | Passage â€“ 1 => Passage – 1
Line 465 | Q30 | With respect to what are called denominations of religion, if everyone is left to be a judge of his own religion, there is no such thing as religion that is wrong; but if they are to be a judge of each otherâ€™s religion, there is no such thing as a religion that is right, and therefore all the world is right or all the world is wrong in the matter of religion. => With respect to what are called denominations of religion, if everyone is left to be a judge of his own religion, there is no such thing as religion that is wrong; but if they are to be a judge of each other’s religion, there is no such thing as a religion that is right, and therefore all the world is right or all the world is wrong in the matter of religion.
Line 472 | Q31 | (b) It is the duty of everyone to propagate oneâ€™s religious denomination. => (b) It is the duty of everyone to propagate one’s religious denomination.
Line 476 | Q31 | Passage â€“ 2 => Passage – 2
Line 478 | Q31 | It is certain, that seditions, wars, and contempt or breach of the laws are not so much to be imputed to the wickedness of the subjects, as to the bad state of a dominion. For men are not born fit for citizenship, but must be made so. Besides, menâ€™s natural passions are everywhere the same; and if wickedness more prevails, and more offences are committed in one commonwealth than in another, it is certain that the former has neither enough pursued the end of unity, nor framed its laws with sufficient forethought; and that, therefore, it has failed in making quite good its right as a commonwealth. => It is certain, that seditions, wars, and contempt or breach of the laws are not so much to be imputed to the wickedness of the subjects, as to the bad state of a dominion. For men are not born fit for citizenship, but must be made so. Besides, men’s natural passions are everywhere the same; and if wickedness more prevails, and more offences are committed in one commonwealth than in another, it is certain that the former has neither enough pursued the end of unity, nor framed its laws with sufficient forethought; and that, therefore, it has failed in making quite good its right as a commonwealth.
Line 489 | Q32 | Passage â€“ 3 => Passage – 3
Line 512 | Q33 | Passage â€“ 4 (FULL, EXACT TEXT) => Passage – 4 (FULL, EXACT TEXT)
Line 514 | Q33 | Aristocratic government ruins itself by limiting too narrowly the circle within which power is confined; oligarchic government ruins itself by the incautious scramble for immediate wealth. But even democracy ruins itself by excess of democracy. Its basic principle is the equal right of all to hold office and determine public policy. This is, at first glance, a delightful arrangement; it becomes disastrous because the people are not properly equipped by education to select the best rulers and disastrous because the people are not properly equipped by education to select the best rulers and the wisest courses. The people have no understanding and only repeat what their rulers are pleased to tell them. Such a democracy is tyranny or autocracy. â€” Plato => Aristocratic government ruins itself by limiting too narrowly the circle within which power is confined; oligarchic government ruins itself by the incautious scramble for immediate wealth. But even democracy ruins itself by excess of democracy. Its basic principle is the equal right of all to hold office and determine public policy. This is, at first glance, a delightful arrangement; it becomes disastrous because the people are not properly equipped by education to select the best rulers and disastrous because the people are not properly equipped by education to select the best rulers and the wisest courses. The people have no understanding and only repeat what their rulers are pleased to tell them. Such a democracy is tyranny or autocracy. — Plato
Line 576 | Q38 | Question: What is Seemaâ€™s rank from the top in the class of 40 students? => Question: What is Seema’s rank from the top in the class of 40 students?
Line 729 | Q50 | What is the value of â€˜Xâ€™ in the sequence => What is the value of ‘X’ in the sequence
Line 737 | Q50 | Passage â€“ 1 => Passage – 1
Line 739 | Q50 | The best universities like Harvard and MIT, despite having the luxury of having some truly excellent teachers on their payroll, are increasingly embracing the â€œflipped classroomâ€ format, where students listen to video lectures at home, and spend class time applying their knowledge, solving problems, discussing examples, etc. Professors guide that discussion and fill in wherever necessary, explaining those bits that seem to be eluding the students and throwing in advanced ideas that happen to be topical. These universities have made their video lectures available free for anyone in the world. They are also encouraging colleges and universities all over the world to integrate these online courses into their own pedagogy, picking the pieces that are appropriate for their needs and building a package around them. => The best universities like Harvard and MIT, despite having the luxury of having some truly excellent teachers on their payroll, are increasingly embracing the “flipped classroom” format, where students listen to video lectures at home, and spend class time applying their knowledge, solving problems, discussing examples, etc. Professors guide that discussion and fill in wherever necessary, explaining those bits that seem to be eluding the students and throwing in advanced ideas that happen to be topical. These universities have made their video lectures available free for anyone in the world. They are also encouraging colleges and universities all over the world to integrate these online courses into their own pedagogy, picking the pieces that are appropriate for their needs and building a package around them.
Line 750 | Q51 | Passage â€“ 2 => Passage – 2
Line 783 | Q55 | A person P asks one of his three friends X as to how much money he had. X replied, â€œIf Y gives me â‚¹ 40, then Y will have half of as much as Z, but if Z gives me â‚¹ 40, then three of us will have equal amount.â€ What is the total amount of money that X, Y and Z have ? => A person P asks one of his three friends X as to how much money he had. X replied, “If Y gives me ? 40, then Y will have half of as much as Z, but if Z gives me ? 40, then three of us will have equal amount.” What is the total amount of money that X, Y and Z have ?
Line 785 | Q55 | (a) â‚¹ 420 => (a) ? 420
Line 786 | Q55 | (b) â‚¹ 360 => (b) ? 360
Line 787 | Q55 | (c) â‚¹ 300 => (c) ? 300
Line 788 | Q55 | (d) â‚¹ 270 => (d) ? 270
Line 792 | Q56 | In a code language â€˜MATHEMATICSâ€™ is written as â€˜LBSIDNZUHDRâ€™. How is â€˜CHEMISTRYâ€™ written in that code language ? => In a code language ‘MATHEMATICS’ is written as ‘LBSIDNZUHDR’. How is ‘CHEMISTRY’ written in that code language ?
Line 801 | Q57 | At which one of the following times, do the hour hand and the minute hand of the clock make an angle of 180Â° with each other ? => At which one of the following times, do the hour hand and the minute hand of the clock make an angle of 180° with each other ?
Line 832 | Q60 | (PQ) Ã— 3 = RQQ, where P, Q and R are different digits and R â‰  0. => (PQ) × 3 = RQQ, where P, Q and R are different digits and R ? 0.
Line 834 | Q60 | What is the value of (P + R) Ã· Q ? => What is the value of (P + R) ÷ Q ?
Line 841 | Q60 | Passage â€“ 1 => Passage – 1
Line 843 | Q60 | Can a democracy avoid being a welfare state for long ? Why cannot mass welfare be left entirely to the markets ? There is a built-in tension between markets and democracy. Markets do not work on a one-person-one-vote principle as democracies do. What one gets out of the market place depends on oneâ€™s endowments, skills, purchasing power and the forces of demand and supply. Markets reward individual initiative and skill, and may also lift many from the bottom rungs of society, but some people never get the opportunity to develop skills that markets demand; they are simply too poor and too handicapped; or skill formation takes too long. By creating jobs, markets may be able to help even unskilled people, but capitalism has always witnessed bursts of unemployment. => Can a democracy avoid being a welfare state for long ? Why cannot mass welfare be left entirely to the markets ? There is a built-in tension between markets and democracy. Markets do not work on a one-person-one-vote principle as democracies do. What one gets out of the market place depends on one’s endowments, skills, purchasing power and the forces of demand and supply. Markets reward individual initiative and skill, and may also lift many from the bottom rungs of society, but some people never get the opportunity to develop skills that markets demand; they are simply too poor and too handicapped; or skill formation takes too long. By creating jobs, markets may be able to help even unskilled people, but capitalism has always witnessed bursts of unemployment.
Line 862 | Q61 | Passage â€“ 2 => Passage – 2
Line 992 | Q74 | (a) 54Â° => (a) 54°
Line 993 | Q74 | (b) 96Â° => (b) 96°
Line 994 | Q74 | (c) 108Â° => (c) 108°
Line 995 | Q74 | (d) 120Â° => (d) 120°
Line 1025 | Q77 | X said to Y, â€œAt the time of your birth I was twice as old as you are at present.â€ If the present age of X is 42 years, then consider the following statements : => X said to Y, “At the time of your birth I was twice as old as you are at present.” If the present age of X is 42 years, then consider the following statements :
Line 1049 | Q79 | When a certain number is multiplied by 7, the product entirely comprises ones only (1111â€¦). => When a certain number is multiplied by 7, the product entirely comprises ones only (1111…).
