Line 5 | Q | Passage â€“ 1 => Passage – 1
Line 824 | Q52 | The agent that causes this effect is the caterpillarâ€™s faeces or frass. The find could throw new light on compounds associated with plant response to pathogens like fungi or bacteria. => The agent that causes this effect is the caterpillar’s faeces or frass. The find could throw new light on compounds associated with plant response to pathogens like fungi or bacteria.
Line 900 | Q57 | He then takes 225Â° turn clockwise. => He then takes 225° turn clockwise.
Line 914 | Q58 | India is the worldâ€™s largest producer of milk. => India is the world’s largest producer of milk.
Line 917 | Q58 | India is the worldâ€™s largest exporter of milk. => India is the world’s largest exporter of milk.
Line 986 | Q60 | The transfer rate is 2â´ kilobytes per second. => The transfer rate is 24 kilobytes per second.
Line 1002 | Q60 | Passage â€“ 1 => Passage – 1
Line 1020 | Q61 | Passage â€“ 2 => Passage – 2
Line 1022 | Q61 | Nowadays there is a growing trend to use interconnected home devices. As consumers increasingly network their homes, the connected home device manufacturers and service providers will seek to overcome â€œthin profit marginsâ€ by gathering more of our personal dataâ€”with or without our agreementâ€”turning the home into a corporate storefront. => Nowadays there is a growing trend to use interconnected home devices. As consumers increasingly network their homes, the connected home device manufacturers and service providers will seek to overcome “thin profit margins” by gathering more of our personal data—with or without our agreement—turning the home into a corporate storefront.
Line 1048 | Q63 | (d) With large populations, rampant poverty and limited resources of todayâ€™s world, environmental degradation cannot be prevented and inequalities are inevitable. => (d) With large populations, rampant poverty and limited resources of today’s world, environmental degradation cannot be prevented and inequalities are inevitable.
Line 1173 | Q69 | A person buys three articles p, q and r for â‚¹50. The price of article q is â‚¹16, which is the least. => A person buys three articles p, q and r for ?50. The price of article q is ?16, which is the least.
Line 1219 | Q70 | Passage â€“ 1 => Passage – 1
Line 1239 | Q71 | Passage â€“ 2 => Passage – 2
Line 1243 | Q71 | What we call a flowerâ€™s beauty is merely a by-product and a human invention. The perfume is not there to please us; it pleases us because it is there and we have been conditioned to it. => What we call a flower’s beauty is merely a by-product and a human invention. The perfume is not there to please us; it pleases us because it is there and we have been conditioned to it.
Line 1249 | Q72 | The author of the passage believes that flowers are creations of Natureâ€™s luxury. => The author of the passage believes that flowers are creations of Nature’s luxury.
Line 1310 | Q75 | a + b means a âˆ’ b => a + b means a - b
Line 1311 | Q75 | a âˆ’ b means a Ã— b => a - b means a × b
Line 1312 | Q75 | a Ã— b means a + b => a × b means a + b
Line 1313 | Q75 | a Ã· b means a + b => a ÷ b means a + b
Line 1317 | Q75 | 10 + 30 âˆ’ 100 Ã— 50 Ã· 25 => 10 + 30 - 100 × 50 ÷ 25
Line 1323 | Q75 | (c) âˆ’15 => (c) -15
Line 1324 | Q75 | (d) âˆ’25 => (d) -25
Line 1328 | Q76 | If P means â€˜greater than (>)â€™, Q means â€˜less than (<)â€™, R means â€˜not greater than (â‰¤)â€™, S means â€˜not less than (â‰¥)â€™ and T means â€˜equal to (=)â€™, then consider the following statements: => If P means ‘greater than (>)’, Q means ‘less than (<)’, R means ‘not greater than (=)’, S means ‘not less than (=)’ and T means ‘equal to (=)’, then consider the following statements:
Line 1343 | Q77 | In a certain code, â€˜ABCDâ€™ is written as 24 and â€˜EFGHâ€™ is written as 1680, then how is â€˜IJKLâ€™ written in that code? => In a certain code, ‘ABCD’ is written as 24 and ‘EFGH’ is written as 1680, then how is ‘IJKL’ written in that code?
Line 1352 | Q78 | If in a certain code, â€˜POTâ€™ is written as ATOP and â€˜TRAPâ€™ is written as APART, then how is â€˜ARENAâ€™ written in that code? => If in a certain code, ‘POT’ is written as ATOP and ‘TRAP’ is written as APART, then how is ‘ARENA’ written in that code?
Line 1376 | Q80 | If Q âˆ’ S = 2S and T = R + S + 3, then what is the value of P + R âˆ’ T? => If Q - S = 2S and T = R + S + 3, then what is the value of P + R - T?
