Line 5 | Q | Passage â€“ 1 => Passage – 1
Line 614 | Q45 | (c) â‚¹2,360 => (c) ?2,360
Line 615 | Q45 | (d) â‚¹2,320 => (d) ?2,320
Line 620 | Q46 | After 25 minutes stay, returns via longer route (1.25Ã— distance) at double speed, reaches home at 16:00. => After 25 minutes stay, returns via longer route (1.25× distance) at double speed, reaches home at 16:00.
Line 633 | Q47 | A gets 2Ã—B, 3Ã—C, 4Ã—D, 5Ã—E, 6Ã—F => A gets 2×B, 3×C, 4×D, 5×E, 6×F
Line 660 | Q49 | Question: What is Manishaâ€™s age? => Question: What is Manisha’s age?
Line 672 | Q50 | Six lectures Aâ€“F scheduled from 8 AMâ€“2 PM. => Six lectures A–F scheduled from 8 AM–2 PM.
Line 730 | Q55 | A 3-digit PIN using digits 1â€“7, no repetition, decreasing order, and difference between any two digits â‰¥ 2. => A 3-digit PIN using digits 1–7, no repetition, decreasing order, and difference between any two digits = 2.
Line 750 | Q57 | 24 men + 12 women â†’ 30 days => 24 men + 12 women ? 30 days
Line 751 | Q57 | 12 men + 24 women â†’ ? => 12 men + 24 women ? ?
Line 762 | Q58 | 91 Ã— 92 Ã— 93 Ã— 94 Ã— 95 Ã— 96 Ã— 97 Ã— 98 Ã— 99 => 91 × 92 × 93 × 94 × 95 × 96 × 97 × 98 × 99
Line 772 | Q59 | Rectangle 20 cm Ã— 8 cm => Rectangle 20 cm × 8 cm
Line 863 | Q66 | Ã— => ×
Line 867 | Q66 | pÃ—q=2430, find the difference between  => p×q=2430, find the difference between 
Line 887 | Q67 | Ã— => ×
Line 889 | Q67 | pÃ—q can be odd => p×q can be odd
Line 952 | Q70 | B, C, D, E = 90Â°, 50Â°, 45Â°, 75Â° => B, C, D, E = 90°, 50°, 45°, 75°
Line 963 | Q71 | Authorâ€™s assumption: => Author’s assumption:
Line 995 | Q74 | Ã— => ×
Line 999 | Q74 | Ã—n => ×n
Line 1034 | Q77 | 9 cups (3Ã—3 grid), 6 coffee, 3 tea => 9 cups (3×3 grid), 6 coffee, 3 tea
Line 1036 | Q77 | Each row â‰¥ 1 coffee => Each row = 1 coffee
