Line 5 | Q | Passage � 1 => Passage ? 1
Line 743 | Q50 | The best universities like Harvard and MIT, despite having the luxury of having some truly excellent teachers on their payroll, are increasingly embracing the �flipped classroom� format, where students listen to video lectures at home, and spend class time applying their knowledge, solving problems, discussing examples, etc. Professors guide that discussion and fill in wherever necessary, explaining those bits that seem to be eluding the students and throwing in advanced ideas that happen to be topical. These universities have made their video lectures available free for anyone in the world. They are also encouraging colleges and universities all over the world to integrate these online courses into their own pedagogy, picking the pieces that are appropriate for their needs and building a package around them. => The best universities like Harvard and MIT, despite having the luxury of having some truly excellent teachers on their payroll, are increasingly embracing the ?flipped classroom? format, where students listen to video lectures at home, and spend class time applying their knowledge, solving problems, discussing examples, etc. Professors guide that discussion and fill in wherever necessary, explaining those bits that seem to be eluding the students and throwing in advanced ideas that happen to be topical. These universities have made their video lectures available free for anyone in the world. They are also encouraging colleges and universities all over the world to integrate these online courses into their own pedagogy, picking the pieces that are appropriate for their needs and building a package around them.
Line 754 | Q51 | Passage � 2 => Passage ? 2
Line 787 | Q55 | A person P asks one of his three friends X as to how much money he had. X replied, �If Y gives me ? 40, then Y will have half of as much as Z, but if Z gives me ? 40, then three of us will have equal amount.� What is the total amount of money that X, Y and Z have ? => A person P asks one of his three friends X as to how much money he had. X replied, ?If Y gives me ? 40, then Y will have half of as much as Z, but if Z gives me ? 40, then three of us will have equal amount.? What is the total amount of money that X, Y and Z have ?
Line 796 | Q56 | In a code language �MATHEMATICS� is written as �LBSIDNZUHDR�. How is �CHEMISTRY� written in that code language ? => In a code language ?MATHEMATICS? is written as ?LBSIDNZUHDR?. How is ?CHEMISTRY? written in that code language ?
Line 805 | Q57 | At which one of the following times, do the hour hand and the minute hand of the clock make an angle of 180� with each other ? => At which one of the following times, do the hour hand and the minute hand of the clock make an angle of 180? with each other ?
Line 836 | Q60 | (PQ) � 3 = RQQ, where P, Q and R are different digits and R ? 0. => (PQ) ? 3 = RQQ, where P, Q and R are different digits and R ? 0.
Line 838 | Q60 | What is the value of (P + R) � Q ? => What is the value of (P + R) ? Q ?
Line 845 | Q60 | Passage � 1 => Passage ? 1
Line 847 | Q60 | Can a democracy avoid being a welfare state for long ? Why cannot mass welfare be left entirely to the markets ? There is a built-in tension between markets and democracy. Markets do not work on a one-person-one-vote principle as democracies do. What one gets out of the market place depends on one�s endowments, skills, purchasing power and the forces of demand and supply. Markets reward individual initiative and skill, and may also lift many from the bottom rungs of society, but some people never get the opportunity to develop skills that markets demand; they are simply too poor and too handicapped; or skill formation takes too long. By creating jobs, markets may be able to help even unskilled people, but capitalism has always witnessed bursts of unemployment. => Can a democracy avoid being a welfare state for long ? Why cannot mass welfare be left entirely to the markets ? There is a built-in tension between markets and democracy. Markets do not work on a one-person-one-vote principle as democracies do. What one gets out of the market place depends on one?s endowments, skills, purchasing power and the forces of demand and supply. Markets reward individual initiative and skill, and may also lift many from the bottom rungs of society, but some people never get the opportunity to develop skills that markets demand; they are simply too poor and too handicapped; or skill formation takes too long. By creating jobs, markets may be able to help even unskilled people, but capitalism has always witnessed bursts of unemployment.
Line 866 | Q61 | Passage � 2 => Passage ? 2
Line 996 | Q74 | (a) 54� => (a) 54?
Line 997 | Q74 | (b) 96� => (b) 96?
Line 998 | Q74 | (c) 108� => (c) 108?
Line 999 | Q74 | (d) 120� => (d) 120?
Line 1029 | Q77 | X said to Y, �At the time of your birth I was twice as old as you are at present.� If the present age of X is 42 years, then consider the following statements : => X said to Y, ?At the time of your birth I was twice as old as you are at present.? If the present age of X is 42 years, then consider the following statements :
Line 1053 | Q79 | When a certain number is multiplied by 7, the product entirely comprises ones only (1111�). => When a certain number is multiplied by 7, the product entirely comprises ones only (1111?).
