CSAT-2019 encoding fixes
Format: Line | Q# | Before => After
180 | Q7 | Around 56 million years ago, the Atlantic Ocean had not fully opened and animals, perhaps including our primate ancestors, could walk from Asia to North America through Europe and across Greenland. Earth was warmer than it is today, but as the Palaeocene epoch gave way to Eocene, it was about to get much warmer still—rapidly and radically. The cause was a massive geologically sudden release of carbon. During this period called Palaeocene–Eocene Thermal Maximum or PETM, the carbon injected into the atmosphere was roughly the amount that would be injected today if humans burned all the Earth’s reserves of coal, oil and natural gas. The PETM lasted for about 1,50,000 years, until the excess carbon was reabsorbed. It brought on drought, floods, insect plagues and a few extinctions. Life on Earth survived—indeed, it prospered—but it was drastically different. => Around 56 million years ago, the Atlantic Ocean had not fully opened and animals, perhaps including our primate ancestors, could walk from Asia to North America through Europe and across Greenland. Earth was warmer than it is today, but as the Palaeocene epoch gave way to Eocene, it was about to get much warmer still-rapidly and radically. The cause was a massive geologically sudden release of carbon. During this period called Palaeocene-Eocene Thermal Maximum or PETM, the carbon injected into the atmosphere was roughly the amount that would be injected today if humans burned all the Earth's reserves of coal, oil and natural gas. The PETM lasted for about 1,50,000 years, until the excess carbon was reabsorbed. It brought on drought, floods, insect plagues and a few extinctions. Life on Earth survived-indeed, it prospered-but it was drastically different.
187 | Q7 | Passage—1 => Passage-1
195 | Q8 | Global warming has a bearing on the planet’s biological evolution. => Global warming has a bearing on the planet's biological evolution.
199 | Q8 | Increased warming of Earth’s atmosphere can change the composition of its flora and fauna. => Increased warming of Earth's atmosphere can change the composition of its flora and fauna.
215 | Q8 | Passage—1 => Passage-1
232 | Q9 | Passage—1 => Passage-1
249 | Q10 | Passage—1 => Passage-1
267 | Q11 | Passage—1 => Passage-1
273 | Q12 | Mr ‘X’ has three children. The birthday of the first child falls on the 5th Monday of April, that of the second one falls on the 5th Thursday of November. On which day is the birthday of his third child, which falls on 20th December? => Mr 'X' has three children. The birthday of the first child falls on the 5th Monday of April, that of the second one falls on the 5th Thursday of November. On which day is the birthday of his third child, which falls on 20th December?
284 | Q12 | Passage—1 => Passage-1
316 | Q13 | Passage—1 => Passage-1
333 | Q14 | Passage—1 => Passage-1
350 | Q15 | Passage—1 => Passage-1
367 | Q16 | Passage—1 => Passage-1
373 | Q17 | Raju has ₹ 9000 with him and he wants to buy a mobile handset, but he finds that he has only 75% of the amount required to buy the handset. Therefore, he borrows ₹ 2000 from a friend. Then => Raju has ? 9000 with him and he wants to buy a mobile handset, but he finds that he has only 75% of the amount required to buy the handset. Therefore, he borrows ? 2000 from a friend. Then
376 | Q17 | (c) Raju has enough amount to buy the handset and he will have ₹ 500 with him after buying the handset. => (c) Raju has enough amount to buy the handset and he will have ? 500 with him after buying the handset.
377 | Q17 | (d) Raju has enough amount to buy the handset and he will have ₹ 1000 with him after buying the handset. => (d) Raju has enough amount to buy the handset and he will have ? 1000 with him after buying the handset.
385 | Q17 | Passage—1 => Passage-1
391 | Q18 | In 2002, Meenu’s age was one-third of the age of Meera, whereas in 2010, Meenu’s age was half the age of Meera. What is Meenu’s year of birth? => In 2002, Meenu's age was one-third of the age of Meera, whereas in 2010, Meenu's age was half the age of Meera. What is Meenu's year of birth?
402 | Q18 | Passage—1 => Passage-1
408 | Q19 | Rakesh and Rajesh together bought 10 balls and 10 rackets. Rakesh spent ₹ 1300 and Rajesh spent ₹ 1500. If each racket costs three times a ball does, then what is the price of a racket? => Rakesh and Rajesh together bought 10 balls and 10 rackets. Rakesh spent ? 1300 and Rajesh spent ? 1500. If each racket costs three times a ball does, then what is the price of a racket?
409 | Q19 | (a) ₹ 70 => (a) ? 70
410 | Q19 | (b) ₹ 90 => (b) ? 90
411 | Q19 | (c) ₹ 210 => (c) ? 210
412 | Q19 | (d) ₹ 240 => (d) ? 240
419 | Q19 | Passage—1 => Passage-1
442 | Q20 | Passage—1 (IoT) => Passage-1 (IoT)
444 | Q20 | Low-end IoT (Internet of Things) devices are cheap commodity items: addressing security would add to the cost. This class of items is proliferating with new applications; many home appliances, thermostats, security and monitoring devices and personal convenience devices are part of the IoT. So are fitness trackers, certain medical implants and computer-like devices in automobiles. The IoT is expected to expand exponentially—but new security challenges are daunting. => Low-end IoT (Internet of Things) devices are cheap commodity items: addressing security would add to the cost. This class of items is proliferating with new applications; many home appliances, thermostats, security and monitoring devices and personal convenience devices are part of the IoT. So are fitness trackers, certain medical implants and computer-like devices in automobiles. The IoT is expected to expand exponentially-but new security challenges are daunting.
451 | Q20 | Passage—1 => Passage-1
464 | Q21 | Passage—2 => Passage-2
473 | Q21 | Passage—1 => Passage-1
490 | Q22 | Passage—1 => Passage-1
502 | Q23 | Passage—3 => Passage-3
504 | Q23 | The rural poor across the world, including India, have contributed little to human-induced climate change, yet they are on the frontline in coping with its effects. Farmers can no longer rely on historical averages for rainfall and temperature, and the more frequent and extreme weather events, such as droughts and floods, can spell disaster. And there are new threats, such as sea level rise and the impact of melting glaciers on water supply. How significant are small farms? As many as two billion people worldwide depend on them for their food and livelihood. Small-holder farmers in India produce 41 percent of the country’s food grains, and other food items that contribute to local and national food security. => The rural poor across the world, including India, have contributed little to human-induced climate change, yet they are on the frontline in coping with its effects. Farmers can no longer rely on historical averages for rainfall and temperature, and the more frequent and extreme weather events, such as droughts and floods, can spell disaster. And there are new threats, such as sea level rise and the impact of melting glaciers on water supply. How significant are small farms? As many as two billion people worldwide depend on them for their food and livelihood. Small-holder farmers in India produce 41 percent of the country's food grains, and other food items that contribute to local and national food security.
511 | Q23 | Passage—1 => Passage-1
528 | Q24 | Passage—1 => Passage-1
547 | Q25 | Passage—4 => Passage-4
549 | Q25 | A changing climate, and the eventual efforts of governments (however reluctant) to deal with it, could have a big impact on investors’ returns. Companies that produce or use large amounts of fossil fuels will face higher taxes and regulatory burdens. Some energy producers may find it impossible to exploit their known reserves, and be left with “stranded assets”—deposits of oil and coal that have to be left in the ground. Other industries could be affected by the economic damage caused by more extreme weather—storms, floods, heat waves and droughts. => A changing climate, and the eventual efforts of governments (however reluctant) to deal with it, could have a big impact on investors' returns. Companies that produce or use large amounts of fossil fuels will face higher taxes and regulatory burdens. Some energy producers may find it impossible to exploit their known reserves, and be left with "stranded assets"-deposits of oil and coal that have to be left in the ground. Other industries could be affected by the economic damage caused by more extreme weather-storms, floods, heat waves and droughts.
556 | Q25 | Passage—1 => Passage-1
576 | Q26 | Passage—5 => Passage-5
585 | Q26 | Passage—1 => Passage-1
606 | Q27 | Passage—6 => Passage-6
608 | Q27 | A majority of the TB infected in India are poor and lack sufficient nutrition, suitable housing and have little understanding of prevention. TB then devastates families, makes the poor poorer, particularly affects women and children, and leads to ostracisation and loss of employment. The truth is that even if TB does not kill them, hunger and poverty will. Another truth is that deep-seated stigma, lack of counselling, expensive treatment and lack of adequate support from providers and family, coupled with torturous side-effects demotivate patients to continue treatment—with disastrous health consequences. => A majority of the TB infected in India are poor and lack sufficient nutrition, suitable housing and have little understanding of prevention. TB then devastates families, makes the poor poorer, particularly affects women and children, and leads to ostracisation and loss of employment. The truth is that even if TB does not kill them, hunger and poverty will. Another truth is that deep-seated stigma, lack of counselling, expensive treatment and lack of adequate support from providers and family, coupled with torturous side-effects demotivate patients to continue treatment-with disastrous health consequences.
615 | Q27 | Passage—1 => Passage-1
624 | Q28 | (c) Government’s surveillance mechanism is deficient, and poor people have no access to treatment. => (c) Government's surveillance mechanism is deficient, and poor people have no access to treatment.
633 | Q28 | Passage—1 => Passage-1
658 | Q29 | Passage—1 => Passage-1
675 | Q30 | Passage—1 => Passage-1
699 | Q31 | Passage—1 => Passage-1
724 | Q32 | Passage—1 => Passage-1
741 | Q33 | Passage—1 => Passage-1
758 | Q34 | Passage—1 => Passage-1
775 | Q35 | Passage—1 => Passage-1
792 | Q36 | Passage—1 => Passage-1
800 | Q37 | (b) (y − x) is greater than 15 => (b) (y - x) is greater than 15
801 | Q37 | (c) (y − x) is less than or equal to 15 => (c) (y - x) is less than or equal to 15
810 | Q37 | Passage—1 => Passage-1
816 | Q38 | Ena was born 4 years after her parents’ marriage. Her mother is three years younger than her father and 24 years older than Ena, who is 13 years old. At what age did Ena’s father get married? => Ena was born 4 years after her parents' marriage. Her mother is three years younger than her father and 24 years older than Ena, who is 13 years old. At what age did Ena's father get married?
827 | Q38 | Passage—1 => Passage-1
844 | Q39 | Passage—1 => Passage-1
861 | Q40 | Passage—1 (GM Technology) => Passage-1 (GM Technology)
863 | Q40 | What stands in the way of the widespread and careful adoption of ‘Genetic Modification (GM)’ technology is an ‘Intellectual Property Rights’ regime that seeks to create private monopolies for such technologies. If GM technology is largely corporate driven, it seeks to maximize profits and that too in the short run. That is why corporations make major investments for herbicide-tolerant and pest-resistant crops. Such properties have only a short window, as soon enough, pests and weeds will evolve to overcome such resistance. This suits the corporations. The National Farmers Commission pointed out that priority must be given in genetic modification to the incorporation of genes that can help impart resistance to drought, salinity and other stresses. => What stands in the way of the widespread and careful adoption of 'Genetic Modification (GM)' technology is an 'Intellectual Property Rights' regime that seeks to create private monopolies for such technologies. If GM technology is largely corporate driven, it seeks to maximize profits and that too in the short run. That is why corporations make major investments for herbicide-tolerant and pest-resistant crops. Such properties have only a short window, as soon enough, pests and weeds will evolve to overcome such resistance. This suits the corporations. The National Farmers Commission pointed out that priority must be given in genetic modification to the incorporation of genes that can help impart resistance to drought, salinity and other stresses.
870 | Q40 | Passage—1 => Passage-1
887 | Q41 | Passage—1 => Passage-1
905 | Q42 | Passage—2 => Passage-2
907 | Q42 | Most invasive species are neither terribly successful nor very harmful. Britain’s invasive plants are not widespread, not spreading especially quickly, and often less of a nuisance than vigorous natives such as bracken. The arrival of new species almost always increases biological diversity in a region; in many cases, a flood of newcomers drives no native species to extinction. One reason is that invaders tend to colonise disturbed habitats like polluted lakes and post-industrial wasteland, where little else lives. They are nature’s opportunists. => Most invasive species are neither terribly successful nor very harmful. Britain's invasive plants are not widespread, not spreading especially quickly, and often less of a nuisance than vigorous natives such as bracken. The arrival of new species almost always increases biological diversity in a region; in many cases, a flood of newcomers drives no native species to extinction. One reason is that invaders tend to colonise disturbed habitats like polluted lakes and post-industrial wasteland, where little else lives. They are nature's opportunists.
914 | Q42 | Passage—1 => Passage-1
927 | Q43 | Passage—3 => Passage-3
936 | Q43 | Passage—1 => Passage-1
956 | Q44 | Passage—4 => Passage-4
958 | Q44 | The interests of working and poor people have historically been neglected in the planning of our cities. Our cities are increasingly intolerant, unsafe and unlivable places for large numbers of citizens and yet we continue to plan via the old ways—the static Development Plan—that draws exclusively from technical expertise, distanced from people’s lived experiences and needs, and actively excluding large number of people, places, activities and practices that are an integral part of the city. => The interests of working and poor people have historically been neglected in the planning of our cities. Our cities are increasingly intolerant, unsafe and unlivable places for large numbers of citizens and yet we continue to plan via the old ways-the static Development Plan-that draws exclusively from technical expertise, distanced from people's lived experiences and needs, and actively excluding large number of people, places, activities and practices that are an integral part of the city.
965 | Q44 | Passage—1 => Passage-1
975 | Q45 | (d) in favour of participation of people’s groups in city planning. => (d) in favour of participation of people's groups in city planning.
978 | Q45 | Passage—5 => Passage-5
980 | Q45 | A vast majority of Indians are poor, with barely 10 percent employed in the organised sector. We are being convinced that vigorous economic growth is generating substantial employment. But this is not so. When our economy was growing at 3 percent per year, employment in the organised sector was growing at 2 percent per year. As the economy began to grow at 7–8 percent per year, the rate of growth of employment in the organised sector actually declined to 1 percent per year. => A vast majority of Indians are poor, with barely 10 percent employed in the organised sector. We are being convinced that vigorous economic growth is generating substantial employment. But this is not so. When our economy was growing at 3 percent per year, employment in the organised sector was growing at 2 percent per year. As the economy began to grow at 7-8 percent per year, the rate of growth of employment in the organised sector actually declined to 1 percent per year.
987 | Q45 | Passage—1 => Passage-1
1009 | Q46 | Passage—6 => Passage-6
1011 | Q46 | India has banking correspondents, who help bring people in the hinterland into the banking fold. For them to succeed, banks cannot crimp on costs. They also cannot afford to ignore investing in financial education and literacy. Banking correspondents are way too small to be viewed as a systemic risk. Yet India’s banking regulator has restricted them to serving only one bank, perhaps to prevent arbitrage. Efforts at banking outreach may succeed only if there are better incentives at work for such last-mile workers and also those providers who ensure not just basic bank accounts but also products such as accident and life insurance and micro pension schemes. => India has banking correspondents, who help bring people in the hinterland into the banking fold. For them to succeed, banks cannot crimp on costs. They also cannot afford to ignore investing in financial education and literacy. Banking correspondents are way too small to be viewed as a systemic risk. Yet India's banking regulator has restricted them to serving only one bank, perhaps to prevent arbitrage. Efforts at banking outreach may succeed only if there are better incentives at work for such last-mile workers and also those providers who ensure not just basic bank accounts but also products such as accident and life insurance and micro pension schemes.
1018 | Q46 | Passage—1 => Passage-1
1025 | Q47 | (a) Efforts to bring people in India’s hinterland into the banking system are not successful. => (a) Efforts to bring people in India's hinterland into the banking system are not successful.
1026 | Q47 | (b) For meaningful financial inclusion, India’s banking system needs more number of banking correspondents and other such last-mile workers. => (b) For meaningful financial inclusion, India's banking system needs more number of banking correspondents and other such last-mile workers.
1030 | Q47 | Suppose you have sufficient amount of rupee currency in three denominations: ₹1, ₹10 and ₹50. In how many different ways can you pay a bill of ₹107? => Suppose you have sufficient amount of rupee currency in three denominations: ?1, ?10 and ?50. In how many different ways can you pay a bill of ?107?
1116 | Q56 | Suppose you have sufficient amount of rupee currency in three denominations : ₹ 1, ₹ 10 and ₹ 50. In how many different ways can you pay a bill of ₹ 107 ? => Suppose you have sufficient amount of rupee currency in three denominations : ? 1, ? 10 and ? 50. In how many different ways can you pay a bill of ? 107 ?
1128 | Q56 | Passage—1 => Passage-1
1134 | Q57 | ‘A’ started from his house and walked 20 m towards East, where his friend ‘B’ joined him. They together walked 10 m in the same direction. Then ‘A’ turned left while ‘B’ turned right and travelled 2 m and 8 m respectively. Again ‘B’ turned left to travel 4 m followed by 5 m to his right to reach his office. ‘A’ turned right and travelled 12 m to reach his office. What is the shortest distance between the two offices? => 'A' started from his house and walked 20 m towards East, where his friend 'B' joined him. They together walked 10 m in the same direction. Then 'A' turned left while 'B' turned right and travelled 2 m and 8 m respectively. Again 'B' turned left to travel 4 m followed by 5 m to his right to reach his office. 'A' turned right and travelled 12 m to reach his office. What is the shortest distance between the two offices?
1145 | Q57 | Passage—1 => Passage-1
1169 | Q58 | Passage—1 => Passage-1
1186 | Q59 | Passage—1 => Passage-1
1203 | Q60 | Passage—1 (Regulation & Economy) => Passage-1 (Regulation & Economy)
1205 | Q60 | India’s economic footprint, given its population, still remains small compared to the US, the European Union or China. It has much to learn from other economies, yet must implement solutions that fit its unique circumstances. India especially needs an effective long-term regulatory system based on collaboration rather than the current top-down approach. Regulations seek desirable outcomes yet are repeatedly used as political tools to push one agenda or another. Often, regulations fail to consider impacts on jobs and economic growth—or less restrictive alternatives. Regulations may be used to protect local markets at the expense of more widely shared prosperity in the future. Additionally, regulations inevitably result in numerous unintended consequences. In today’s hyper competitive global economy, regulations need to be viewed as “weapons” that seek cost-justified social and environmental benefits while improving the economic well-being of most citizens. => India's economic footprint, given its population, still remains small compared to the US, the European Union or China. It has much to learn from other economies, yet must implement solutions that fit its unique circumstances. India especially needs an effective long-term regulatory system based on collaboration rather than the current top-down approach. Regulations seek desirable outcomes yet are repeatedly used as political tools to push one agenda or another. Often, regulations fail to consider impacts on jobs and economic growth-or less restrictive alternatives. Regulations may be used to protect local markets at the expense of more widely shared prosperity in the future. Additionally, regulations inevitably result in numerous unintended consequences. In today's hyper competitive global economy, regulations need to be viewed as "weapons" that seek cost-justified social and environmental benefits while improving the economic well-being of most citizens.
1212 | Q60 | Passage—1 => Passage-1
1221 | Q61 | (c) Regulations in India do not favour its integration with today’s hyper competitive global economy. => (c) Regulations in India do not favour its integration with today's hyper competitive global economy.
1222 | Q61 | (d) Job creation and economic growth should be dominant considerations in developing India’s regulatory system. => (d) Job creation and economic growth should be dominant considerations in developing India's regulatory system.
1229 | Q61 | Passage—1 => Passage-1
1237 | Q62 | In today’s global economy, => In today's global economy,
1250 | Q62 | Passage—2 (Microbiome & Malnutrition) => Passage-2 (Microbiome & Malnutrition)
1252 | Q62 | In a study, scientists compared the microbiomes of poorly nourished and well nourished infants and young children. Gut microbes were isolated from faecal samples of malnourished and healthy children. The microbiome was “immature” and less diverse in malnourished children compared to the better developed “mature” microbiome found in healthy children of the same age. According to some studies, the chemical composition of mother’s milk has shown the presence of a modified sugar (sialylated oligosaccharides). This is not utilized by the baby for its own nutrition. However, the bacteria constituting the infant’s microbiome thrive on this sugar which serves as their food. Malnourished mothers have low levels of this sugar in their milk. Consequently, the microbiomes of their infants fail to mature. That in turn, leads to malnourished babies. => In a study, scientists compared the microbiomes of poorly nourished and well nourished infants and young children. Gut microbes were isolated from faecal samples of malnourished and healthy children. The microbiome was "immature" and less diverse in malnourished children compared to the better developed "mature" microbiome found in healthy children of the same age. According to some studies, the chemical composition of mother's milk has shown the presence of a modified sugar (sialylated oligosaccharides). This is not utilized by the baby for its own nutrition. However, the bacteria constituting the infant's microbiome thrive on this sugar which serves as their food. Malnourished mothers have low levels of this sugar in their milk. Consequently, the microbiomes of their infants fail to mature. That in turn, leads to malnourished babies.
1259 | Q62 | Passage—1 => Passage-1
1268 | Q63 | (c) Babies of malnourished mothers should be fed with dairy milk fortified with sialylated oligosaccharides instead of mother’s milk. => (c) Babies of malnourished mothers should be fed with dairy milk fortified with sialylated oligosaccharides instead of mother's milk.
1276 | Q63 | Passage—1 => Passage-1
1294 | Q64 | Passage—3 (Antarctica & Climate Impact) => Passage-3 (Antarctica & Climate Impact)
1303 | Q64 | Passage—1 => Passage-1
1324 | Q65 | Passage—4 (Ecosystem Resilience & Owls) => Passage-4 (Ecosystem Resilience & Owls)
1333 | Q65 | Passage—1 => Passage-1
1345 | Q66 | Humans are responsible for the loss of the Earth’s natural resilience. => Humans are responsible for the loss of the Earth's natural resilience.
1353 | Q66 | Passage—5 (Crop Diversity Crisis) => Passage-5 (Crop Diversity Crisis)
1355 | Q66 | Food varieties extinction is happening all over the world—and it is happening fast. For example, of the 7,000 apple varieties that were grown during the nineteenth century, fewer than a hundred remain. In the Philippines, thousands of varieties of rice once thrived; now only up to a hundred are grown there. In China, 90 percent of the wheat varieties cultivated just a century ago have disappeared. Farmers in the past painstakingly bred and developed crops well suited to the peculiarities of their local climate and environment. In the recent past, our heavy dependence on a few high yielding varieties and technology-driven production and distribution of food is causing the dwindling of diversity in food crops. If some mutating crop disease or future climate change decimates the few crop plants we have come to depend on to feed our growing population, we might desperately need some of those varieties we have let go extinct. => Food varieties extinction is happening all over the world-and it is happening fast. For example, of the 7,000 apple varieties that were grown during the nineteenth century, fewer than a hundred remain. In the Philippines, thousands of varieties of rice once thrived; now only up to a hundred are grown there. In China, 90 percent of the wheat varieties cultivated just a century ago have disappeared. Farmers in the past painstakingly bred and developed crops well suited to the peculiarities of their local climate and environment. In the recent past, our heavy dependence on a few high yielding varieties and technology-driven production and distribution of food is causing the dwindling of diversity in food crops. If some mutating crop disease or future climate change decimates the few crop plants we have come to depend on to feed our growing population, we might desperately need some of those varieties we have let go extinct.
1362 | Q66 | Passage—1 => Passage-1
1390 | Q67 | Passage—1 => Passage-1
1407 | Q68 | Passage—1 => Passage-1
1432 | Q69 | Passage—1 => Passage-1
1449 | Q70 | Passage—1 => Passage-1
1457 | Q71 | G is a widow and sister-in-law of D’s father F. => G is a widow and sister-in-law of D's father F.
1482 | Q71 | Passage—1 => Passage-1
1499 | Q72 | Passage—1 => Passage-1
1517 | Q73 | Passage—1 => Passage-1
1523 | Q74 | If $ means ‘divided by’; @ means ‘multiplied by’; # means ‘minus’, then the value of => If $ means 'divided by'; @ means 'multiplied by'; # means 'minus', then the value of
1535 | Q74 | Passage—1 => Passage-1
1547 | Q75 | 🔽 Logical Ranking Set (Q76–78) => 🔽 Logical Ranking Set (Q76-78)
1573 | Q75 | Passage—1 => Passage-1
1590 | Q76 | Passage—1 => Passage-1
1607 | Q77 | Passage—1 => Passage-1
1619 | Q78 | 🔽 Statement-Based Reasoning (Q79–80) => 🔽 Statement-Based Reasoning (Q79-80)
1632 | Q78 | Passage—1 => Passage-1
1642 | Q79 | (d) ‘Whose weight is greatest’ cannot be determined => (d) 'Whose weight is greatest' cannot be determined
1649 | Q79 | Passage—1 => Passage-1
1659 | Q80 | (d) ‘Whose weight is least’ cannot be determined => (d) 'Whose weight is least' cannot be determined
