CSAT-2017 question number fixes
Format: Line | Before => After
457 | 42. Which among the following is the most logical, rational and critical inference that can be made from the above passage? => Q42. / Which among the following is the most logical, rational and critical inference that can be made from the above passage?
467 | 43. Which among the following is the most logical and essential message conveyed by the above passage? => Q43. / Which among the following is the most logical and essential message conveyed by the above passage?
478 | 44. Which among the following is the most logical, rational and critical inference that can be made from the above passage? => Q44. / Which among the following is the most logical, rational and critical inference that can be made from the above passage?
490 | 45. Which among the following is the most logical and rational assumption that can be made from the above passage? => Q45. / Which among the following is the most logical and rational assumption that can be made from the above passage?
500 | 46. Which of the following is the most rational inference from the above passage? => Q46. / Which of the following is the most rational inference from the above passage?
512 | 47. On the basis of the above passage, the following assumptions have been made: => Q47. / On the basis of the above passage, the following assumptions have been made:
526 | 48. Which of the following statements is/are correct regarding biopesticides? => Q48. / Which of the following statements is/are correct regarding biopesticides?
540 | 49. Certain 3-digit numbers have the following characteristics: => Q49. / Certain 3-digit numbers have the following characteristics:
554 | 50. Examine the following statements: => Q50. / Examine the following statements:
572 | 51. How many numbers are there between 99 and 1000 such that the digit 8 occupies the units place? => Q51. / How many numbers are there between 99 and 1000 such that the digit 8 occupies the units place?
578 | 52. If for a sample data => Q52. / If for a sample data
586 | 53. The age of Mr. X last year was the square of a number and it would be the cube of a number next year. What is the least number of years he must wait for his age to become the cube of a number again? => Q53. / The age of Mr. X last year was the square of a number and it would be the cube of a number next year. What is the least number of years he must wait for his age to become the cube of a number again?
592 | 54. P works thrice as fast as Q, whereas P and Q together can work four times as fast as R. If P, Q and R together work on a job, in what ratio should they share the earnings? => Q54. / P works thrice as fast as Q, whereas P and Q together can work four times as fast as R. If P, Q and R together work on a job, in what ratio should they share the earnings?
598 | 55. Consider the following relationships among members of a family of six persons A, B, C, D, E and F: => Q55. / Consider the following relationships among members of a family of six persons A, B, C, D, E and F:
618 | 56. A bag contains 20 balls. 8 balls are green, 7 are white and 5 are red. What is the minimum number of balls that must be picked up from the bag blindfolded (without replacing any of it) to be assured of picking at least one ball of each colour? => Q56. / A bag contains 20 balls. 8 balls are green, 7 are white and 5 are red. What is the minimum number of balls that must be picked up from the bag blindfolded (without replacing any of it) to be assured of picking at least one ball of each colour?
624 | 57. If 2 boys and 2 girls are to be arranged in a row so that the girls are not next to each other, how many possible arrangements are there? => Q57. / If 2 boys and 2 girls are to be arranged in a row so that the girls are not next to each other, how many possible arrangements are there?
630 | 58. The outer surface of a 4 cm × 4 cm × 4 cm cube is painted completely in red. It is sliced parallel to the faces to yield sixty four 1 cm × 1 cm × 1 cm small cubes. How many small cubes do not have painted faces? => Q58. / The outer surface of a 4 cm × 4 cm × 4 cm cube is painted completely in red. It is sliced parallel to the faces to yield sixty four 1 cm × 1 cm × 1 cm small cubes. How many small cubes do not have painted faces?
636 | 59. Consider the following: => Q59. / Consider the following:
655 | 60. In a certain code, ‘256’ means ‘red colour chalk’, ‘589’ means ‘green colour flower’ and ‘254’ means ‘white colour chalk’. The digit in the code that indicates ‘white’ is => Q60. / In a certain code, ‘256’ means ‘red colour chalk’, ‘589’ means ‘green colour flower’ and ‘254’ means ‘white colour chalk’. The digit in the code that indicates ‘white’ is
670 | 61. Which among the following is the most logical and rational inference that can be made from the above passage? => Q61. / Which among the following is the most logical and rational inference that can be made from the above passage?
680 | 62. Which among the following is the most logical and rational inference that can be made from the above passage? => Q62. / Which among the following is the most logical and rational inference that can be made from the above passage?
691 | 63. Which among the following is the most logical and rational inference that can be made from the above passage? => Q63. / Which among the following is the most logical and rational inference that can be made from the above passage?
701 | 64. Which among the following is the most logical and rational inference that can be made from the above passage? => Q64. / Which among the following is the most logical and rational inference that can be made from the above passage?
712 | 65. Which among the following is the most logical corollary to the above passage? => Q65. / Which among the following is the most logical corollary to the above passage?
722 | 66. Which one of the following views corroborates the above statement? => Q66. / Which one of the following views corroborates the above statement?
732 | 67. The above statement argues for => Q67. / The above statement argues for
740 | 68. The average rainfall in a city for the first four days was recorded to be 0.40 inch. The rainfall on the last two days was in the ratio of 4 : 3. The average of six days was 0.50 inch. What was the rainfall on the fifth day? => Q68. / The average rainfall in a city for the first four days was recorded to be 0.40 inch. The rainfall on the last two days was in the ratio of 4 : 3. The average of six days was 0.50 inch. What was the rainfall on the fifth day?
765 | 69. Who is specialized in Geography? => Q69. / Who is specialized in Geography?
771 | 70. To which city does the Lecturer specialized in Economics belong? => Q70. / To which city does the Lecturer specialized in Economics belong?
777 | 71. Who of the following belongs to Hyderabad? => Q71. / Who of the following belongs to Hyderabad?
785 | 72. In a school, there are five teachers A, B, C, D and E. A and B teach Hindi and English. C and B teach English and Geography. D and A teach Mathematics and Hindi. E and B teach History and French. Who teaches maximum number of subjects? => Q72. / In a school, there are five teachers A, B, C, D and E. A and B teach Hindi and English. C and B teach English and Geography. D and A teach Mathematics and Hindi. E and B teach History and French. Who teaches maximum number of subjects?
791 | 73. A 2-digit number is reversed. The larger of the two numbers is divided by the smaller one. What is the largest possible remainder? => Q73. / A 2-digit number is reversed. The larger of the two numbers is divided by the smaller one. What is the largest possible remainder?
797 | 74. The monthly incomes of X and Y are in the ratio of 4 : 3 and their monthly expenses are in the ratio of 3 : 2. However, each saves ₹ 6,000 per month. What is their total monthly income? => Q74. / The monthly incomes of X and Y are in the ratio of 4 : 3 and their monthly expenses are in the ratio of 3 : 2. However, each saves ₹ 6,000 per month. What is their total monthly income?
803 | 75. Two walls and a ceiling of a room meet at right angles at a point P. A fly is in the air 1 m from one wall, 8 m from the other wall and 9 m from the point P. How many meters is the fly from the ceiling? => Q75. / Two walls and a ceiling of a room meet at right angles at a point P. A fly is in the air 1 m from one wall, 8 m from the other wall and 9 m from the point P. How many meters is the fly from the ceiling?
818 | 76. While travelling from C to H, which one of the following stations must be passed through? => Q76. / While travelling from C to H, which one of the following stations must be passed through?
826 | 77. In how many different ways can a train travel from F to A without passing through any station more than once? => Q77. / In how many different ways can a train travel from F to A without passing through any station more than once?
832 | 78. If the route between G and C is closed, which one of the following stations need not be passed through while travelling from H to C? => Q78. / If the route between G and C is closed, which one of the following stations need not be passed through while travelling from H to C?
838 | 79. There are certain 2-digit numbers. The difference between the number and the one obtained on reversing it is always 27. How many such maximum 2-digit numbers are there? => Q79. / There are certain 2-digit numbers. The difference between the number and the one obtained on reversing it is always 27. How many such maximum 2-digit numbers are there?
844 | 80. What is the total number of digits printed, if a book containing 150 pages is to be numbered from 1 to 150? => Q80. / What is the total number of digits printed, if a book containing 150 pages is to be numbered from 1 to 150?
