"Concept","Cluster"
"Work & Leisure","Aptitude"
"Education Outcomes & Skills","Aptitude"
"Indian Wetlands & Lakes","Sci & Tech"
"Fundamental Duties",""
"Wolbachia for Mosquito Control","Geography"
"Climate Adaptation & Food Security","Aptitude"
"IMFC","Economy"
"Education System & Learning Outcomes","Aptitude"
"Cryptocurrency","Economy"
"Parliamentary Accountability","Polity"
"Early Medieval Dynasties Chronology","History"
"Sangam Practices","Sci & Tech"
"Open-source Digital Platforms",""
"IMF SDR",""
"Archaeological Sites",""
"Inclusive Innovation & Inequality","Aptitude"
"MSP Procurement Policy",""
"India Exports & PLI Scheme",""
"Right to Marry",""
"Aerospace Technology","Sci & Tech"
"Antarctic Climate Change","Aptitude"
"Battery Cathode Materials",""
"Plastics in Products","Sci & Tech"
"Earth's Early Atmosphere","Geography"
"UDHR and Indian Constitution","Polity"
"Presidential Pardoning Power",""
"Macroeconomics","Economy"
"Coriolis Force",""
"National Rail Plan & Kavach","Sci & Tech"
"Buddhist Text Commentaries",""
"Food Security & Nutrition","Aptitude"
"Freedom Fighters","History"
"Musk Deer Habitat","Environment"
"BRICS 16th Summit","Sci & Tech"
"Congo Basin Geography",""
"Acid Rain Causes","Environment"
"Atmospheric Greenhouse Effect","Economy"
"Climate Risk & Investments","Aptitude"
"Urban Water Governance","Aptitude"
"Governor's Immunities","Polity"
"Plant Defense & Pest Control","Aptitude"
"WTO Agreements","Sci & Tech"
"Seas and Bordering Countries","Sci & Tech"
"Global Indices","Economy"
"Food Security & Resource Management","Aptitude"
"Rivers & Cities","Environment"
"State, Morality & Law","Aptitude"
"Charter Act 1813","History"
"Merchant Discount Rate","Economy"
"Agricultural Households","Economy"
"Election Commission of India","Sci & Tech"
"Ecosystem Conservation vs Livelihoods","Aptitude"
"Public Health & Community Hygiene","Aptitude"
"Circular Economy Benefits","Sci & Tech"
"Indian Flying Fox","Sci & Tech"
"Indian Fauna Distribution",""
"Fifth Schedule Areas","Polity"
"Urban Air Pollution Policy","Aptitude"
"Financialization of Savings","Aptitude"
"INSTC Corridor","Sci & Tech"
"Parliamentary Oversight of Regulators",""
"DPSP Enforceability","Polity"
"Averages","Aptitude"
"Social Media & Democracy","Aptitude"
"PNGRB Regulation Scope",""
"Concept of Equality","Polity"
"Financial Instruments","Economy"
"Gandikota Canyon","Geography"
"Fiscal Deficits","Economy"
"Wood's Dispatch","History"
"Coal Controller?s Organization",""
"Ethnic Conflicts","Sci & Tech"
"Consumer Product Safety","Sci & Tech"
"Bureaucracy in India","Polity"
"Biofuel Feedstocks","Sci & Tech"
"Inclusive Wealth & Sustainability","Aptitude"
"Mineral Resources in India","Geography"
"Parliamentary Procedures","Polity"
"Multidimensional Poverty","Aptitude"
"Desert National Park",""
"Manufacturing Upgradation","Aptitude"
"Carbon Fibre Materials","Sci & Tech"
"Water Conservation in Agriculture","Sci & Tech"
"Constitutional Amendments",""
"Constitution Amendments","Polity"
"GM Food Import Rules","Sci & Tech"
"Metagenomics","Sci & Tech"
"Freshwater Fish Distribution","Environment"
"National Investment and Infrastructure Fund",""
"Fertilizer Production & Pricing","Sci & Tech"
"Preamble to the Constitution","Polity"
"AR & VR Technologies",""
"Longest International Border",""
"Mongol Invasions of India",""
"Non-Cooperation Movement","Economy"
"Earth Rotation Shift","Sci & Tech"
"Buddha Epithets","History"
"Radiative Cooling & Clouds",""
"High-Energy Explosives",""
"Ocean Carbon Cycle","Aptitude"
"Countries with Many Time Zones",""
"Himalayan Peaks","Geography"
"Dancing Girl",""
"Botanical Pesticides & Sustainable Agriculture","Aptitude"
"Janani Suraksha Yojana","Sci & Tech"
"Levant Region","Geography"
"IRNSS/NavIC","Sci & Tech"
"Self-Respect Movement","Sci & Tech"
"Geographical Indications & TRIPS","Economy"
"Gandhi-Irwin Pact",""
"Anti-Defection Law",""
"Ramanuja Philosophy","Sci & Tech"
"Gandhi Peace Prize Jury",""
"Digital Signatures","Sci & Tech"
"Benzene Pollution & Exposure","Environment"
"Speaker of Lok Sabha","Polity"
"Foreign Investment & Employment","Aptitude"
"Military Coups in Africa",""
"Climate Change & Water Resources","Aptitude"
"Environment Protection Act 1986",""
"Inequality & Economic Power","Aptitude"
"Benami Property Law","Polity"
"Cultural Traditions & Festivals",""
"Countercyclical Fiscal Policy","Geography"
"Prorogation & Dissolution","Polity"
"Ordinance Powers",""
"Quality Standards & Certification",""
"Obesity & Dieting","Aptitude"
"Soil Properties & Salinization","Geography"
"Choice Overload","Aptitude"
"Ancient Land Measurement","Economy"
"Enforcement Agencies","Economy"
"Solar Water Pump Technology",""
"Titanium Minerals","Sci & Tech"
"Arctic Geopolitics & Resources","Aptitude"
"Circular Economy & Battery Recycling","Aptitude"
"Attorney General of India",""
"Value of Research","Aptitude"
"National Food Security Act",""
"Judicial Review & Constitutional Amendments","Polity"
"Microsatellite DNA Applications","Sci & Tech"
"Internet of Things","Sci & Tech"
"Middle East Peace Process",""
"Indian Cave Sites","Sci & Tech"
"Mahayana Buddhism Concepts","History"
"Indian Culture","Geography"
"Digital Rupee","Economy"
"Continental Drift Evidence","Geography"
"Capital vs Revenue Expenditure",""
"Writ of Prohibition","Polity"
"Agriculture vs Non-Agriculture Growth","Aptitude"
"Popular Sovereignty","Aptitude"
"Separation of Judiciary and Executive","Polity"
"Faxian in India","History"
"Synthetic Biology",""
"Communication Technologies","Sci & Tech"
"Gucchi Mushroom",""
"Concept of Rights","Polity"
"Crony Capitalism","Aptitude"
"Subsidiary Alliance","History"
"Inflation Indices","Economy"
"Cornwallis Revenue Settlements","Sci & Tech"
"Decision-Making & Perseverance","Aptitude"
"Antibiotics & Environmental Pollution","Aptitude"
"Seismic Waves","Polity"
"Biofilms",""
"Ancient Ports of South India","History"
"Structural Change in Employment",""
"Soil Erosion & Food Security","Aptitude"
"Animal Tool Use",""
"Federalism",""
"External Sector Resilience","Economy"
"Democratic Values",""
"Short-range Communication Tech",""
"Distributed Energy Resources","Sci & Tech"
"G20 Common Framework for Debt","Polity"
"Greenhouse Effect & Atmospheric Heating","Sci & Tech"
"Religious Tolerance & Pluralism","Aptitude"
"Mountain Ranges & Types","Geography"
"Digital India Programme","Economy"
"Organic Farming Risks","Aptitude"
"Artificial Intelligence Applications","Geography"
"Indian Military Aircraft Types","Sci & Tech"
"Writ Jurisdiction",""
"Nuclear Security Governance",""
"Law and Liberty","Polity"
"Isotherms","Geography"
"Monetary Policy","Economy"
"UN International Years","Sci & Tech"
"Indian Ocean Naval Symposium","Geography"
"Quantum Computing & AI","Sci & Tech"
"Constitutional Provisions Mapping","Polity"
"Paleoclimate Change","Aptitude"
"Sangam Literature","History"
"Carbon Nanotubes",""
"Lok Sabha Exclusive Powers",""
"Skill Development","Economy"
"Energy Policy & Climate Transition","Aptitude"
"Indian Squirrels Behavior",""
"Global Climate Change Alliance","Geography"
"Agricultural Technology & Food Security","Aptitude"
"Habit Formation","Aptitude"
"Inflation Control","Economy"
"Bond Market Participants","Economy"
"Zero Tillage","Geography"
"Governance Accountability","Aptitude"
"Legume Family Crops",""
"Happiness & Gift-Giving","Aptitude"
"Food Prices & Demand","Aptitude"
"Indian Islands Geography",""
"Ocean Mean Temperature","Geography"
"UAV Capabilities",""
"CRISPR-Cas9","Economy"
"Conflict Zones in West Asia",""
"Direct Air Capture","Sci & Tech"
"Mahayana Buddhism","History"
"Gupta Period Maritime Trade","Economy"
"Petroleum & Natural Gas Regulatory Board","Sci & Tech"
"Wealth & Failure","Aptitude"
"Sterilization Operations","Economy"
"Foreign Bank Subsidiaries Rules","Economy"
"Web 3.0",""
"Deputy Speaker of Lok Sabha",""
"Ecosystem Valuation","Environment"
"Climate and Clean Air Coalition","Geography"
"Agricultural Imports",""
"Privacy Rights & State Responsibility","Aptitude"
"Ghadar Party Associates",""
"ASI & Archaeology in India","Sci & Tech"
"National Income Accounting","Aptitude"
"Public Health & Productivity","Aptitude"
"Chauri Chaura Defence","Sci & Tech"
"Climate Finance & Policy","Aptitude"
"Bhakti-Sufi Movements","History"
"Radar Applications","Sci & Tech"
"Corporate Governance & Investment","Aptitude"
"Prison Administration",""
"Volcanic Eruption Products",""
"Due Process of Law","Sci & Tech"
"Urban Waste Management & Drainage","Aptitude"
"International Date Line Effect",""
"Industrial Disputes Data","Economy"
"Economic Liberalization & Role of State","Aptitude"
"Truthfulness & Morality","Aptitude"
"Plant vs Animal Cells",""
"Home Guards","Sci & Tech"
"BRSR Reporting","Economy"
"Ancient Irrigation Devices",""
"ATM Network","Economy"
"Urban Development Cooperation","Geography"
"Mediterranean Region","Geography"
"Power Sector Reforms","Sci & Tech"
"Emerging Technologies","Sci & Tech"
"Higher Education & Flipped Classroom","Aptitude"
"Devolution & Decentralization","Aptitude"
"Pallava Rulers & Titles","History"
"Forced Labour","History"
"Geoengineering",""
"Carbon Capture & Sequestration","Geography"
"Greenfield Airports","Sci & Tech"
"National Payments Corporation of India",""
"Government of India Act 1935","History"
"Unemployment & Aspirations","Aptitude"
"EP100 & Climate Group",""
"Indian Physiography",""
"MSME Classification & Priority Sector","Economy"
"Handloom Sector Modernization","Aptitude"
"Kulah-Daran",""
"UPI International Acceptance",""
"Space Exploration & Economy","Aptitude"
"Fungi Properties",""
"Demographic Dividend","Aptitude"
"General Studies","Economy"
"National Integration & Civic Responsibility","Aptitude"
"Regions & Countries","Sci & Tech"
"Dyarchy in India",""
"Aadhaar APIs","Polity"
"Council of Ministers & 91st Amendment",""
"Equator & Water Bodies",""
"FRBM Act","Polity"
"Scheduled Areas Governance","Polity"
"National Movements & Organizations","Sci & Tech"
"Climate Action Tracker","Geography"
"Directive Principles of State Policy","Polity"
"Reservation & Efficiency","Polity"
"Liberty","Polity"
"Genome Editing & Germline Modification",""
"Productive Employment & Inclusion","Aptitude"
"Quality Council of India","History"
"UNCLOS Provisions","Geography"
"Total Fertility Rate",""
"Monazite & Rare Earths",""
"State Formation & Features","Polity"
"Sustainable Diets & Resources","Aptitude"
"Chief of Defence Staff Roles","Sci & Tech"
"Globalization & Economic Sovereignty","Aptitude"
"Turmeric Production",""
"Teesta River System","Geography"
"Dyarchy",""
"Kisan Credit Card","Sci & Tech"
"Chemical Weathering","Sci & Tech"
"Barren Island Volcano","Geography"
"Public Sector Banks Governance","Economy"
"IAEA Additional Protocol",""
"Capital Markets Components",""
"Evolutionary Biology","Aptitude"
"Economic Liberalization","Economy"
"DNA Barcoding","Sci & Tech"
"Parasitoid Species",""
"Climate Change & Migration","Aptitude"
"Science & Technology","Sci & Tech"
"Economic Development vs Growth","Economy"
"Corporate Capitalism & Growth","Aptitude"
"Santhal Parganas","History"
"India Way Author","Sci & Tech"
"Ashokan Administration",""
"Ease of Doing Business Index","Economy"
"Bhasa Literature",""
"Climate Change & Land Use","Aptitude"
"Goods and Services Tax","Economy"
"Banking Reforms & NPAs","Aptitude"
"Environmental Management","Geography"
"Markets, Welfare & Democracy","Aptitude"
"Forest Cover in India","Environment"
"Panchayats","Economy"
"Ethanol Production","Sci & Tech"
"Corporate Social Responsibility Rules",""
"Himalayan National Parks","Environment"
"Upanishads & Puranas",""
"Cobalt ?????????????????????",""
"Desertification & Deforestation","Aptitude"
"Nutrition Programs",""
"GDPR",""
"Crude Oil Benchmarks",""
"President's Rule","Polity"
"Carnatic Composers",""
"Tiger Monitoring Systems","Sci & Tech"
"Food Conversion Efficiency","Aptitude"
"Right to Equality","Polity"
"Agricultural Heritage Systems","Geography"
"Constituent Assembly Leadership",""
"Speaker Removal Procedure",""
"Cotton Cultivation Requirements","Geography"
"Household Air Pollution","Aptitude"
"Fort William College","Sci & Tech"
"Jain Sects",""
"Agricultural Productivity",""
"Wearable Technology","Sci & Tech"
"Agriculture Dependence & Demography","Aptitude"
"Tribal Revolts",""
"Leisure and Human Progress","Aptitude"
"Alternative Powertrain Vehicles","Sci & Tech"
"Civic Participation & Voting Duty","Aptitude"
"Native Trees",""
"Carbon Sequestration Technology","Aptitude"
"Contempt of Courts",""
"Industrial Waste Utilization","Geography"
"3D Printing Applications","Sci & Tech"
"Government Securities & Treasury Bills","Economy"
"Environmental Institutions","Environment"
"Mughal Music","History"
"Air Pollution & AQI","Aptitude"
"Pulses & Sustainable Agriculture","Aptitude"
"Equalization Levy","Economy"
"Speaker of Legislative Assembly","Polity"
"Basic Structure & Judicial Review","Polity"
"Fiscal Indicators","Economy"
"Directive Principles Amendments","Polity"
"Bird Identification",""
"Science & Social Responsibility","Aptitude"
"Urban Sustainability & Climate Change","Aptitude"
"Ageing Population Countries",""
"RNA Interference","Sci & Tech"
"Small Finance Banks","Economy"
"Barasingha Conservation","Environment"
"India's Maritime Strategy","Geography"
"Wetlands & Ramsar",""
"Fifth Generation Fighter Aircraft","Sci & Tech"
"Sports Awards in India","Sci & Tech"
"Gold Monetization Policy","Geography"
"Gold Trade & Reserves",""
"Regional Navigation Systems","Sci & Tech"
"Jagirdari & Zamindari","History"
"Genomic Breeding","Geography"
"Light Pollution & Ecosystem Effects","Aptitude"
"Deforestation & Desertification","Aptitude"
"Poverty Measurement","Aptitude"
"Right against Exploitation","Polity"
"Carbon Cycle & Soil Carbon","Aptitude"
"Global Oxygen Production","Geography"
"Invasive Species","Environment"
"Humanitarian Crises",""
"Capital Receipts",""
"Supreme Court Powers",""
"Carbon Fertilization","Environment"
"Financial Sector Reforms","Aptitude"
"Unified Payments Interface","Economy"
"MPLADS Scheme","Polity"
"Government Schemes","Sci & Tech"
"Hundi","Sci & Tech"
"Champaran Satyagraha","History"
"SO2 Emissions Source","Environment"
"Percentage","Aptitude"
"Cybersecurity Reporting",""
"Inflation Measurement","Aptitude"
"Resource-Rich Countries","Sci & Tech"
"WHO Air Quality Guidelines","Sci & Tech"
"Food Safety & Globalization","Aptitude"
"Multilateral Financing Institutions","Economy"
"Keystone Species & Seed Dispersal","Aptitude"
"Green Technology Transition","Aptitude"
"January Isotherms","Geography"
"Reactive Nitrogen Emissions","Environment"
"Rule of Law","Polity"
"Child Labour",""
"Indian National Movement","History"
"Particularly Vulnerable Tribal Groups",""
"North Sea Bordering Countries","Geography"
"GPS Applications","Sci & Tech"
"Constitutionalism","Polity"
"G20 Membership",""
"Atmospheric Radiation","Sci & Tech"
"Biodiversity Management Committees","Environment"
"Medieval Ports & Trade","Geography"
"Sahel Instability","Sci & Tech"
"Gandhi???s Sedition Quote",""
"Crop Residue Burning","Environment"
"Urban Planning Education","Aptitude"
"Groundwater Regulation in India","Environment"
"Vijayanagara Irrigation Works","Geography"
"Fractional Orbital Bombardment System","Economy"
"Payment Data Localization","Economy"
"Leadership & Political Legitimacy","Aptitude"
"Elephants as Keystone Species","Aptitude"
"Trust in Markets","Aptitude"
"North Eastern Council Composition",""
"Parliamentary Procedure","Polity"
"Vedic Civilization","History"
"Digital Society & Governance","Aptitude"
"Stellar Evolution","Sci & Tech"
"Medieval Gujarat & Portuguese","History"
"Accelerometer Applications","Sci & Tech"
"Pumped-Storage Hydropower","Sci & Tech"
"Cultural Festivals & Communities","Sci & Tech"
"State and Liberty","Aptitude"
"Wildlife Protection Act","Environment"
"Digital Single Market Strategy","Economy"
"Time & Work","Aptitude"
"Purchasing Power Parity","Economy"
"Public Investment in Agriculture","Economy"
"Social Capital",""
"Zika Virus","Geography"
"Money Bill Procedure","Polity"
"Agricultural Income & Taxation","Economy"
"Cyber Attacks","Sci & Tech"
"Portuguese Introduced Crops",""
"Mahajanapadas & Rivers","Geography"
"Permutation & Combination","Aptitude"
"Civil Nuclear Cooperation","Sci & Tech"
"General Relativity","Sci & Tech"
"Buddhist Concepts",""
"Jaina Texts",""
"Opportunity Cost","Economy"
"Coal Pollution & Ash","Environment"
"Indian Freedom Struggle",""
"OLED Technology",""
"Andes Mountains Countries","Geography"
"National Skills Qualification Framework",""
"PM Surya Ghar Yojana","Sci & Tech"
"Scheduled Areas Administration",""
"Bank Balance Sheet","Economy"
"Malnutrition & Public Health","Aptitude"
"Human Evolution & Lactose Tolerance","Aptitude"
"Indirect Transfers","Economy"
"Leadership Development","Aptitude"
"Number System","Aptitude"
"Land-Sea Thermal Contrast","Geography"
"Food Safety & Public Health","Aptitude"
"Middle-Income Trap","Aptitude"
"Adaptive Immunity","Geography"
"Constitutional Immunities","Sci & Tech"
"Indian Ports","Sci & Tech"
"Profit & Loss","Aptitude"
"COVID-19 Vaccines",""
"Science & Human Progress","Aptitude"
"Economic Freedom & Education Investment","Aptitude"
"Charter Act 1833",""
"PMSMA Scheme","Sci & Tech"
"Ecoagriculture & Biodiversity","Aptitude"
"Tea Board of India",""
"Aadhaar & Identity","Polity"
"Household Financial Savings & Public Debt",""
"Solar Power Manufacturing","Economy"
"Constitution Amendment Ratification","Polity"
"Current Affairs Country Events","Sci & Tech"
"English Education Policy","History"
"Global Competitiveness Index","Economy"
"Poverty Line Methodology","Economy"
"International Grains Council","Sci & Tech"
"RBI Forex & Monetary Operations","Economy"
"River Sand Mining Impacts","Environment"
"Climate Change & Agriculture","Aptitude"
"E-Waste Rules",""
"Nocturnal Wildlife","Sci & Tech"
"Siachen Glacier Geography","Geography"
"Presidential Election","Polity"
"India-EU Trade Agreement","Economy"
"Buddhist Sects","Sci & Tech"
"Ashokan Edicts & Dhamma","History"
"Pollination & Evolutionary Function","Aptitude"
"EU Net-Zero Industry Act","Polity"
"IUCN Bodies","Environment"
"Indian Princely States Policy",""
"Democratic Political Maturity","Aptitude"
"Fiscal Responsibility & Debt","Economy"
"Pneumococcal Conjugate Vaccine","Sci & Tech"
"Cement Industry Emissions","History"
"Agroforestry & Food Security","Aptitude"
"Ganga Tributaries Sequence","Geography"
"Office of Profit","Polity"
"Central Bank Digital Currency","Economy"
"Cultural Relativism & Universal Values","Aptitude"
"Wetland Ecosystem Services","Geography"
"BIMSTEC","Sci & Tech"
"Fifth Schedule",""
"Constitutional Philosophy","Polity"
"Defence Rank Equivalence","Sci & Tech"
"Antimicrobial Resistance","Sci & Tech"
"Ecological Interdependence","Environment"
"Public Health System",""
"Wildlife Protection Law","Environment"
"Non-Fungible Tokens",""
"Infrastructure Investment Trusts","Economy"
"India?s Memberships",""
"IAEA Safeguards & Nuclear Fuel",""
"Solstice Daylength",""
"Ajanta Cave Paintings","Sci & Tech"
"Denisovan Hominins","Environment"
"Nuclear Suppliers Group","Polity"
"Wildlife Trade Monitoring","Environment"
"Atal Innovation Mission",""
"Bills Lapse on Dissolution","Polity"
"71st Amendment Languages","Polity"
"Monoclonal Antibodies",""
"Data Privacy & IoT","Aptitude"
"Biorock Technology","Environment"
"Buddhist Stupas","History"
"Election Nomination Rules",""
"Longitudes in India","Geography"
"Employment & Economic Growth","Aptitude"
"Ukraine Neighbors","Sci & Tech"
"PET","Sci & Tech"
"Food Security & Monoculture Risk","Aptitude"
"Indian Handicrafts",""
"Public Key Infrastructure",""
"Biotechnology Regulation & GM Crops","Aptitude"
"Opposition in Democracy","Aptitude"
"World Rivers & Drainage","Geography"
"Social Nature of Man","Aptitude"
"Oral Traditions in History",""
"Operation Sadbhavana","Sci & Tech"
"Kho Kho World Cup 2025",""
"Indian Ocean Dipole","Geography"
"Scheduled Tribes Recognition",""
"Political Economy","Aptitude"
"Lakes in India","Geography"
"Carbon Markets","Geography"
"Minor Minerals Governance","Environment"
"System of Rice Intensification",""
"Delimitation Commissions",""
"Summer Solstice",""
"Tropical Rainforest Soils","Geography"
"Chola Expeditions","History"
"Physical Geography","Geography"
"Stressed Assets Resolution","Economy"
"Raja Ram Mohan Roy",""
"Finance Commission Devolution Criteria","Economy"
"Microbiome & Malnutrition","Aptitude"
"Indian Hill Ranges",""
"Biodiversity & Hydrological Cycle","Aptitude"
"Syndicated Lending","Sci & Tech"
"Afghanistan Bordering Countries",""
"Nuclear Fuel & Power Generation",""
"Waste-to-Energy Technologies",""
"NATO Membership","Economy"
"Global Compact for Migration",""
"Conflict Regions","Sci & Tech"
"Conservation Agriculture","Environment"
"European Trading Powers in India",""
"Stock Market Beta",""
"Social Cost of Carbon","Geography"
"UNGA Observer Status",""
"Leader of Opposition","Polity"
"Glaciers and Rivers","Environment"
"Indian History","History"
"Right to Privacy","Polity"
"Adolescent Psychology & Parenting","Aptitude"
"Membrane Bioreactors",""
"Monetary Policy Committee","Economy"
"Import Cover","Sci & Tech"
"Urban Planning & Inclusion","Aptitude"
"Biotechnology","Sci & Tech"
"Education System & Skills","Aptitude"
"Protected Areas","Environment"
"Nutrition Security & Crop Diversity","Aptitude"
"Astrophysics & Cosmology","Economy"
"World Toilet Organization","Sci & Tech"
"Indus Valley Civilization","History"
"Algal Biofuels","Environment"
"Rare Earth Elements Uses","Sci & Tech"
"Country News","Sci & Tech"
"Economic Sectors Classification","Sci & Tech"
"Intellectual Property Rights Policy","History"
"CBLO Instruments",""
"Remote Sensing Applications","Sci & Tech"
"Historical Places & Present States","Sci & Tech"
"Mughal Painting","History"
"Regional Connectivity Projects","Sci & Tech"
"Rights & Social Order","Aptitude"
"Skill Development Programs","Economy"
"UNESCO Intangible Heritage",""
"Overwork & Self-Improvement","Aptitude"
"Digital Economy & Privacy","Aptitude"
"Hydrogels Applications","History"
"Money Market Instruments","Economy"
"Gharial Conservation","Geography"
"Probiotics",""
"Constitutional Government","Polity"
"Food Safety Regulation",""
"Ministerial Eligibility & Disqualification","Polity"
"Regulation & Economic Growth","Aptitude"
"Deciduous Trees",""
"Ninth Schedule & Judicial Review","Polity"
"Constitutional Bodies","Polity"
"Climate Change & Resource Conflicts","Aptitude"
"Atmospheric Phenomena",""
"Debt vs Equity Risk","Sci & Tech"
"Groundwater Extraction",""
"Microplastic Pollution","Environment"
"International Agreements & Initiatives","Geography"
"Green Hydrogen Applications",""
"Early Political Associations","History"
