"source","target","weight","edge_type"
"Color Arrangements","Logical Deduction (Constraint System)","1","cooccurrence"
"Combinations","Logical Deduction (Constraint System)","2","cooccurrence"
"Combinations","Minimum Draws","1","cooccurrence"
"Combinations","Pigeonhole Principle","1","cooccurrence"
"Combinatorics","Equilateral Triangles","1","cooccurrence"
"Combinatorics","Geometry","1","cooccurrence"
"Combinatorics","Logical Deduction (Constraint System)","2","cooccurrence"
"Combined Work","Work Rates","1","cooccurrence"
"Communalism","National Integration & Civic Responsibility","1","cooccurrence"
"Communalism","Social Cohesion","1","cooccurrence"
"Community Solidarity","Justice","2","cooccurrence"
"Community Solidarity","Rights and Duties","2","cooccurrence"
"Comparative Analysis","Graph","1","cooccurrence"
"Comparative Analysis","Logical Deduction (Constraint System)","1","cooccurrence"
"Comparative Analysis","Ratio","1","cooccurrence"
"Comparative Statements","Inequalities","1","cooccurrence"
"Comparative Statements","Order","2","cooccurrence"
"Comparative Statements","Ranking & Inequalities","1","cooccurrence"
"Comparison","Percentage Difference","1","cooccurrence"
"Concentration","Logical Deduction (Constraint System)","1","cooccurrence"
"Concentration","Ratio","1","cooccurrence"
"Conclusions","Logical Inference","1","cooccurrence"
"Conclusions","Logical Validity","1","cooccurrence"
"Conclusions","Statement & Conclusion","2","cooccurrence"
"Consent of the Governed","Popular Sovereignty","1","cooccurrence"
"Consent of the Governed","Social Contract","1","cooccurrence"
"Conservation of Quantity","Net Change","1","cooccurrence"
"Constraint Satisfaction","Logical Sufficiency","1","cooccurrence"
"Constraints","Logical Deduction (Constraint System)","4","cooccurrence"
"Constraints","Ordering","6","cooccurrence"
"Consumerism & Environmental Sustainability","Ecological Limits","1","cooccurrence"
"Coordinate Movement","Grid Navigation","1","cooccurrence"
"Coordinates","Distance Formula","1","cooccurrence"
"Coordinates","Logical Deduction (Constraint System)","1","cooccurrence"
"Corrected Mean","Error","1","cooccurrence"
"Corrected Mean","Logical Deduction (Constraint System)","1","cooccurrence"
"Cost Price","Logical Deduction (Constraint System)","1","cooccurrence"
"Cost Price","Percentage Profit/Loss","1","cooccurrence"
"Cost Ratios","Linear Equations","1","cooccurrence"
"Cost Ratios","Logical Deduction (Constraint System)","1","cooccurrence"
"Cost-Volume","Profit-Loss","1","cooccurrence"
"Counting","Cubes","2","cooccurrence"
"Counting","Digit Inequalities","1","cooccurrence"
"Counting","Digit Patterns","1","cooccurrence"
"Counting","Logical Deduction (Constraint System)","7","cooccurrence"
"Counting","Numbers","1","cooccurrence"
"Counting","Painted Cubes","4","cooccurrence"
"Counting","Place Value","1","cooccurrence"
"Counting Parallelograms","Grid","1","cooccurrence"
"Counting Parallelograms","Logical Deduction (Constraint System)","1","cooccurrence"
"Creativity","Leisure and Human Progress","1","cooccurrence"
"Creativity","Technological Progress","1","cooccurrence"
"Crony Capitalism","Market Distortions","1","cooccurrence"
"Crony Capitalism","Oligarchies","1","cooccurrence"
"Crop Diversity","Food Security","1","cooccurrence"
"Crop Diversity & Food Security","Monoculture Risks","1","cooccurrence"
"Crop Resilience","GM Technology & IPR","2","cooccurrence"
"Crop Resilience","Intellectual Property","2","cooccurrence"
"Cube","Surface Area","1","cooccurrence"
"Cubes","Logical Deduction (Constraint System)","1","cooccurrence"
"Cubes","Painted Cubes","2","cooccurrence"
"Curricular Reform","Right to Education & Quality","5","cooccurrence"
"Curricular Reform","Universal Access","5","cooccurrence"
"Cybersecurity","Device Vulnerabilities","1","cooccurrence"
"Cybersecurity","IoT Security","1","cooccurrence"
"Cyclic Scheduling","LCM","1","cooccurrence"
"Cyclic Scheduling","LCM / Cyclic Scheduling","1","cooccurrence"
"Data Monopoly","Digital Trade","2","cooccurrence"
"Data Sufficiency","Logical Deduction","1","cooccurrence"
"Dates","Logical Deduction (Constraint System)","1","cooccurrence"
"Dates","Pattern Recognition","1","cooccurrence"
"Death Rate","Migration","1","cooccurrence"
"Decision-Making","Leadership Development","1","cooccurrence"
"Decision-Making","Leadership Training","1","cooccurrence"
"Decision-Making & Perseverance","Indecision","1","cooccurrence"
"Decision-Making & Perseverance","Perseverance","1","cooccurrence"
"Decision-Making & Perseverance","Resolution","1","cooccurrence"
"Deductive Logic","Statement Evaluation","2","cooccurrence"
"Defect Percentage","Logical Deduction (Constraint System)","1","cooccurrence"
"Defect Percentage","Work Rates","1","cooccurrence"
"Democratic Leadership","Dictatorship","1","cooccurrence"
"Democratic Leadership","Leadership & Political Legitimacy","1","cooccurrence"
"Democratic Legitimacy","Democratic Political Maturity","1","cooccurrence"
"Democratic Legitimacy","Sovereignty","1","cooccurrence"
"Democratic Political Maturity","Sovereignty","1","cooccurrence"
"Demography","Dependency Ratio","1","cooccurrence"
"Demography","Workforce Trend","1","cooccurrence"
"Dependency Ratio","Workforce Trend","1","cooccurrence"
"Desertification & Deforestation","Hydrology Changes","3","cooccurrence"
"Desertification & Deforestation","Soil Degradation","3","cooccurrence"
"Device Vulnerabilities","IoT Security","1","cooccurrence"
"Devolution & Decentralization","Grassroots Participation","1","cooccurrence"
"Devolution & Decentralization","Political Legitimacy","1","cooccurrence"
"Diagonal","Logical Deduction (Constraint System)","1","cooccurrence"
"Diagonal","Squares","1","cooccurrence"
"Diagonals","Geometry","1","cooccurrence"
"Diagonals","Polygon Diagonals","1","cooccurrence"
"Dictatorship","Leadership & Political Legitimacy","1","cooccurrence"
"Dietary Choices","Resource Use","1","cooccurrence"
"Dietary Choices","Sustainable Diets & Resources","1","cooccurrence"
"Difference","Digit Reversal","1","cooccurrence"
"Difference","Logical Deduction (Constraint System)","1","cooccurrence"
"Difference Calculation","Graph","1","cooccurrence"
"Difference Calculation","Logical Deduction (Constraint System)","1","cooccurrence"
"Differences","Logical Deduction (Constraint System)","1","cooccurrence"
"Differences","Sequence","1","cooccurrence"
"Digit Arithmetic","Logical Deduction (Constraint System)","1","cooccurrence"
"Digit Arithmetic","Missing Digits","1","cooccurrence"
"Digit Constraints","Logical Deduction (Constraint System)","1","cooccurrence"
"Digit Constraints","Number Formation","1","cooccurrence"
"Digit Count","Logical Deduction (Constraint System)","1","cooccurrence"
"Digit Count","Numbering","1","cooccurrence"
"Digit Counting","Logical Deduction (Constraint System)","1","cooccurrence"
"Digit Counting","Page Numbers","1","cooccurrence"
"Digit Inequalities","Logical Deduction (Constraint System)","1","cooccurrence"
"Digit Patterns","Logical Deduction (Constraint System)","1","cooccurrence"
"Digit Patterns","Numbers","1","cooccurrence"
"Digit Reversal","Divisibility","1","cooccurrence"
"Digit Reversal","Logical Deduction (Constraint System)","3","cooccurrence"
"Digit Reversal","Remainders","1","cooccurrence"
"Digital Society & Governance","Digital Technologies","1","cooccurrence"
"Digital Society & Governance","Social Transformation","1","cooccurrence"
"Digital Technologies","Social Transformation","1","cooccurrence"
"Direct vs Indirect Taxes","Tax Revenue","1","cooccurrence"
"Direct vs Indirect Taxes","Trend Analysis","1","cooccurrence"
"Directed Graph","Graph Paths","3","cooccurrence"
"Directed Graph","Route Constraints","3","cooccurrence"
"Direction Sense","Net Displacement","1","cooccurrence"
"Direction Sense","Path Tracking","1","cooccurrence"
"Discount","Logical Deduction (Constraint System)","1","cooccurrence"
"Discount","Marked Price","1","cooccurrence"
"Discount","Profit","1","cooccurrence"
"Displacement","Distance","1","cooccurrence"
"Displacement","Logical Deduction (Constraint System)","1","cooccurrence"
"Displacement","Pythagoras","1","cooccurrence"
"Distance","Logical Deduction (Constraint System)","2","cooccurrence"
"Distance","Percent of Total","1","cooccurrence"
"Distance","Pythagoras","1","cooccurrence"
"Distance","Right Triangle","1","cooccurrence"
"Distance Formula","Logical Deduction (Constraint System)","2","cooccurrence"
"Distance Formula","Right-Angled Triangles","1","cooccurrence"
"Disturbed Habitats","Invasive Species","1","cooccurrence"
"Divisibility","Logical Deduction (Constraint System)","2","cooccurrence"
"Divisibility","Modulo","1","cooccurrence"
"Divisibility","Number Properties","1","cooccurrence"
"Divisibility Rule","Logical Deduction (Constraint System)","1","cooccurrence"
"Domestication","Genetic Adaptation","1","cooccurrence"
"Domestication","Human Evolution & Lactose Tolerance","1","cooccurrence"
"Ecoagriculture & Biodiversity","Sustainable Farming","1","cooccurrence"
"Ecological Balance","Synthetic Pesticides","1","cooccurrence"
"Economic Competitiveness","Regulation & Economic Growth","2","cooccurrence"
"Economic Competitiveness","Regulatory Policy","2","cooccurrence"
"Economic Deprivation","Historical Injustice & Social Discrimination","2","cooccurrence"
"Economic Deprivation","Social Discrimination","2","cooccurrence"
"Economic Deprivation","Untouchability","2","cooccurrence"
"Economic Development","Middle-Income Trap","1","cooccurrence"
"Economic Development","Productivity Growth","1","cooccurrence"
"Economic Growth","Socioeconomic","1","cooccurrence"
"Economic Growth","Telecom Infrastructure","1","cooccurrence"
"Economic Power","Political Economy","1","cooccurrence"
"Economic Power","Politics-Economics Interdependence","1","cooccurrence"
"Ecosystem Resilience","Genetic Diversity","2","cooccurrence"
"Ecosystem Resilience & Climate Change","Human Impact","1","cooccurrence"
"Ecosystem Resilience & Climate Change","Small Mammals","1","cooccurrence"
"Ecosystem Services","Water Cycle","1","cooccurrence"
"Education & Culture","Human Development","1","cooccurrence"
"Education & Culture","Intellectual Capital","1","cooccurrence"
"Education Equity","Equality of Opportunity","1","cooccurrence"
"Education Equity","RTE Quotas","1","cooccurrence"
"Education System & Skills","Industrial Age Schooling","1","cooccurrence"
"Education System & Skills","New-Age Skills","1","cooccurrence"
"Efficiency","Logical Deduction (Constraint System)","1","cooccurrence"
"Efficiency","Work Rates","1","cooccurrence"
"Electoral Responsibility","Political Participation","1","cooccurrence"
"Elimination","Logical Deduction","1","cooccurrence"
"Elimination","Logical Deduction (Constraint System)","1","cooccurrence"
"Employment & Economic Growth","Employment Elasticity","1","cooccurrence"
"Employment & Economic Growth","Organized Sector Jobs","1","cooccurrence"
"Employment Elasticity","Organized Sector Jobs","1","cooccurrence"
"Employment Growth","Informal Sector","1","cooccurrence"
"Employment Growth","Labour Reforms & Employment","1","cooccurrence"
"Environmental Cost","Factory Farming","1","cooccurrence"
"Environmental Cost","Industrial Farming & Sustainability","1","cooccurrence"
"Environmental Safety","Integrated Pest Management","1","cooccurrence"
"Environmental Safety","Logical Deduction (Constraint System)","1","cooccurrence"
"Equality of Opportunity","RTE Quotas","1","cooccurrence"
"Equations","Linear Equations","1","cooccurrence"
"Equations","Logical Deduction (Constraint System)","1","cooccurrence"
"Equations","Sign Analysis","1","cooccurrence"
"Equilateral Triangles","Logical Deduction (Constraint System)","1","cooccurrence"
"Error","Logical Deduction (Constraint System)","1","cooccurrence"
"Extreme Weather","Stranded Assets","1","cooccurrence"
"Factory Farming","Industrial Farming & Sustainability","1","cooccurrence"
"Family","Logical Deduction (Constraint System)","1","cooccurrence"
"Family Tree","Logical Deductions","1","cooccurrence"
"Family Tree","Relation Symbols","1","cooccurrence"
"Federalism","Indian Federalism","1","cooccurrence"
"Federalism","National Integrity","1","cooccurrence"
"Figure Series","Pattern Completion","1","cooccurrence"
"Figure Series","Rotation","1","cooccurrence"
"Financial Inclusion","Financial Literacy","1","cooccurrence"
"Financial Inclusion","Inclusive Finance","1","cooccurrence"
"Food Affordability","Global Food Security","1","cooccurrence"
"Food Affordability","Market Regulation","1","cooccurrence"
"Food Contamination","Food Safety & Public Health","1","cooccurrence"
"Food Contamination","Regulatory Surveillance","1","cooccurrence"
"Food Safety & Globalization","Foodborne Illness","1","cooccurrence"
"Food Safety & Globalization","Supply Chain Risk","1","cooccurrence"
"Food Safety & Public Health","Regulatory Surveillance","1","cooccurrence"
"Food Security","Smallholder Farmers & Climate Risk","2","cooccurrence"
"Food Security & Nutrition","Malnutrition","1","cooccurrence"
"Food Security vs Trade Rules","MSP Subsidies","1","cooccurrence"
"Food Security vs Trade Rules","WTO Agriculture","1","cooccurrence"
"Food Supply Chains","Global Food Security","1","cooccurrence"
"Food Supply Chains","Price Affordability","1","cooccurrence"
"Foodborne Illness","Supply Chain Risk","1","cooccurrence"
"Fraction Adjustment","Logical Deduction (Constraint System)","1","cooccurrence"
"Fraction Adjustment","Ratios","1","cooccurrence"
"Fractions","Gender Ratio","1","cooccurrence"
"Fractions","Logical Deduction (Constraint System)","1","cooccurrence"
"GDP vs Inclusive Wealth","Inclusive Wealth & Sustainability","1","cooccurrence"
"GDP vs Inclusive Wealth","Natural Capital","1","cooccurrence"
"Genetic Adaptation","Human Evolution & Lactose Tolerance","1","cooccurrence"
"Geometric Progression","Population Decline","1","cooccurrence"
"Geometry","Polygon Diagonals","1","cooccurrence"
"Glacier Melt","Marine Biodiversity","1","cooccurrence"
"Global Food Security","Hunger","1","cooccurrence"
"Global Food Security","Hunger Reduction","1","cooccurrence"
"Global Food Security","Market Regulation","1","cooccurrence"
"Global Food Security","Price Affordability","1","cooccurrence"
"Global Food Security","Purchasing Power","1","cooccurrence"
"Global Food Security","Supply-Demand Balance","1","cooccurrence"
"GM Technology & IPR","Intellectual Property","2","cooccurrence"
"Governance Accountability","Internal vs External Accountability","4","cooccurrence"
"Graph","Logical Deduction (Constraint System)","3","cooccurrence"
"Graph","Ratio","1","cooccurrence"
"Graph","Unit Cost","1","cooccurrence"
"Graph","Value Calculation","1","cooccurrence"
"Graph Interpretation","Logical Deduction (Constraint System)","1","cooccurrence"
"Graph Interpretation","Relative Speed","1","cooccurrence"
"Graph Paths","Route Constraints","3","cooccurrence"
"Graphs","Rates of Change","1","cooccurrence"
"Graphs","Slope","1","cooccurrence"
"Grassroots Participation","Political Legitimacy","1","cooccurrence"
"Green Revolution","Monocropping","1","cooccurrence"
"Grid","Logical Deduction (Constraint System)","1","cooccurrence"
"Grouping & Selection","Logic Games","1","cooccurrence"
"Grouping & Selection","Set Constraints","1","cooccurrence"
"Growth Rate","Population","1","cooccurrence"
"Growth Rate","Trend Analysis","1","cooccurrence"
"Gut Microbiome","Microbiome & Malnutrition","2","cooccurrence"
"Habit Formation","Routine & Efficiency","1","cooccurrence"
"Habitat Connectivity","Human-Wildlife Conflict","2","cooccurrence"
"Habitat Connectivity","Wildlife Corridors & Conservation","2","cooccurrence"
"Head Start","Logical Deduction (Constraint System)","1","cooccurrence"
"Head Start","Race","1","cooccurrence"
"Health Impacts","Household Air Pollution","1","cooccurrence"
"High-Tech Manufacturing","Manufacturing Upgradation","1","cooccurrence"
"High-Tech Manufacturing","Productivity Growth","1","cooccurrence"
"Historical Injustice & Social Discrimination","Social Discrimination","2","cooccurrence"
"Historical Injustice & Social Discrimination","Untouchability","2","cooccurrence"
"Historical Lessons for Leadership","Leadership Traits","1","cooccurrence"
"Historical Lessons for Leadership","Military History","1","cooccurrence"
"Household Income Distribution","Logical Deduction (Constraint System)","1","cooccurrence"
"Household Income Distribution","Percentage Calculation","1","cooccurrence"
"Human Development","Intellectual Capital","1","cooccurrence"
"Human Impact","Small Mammals","1","cooccurrence"
"Human Society","Social Cooperation","1","cooccurrence"
"Human Society","Social Nature of Man","1","cooccurrence"
"Human-Wildlife Conflict","Wildlife Corridors & Conservation","2","cooccurrence"
"Hunger","Supply-Demand Balance","1","cooccurrence"
"Hunger Reduction","Purchasing Power","1","cooccurrence"
"Hydrology Changes","Soil Degradation","3","cooccurrence"
"Inclusion-Exclusion","Logical Deduction (Constraint System)","1","cooccurrence"
"Inclusion-Exclusion","Set Theory","1","cooccurrence"
"Inclusion-Exclusion","Venn Diagram","1","cooccurrence"
"Inclusive Innovation & Inequality","Income Inequality","1","cooccurrence"
"Inclusive Innovation & Inequality","R&D Policy","1","cooccurrence"
"Inclusive Wealth & Sustainability","Natural Capital","1","cooccurrence"
"Income","Logical Deduction (Constraint System)","1","cooccurrence"
"Income Inequality","Inequality & Economic Power","1","cooccurrence"
"Income Inequality","Power Structures","1","cooccurrence"
"Income Inequality","R&D Policy","1","cooccurrence"
"Income-Expenditure","Logical Deduction (Constraint System)","1","cooccurrence"
"Income-Expenditure","Savings","1","cooccurrence"
"Indecision","Perseverance","1","cooccurrence"
"Indecision","Resolution","1","cooccurrence"
"Indian Federalism","National Integrity","1","cooccurrence"
"Individualized Nutrition","Lifestyle Habits","1","cooccurrence"
"Individualized Nutrition","Obesity & Dieting","1","cooccurrence"
"Industrial Age Schooling","New-Age Skills","1","cooccurrence"
"Inequalities","Logical Deduction (Constraint System)","2","cooccurrence"
"Inequalities","Number Line","1","cooccurrence"
"Inequalities","Order","1","cooccurrence"
"Inequalities","Weighted Average","1","cooccurrence"
"Inequality & Economic Power","Power Structures","1","cooccurrence"
"Informal Sector","Labour Reforms & Employment","1","cooccurrence"
"Informal Sector Jobs","Productive Employment & Inclusion","1","cooccurrence"
"Informal Sector Jobs","Structural Transformation","1","cooccurrence"
"Installments","Outstanding Balance","1","cooccurrence"
"Integrated Pest Management","Logical Deduction (Constraint System)","1","cooccurrence"
"Interest Rates","Liquidity Management","1","cooccurrence"
"Interval Arithmetic","Squares","1","cooccurrence"
"Justice","Rights and Duties","2","cooccurrence"
"LCM","LCM / Cyclic Scheduling","1","cooccurrence"
"LCM","Logical Deduction (Constraint System)","1","cooccurrence"
"LCM","Periodicity","1","cooccurrence"
"Leadership Development","Leadership Training","1","cooccurrence"
"Leadership Traits","Military History","1","cooccurrence"
"Leap Year","Logical Deduction (Constraint System)","1","cooccurrence"
"Leisure and Human Progress","Technological Progress","1","cooccurrence"
"Leisure Balance","Work & Leisure","1","cooccurrence"
"Leisure Balance","Work Ethic","1","cooccurrence"
"Letter Coding","Pattern","1","cooccurrence"
"Letter Rearrangement","Pattern","1","cooccurrence"
