"Source","Target","Weight"
"Debt vs Equity Risk","Shareholders","1"
"Native Trees","Red Sanders","1"
"Democratic Values","Political Equality","1"
"Permutation & Combination","Modular Arithmetic","1"
"North Eastern Council Composition","Governors/CMs","1"
"UNCLOS Provisions","Territorial Sea","1"
"Middle East Peace Process","Israel-Arab Relations","1"
"Astrophysics & Cosmology","String Theory","1"
"UN-Habitat","Urban Development","1"
"Cornwallis Revenue Settlements","Ryotwari","1"
"Percentage","Price Increase","1"
"Geoengineering","Solar Radiation Management","1"
"Conflict Regions","Ituri","1"
"Sustainable Road Construction","Low-Carbon Materials","1"
"Percentage","Complement","1"
"Habit Formation","Behavioral Habits","1"
"Constitution Amendments","First Amendment","1"
"Algal Biofuels","Biofuel Technology","1"
"Space Exploration & Economy","Risk and Investment","1"
"Profit & Loss","Percentage Loss","1"
"Writ Jurisdiction","Public Duty","1"
"Choice Overload","Decision Paralysis","1"
"Number System","Weighted Outcomes","1"
"Astronomy Objects","Pulsars","1"
"Carbon Cycle & Soil Carbon","Soil Carbon","1"
"Geoengineering","Climate Intervention","1"
"Green Hydrogen for Heavy Industry","Fertilizer","1"
"Rare Earth Elements Uses","Displays","1"
"Energy Policy & Climate Transition","Energy Access","1"
"Number System","Liquidity Management","1"
"Regions & Countries","Amhara","1"
"Swadeshi Movement","Indigenous Industry","1"
"Charter Act 1833","Governor General of India","1"
"Ashokan Administration","Pradeshika","1"
"Antarctic Climate Change","Marine Biodiversity","1"
"Number System","Reflection","1"
"Aadhaar & Identity","Citizenship vs Identity","1"
"Bioenergy Sustainability","Climate-Energy Models","1"
"Indian Patents Act","Biotech","1"
"Casual Workers & Labour Laws","Wage Payments","45"
"Poverty Line Methodology","Cost of Living","1"
"Banking System Reforms","Bank Resolution","1"
"Logical Reasoning","Integers","1"
"Charter Act 1833","Company Rule","1"
"Cultural Traditions & Festivals","Thang-Ta","1"
"Evolution & Natural Selection","Extinction","1"
"Money Market Instruments","Call Money","1"
"Plant Descriptions","Cassava","1"
"Carnatic Composers","Tyagaraja","1"
"Web 3.0","Blockchain","1"
"Agroecology","Nutrient Cycling","1"
"Oral Traditions in History","Oral Historiography","1"
"Indian Culture","Performing Arts","1"
"Number System","Mod 7","1"
"Cultural Relativism & Universal Values","Travel and Values","1"
"Evolutionary Biology","Common Ancestry","1"
"Biodiversity Loss","Habitat Loss","1"
"Agriculture vs Non-Agriculture Growth","Subsidies","1"
"Structural Change in Employment","Rural Non-farm Economy","1"
"Logical Reasoning","Logic","1"
"Time & Work","Work Rates","5"
"Profit & Loss","Cost Price","2"
"Gucchi Mushroom","Non-cultivated","1"
"E-commerce FDI Rules","Related Party Sales","1"
"Ratio & Proportion","Number Properties","1"
"International Agreements & Initiatives","Alma-Ata Declaration","1"
"PMSMA Scheme","Antenatal Care","1"
"Corporate Governance & Investment","Disclosure Standards","1"
"Wildlife Protection Act","1972","1"
"IAEA Safeguards & Nuclear Fuel","Nuclear Fuel Cycle","1"
"BIMSTEC","Dhaka Declaration","1"
"Upanishads & Puranas","Vedic Literature Chronology","1"
"Countercyclical Fiscal Policy","Public Expenditure","10"
"Traditional Performing Arts","Manipuri Sankirtana","1"
"Coal Gasification Products","Urea","1"
"Number System","Number Theory","1"
"Indian Elephant Biology & Conservation","Elephant Population","1"
"Right to Education & Quality","Universal Access","5"
"Logical Reasoning","Prime Factors","1"
"Regions & Countries","Sardinia","1"
"Fundamental Duties","Enforcement","1"
"Number System","Divisibility Rules","2"
"India?s Memberships","MTCR","1"
"Number System","Dependency Ratio","1"
"Climate Change & Migration","Environmental Risk","1"
"Climate Risk & Investments","Extreme Weather","1"
"Averages","Age Problems","3"
"Somnath Temple","Al-Biruni","1"
"EU Stability and Growth Pact","Budget Deficit Limits","1"
"Protected Areas","Nagarhole","1"
"RTGs in Spacecraft","Plutonium-238","1"
"Food Price Policy","MSP","1"
"Logical Reasoning","Operator Substitution","1"
"Conservation Agriculture","Minimum Tillage","1"
"Sports Awards in India","Khel Ratna","1"
"Mongol Invasions of India","Mongol Sieges","1"
"Urban Sustainability & Climate Change","Citizen Participation","1"
"Stock Market Beta","Market Volatility","1"
"MPLADS Scheme","Local Area Development","1"
"Capabilities Approach to Poverty","Opportunities","1"
"Number System","Exponent of Prime","1"
"Benzene Pollution & Exposure","Automobile Exhaust","1"
"Ratio & Proportion","Divisibility","1"
"Presidential Election","Vote Value","1"
"State Legislature Procedures","Rules of Procedure","1"
"Opportunity Cost","Public Provision","1"
"Number System","Unique Solutions","1"
"Averages","Average","3"
"Indian Dynasties & Kings","Chandela","1"
"Thermal Power Plants & Water Stress","Cooling Water","1"
"Water Vapour Distribution","Altitude","1"
"Number System","111...^2","1"
"Economic Progress & Leisure","Education","1"
"Number System","Cost-Volume","1"
"Higher Education Pedagogy","Funding","1"
"Ratio & Proportion","Proportions","1"
"Number System","Day Calculation","1"
"Decision-Making & Perseverance","Indecision","1"
"Number System","Population Decline","1"
"Capital Flight & ECBs","Fed Policy","1"
"Forced Labour","Social Obligations","1"
"Bank Balance Sheet","Deposits","1"
"National Rail Plan & Kavach","NRP 2028","1"
"Big Data & Digital Sovereignty","Digital Trade","2"
"Malnutrition & Public Health","Public Health Measures","1"
"Food Loss & Waste","Food Distribution","1"
"Fundamental Duties","Constitutional Duties","1"
"GM Food Import Rules","GM Approval","1"
"Zika Virus","Aedes Mosquito","1"
"Country News","2023-24","1"
"Number System","Number Pairs","1"
"Insect Classification","Cicada","1"
"Obesity & Dieting","Individualized Nutrition","1"
"Sustainable Road Construction","Cold Mix Asphalt","1"
"Patents & Access","Drug Prices","1"
"Percentage","Borrowing","1"
"Logical Reasoning","Sums","1"
"Scheduled Tribes Recognition","Presidential Notification","1"
"National Investment and Infrastructure Fund","Infrastructure Financing","1"
"Permutation & Combination","Non-adjacent Selection","1"
"Religious Tolerance & Pluralism","Denominations","1"
"Number System","Divisibility Rule","1"
"Time, Speed & Distance","Divisibility Rules","1"
"Percentage","Operation Mistake","1"
"Number System","Volume","1"
"Logical Reasoning","Mean","1"
"International Agreements & Initiatives","Talanoa Dialogue","1"
"Self-Help Groups","Joint Liability","1"
"Agriculture vs Non-Agriculture Growth","Corporate Farming","1"
"Geoengineering","Climate Change","1"
"Carbon Markets","Emissions Trading","1"
"Soil Properties & Salinization","Irrigation","1"
"Genome Editing & Germline Modification","Embryo Editing","1"
"RNA Interference","Therapeutics","1"
"Number System","Time Cycles","1"
"Number System","Repeating Decimals","1"
"Green Economy","Rio+20","1"
"Number System","Intersections","1"
"Ratio & Proportion","Replacement","2"
"Primary Deficit Calculation","Fiscal Deficit","1"
"Agro-biodiversity & Food Security","Monocropping","1"
"Food Security & Monoculture Risk","Crop Diversity","1"
"Economic Insecurity & Inequality","Poverty Line","1"
"Sahel Instability","Coups","1"
"World Toilet Organization","World Toilet Day","1"
"Number System","Area Probability","1"
"Participatory Notes","Offshore Investment","1"
"Number System","Multiples of 5","1"
"Solid Waste Management Rules 2016","Segregation","1"
"Cooperative Banking Structure","DCCBs","1"
"RNA Interference","Gene Silencing","1"
"Time & Work","Relative Progress","1"
"Agricultural Transformation & Poverty Reduction","Rural Transformation","1"
"Logical Reasoning","Inequality Coding","1"
"Mughal Music","Hindustani Music","1"
"Percentage","Allowances","1"
"Biodiversity Loss","Sixth Extinction","1"
"River Sand Mining Impacts","Water Table","1"
"India's Maritime Strategy","Regional Connectivity","1"
"Number System","Reversal of Digits","1"
"Number System","Difference Calculation","1"
"Percentage","Percentage Difference","1"
"Attorney General of India","Parliamentary Participation","1"
"Averages","Ratio","3"
"Marsupials & Biogeography","Australia","1"
"Constitutional Immunities","Legislative Privilege","1"
"Sugarcane Cultivation Techniques","Bud Chip Settlings","1"
"Microsatellite DNA Applications","Genetic Diversity","1"
"Early Medieval Dynasties","Gahadavala","1"
"Number System","Geometric Progression","1"
"Number System","Positional Reasoning","1"
"Permutation & Combination","Odd/Even","1"
"Number System","Two-Digit Equations","1"
"Medieval Administrative Terms","Mughal Administration","1"
"Constitutional Amendments","44th Amendment","1"
"Cultural Festivals & Communities","Nanda Raj Jaat Yatra","1"
"Economic Progress & Leisure","Leisure","1"
"Ganga Tributaries Sequence","Gomati","1"
"Emerging Technologies","CRISPR-Cas9","1"
"Logical Reasoning","Statement Sufficiency","1"
"UN-Habitat","Sustainable Cities","1"
"Number System","Cyclicity","2"
"Social Capital","Trust","1"
"Gandhi-Irwin Pact","Civil Disobedience Movement","1"
"Number System","Area","2"
"Number System","Difference of Squares","1"
"India CO2 Emissions Profile","Per Capita Emissions","1"
"Geographical Indications & TRIPS","TRIPS Agreement","1"
"Digital Signatures","Authentication","1"
"Indian Waterfalls","Jog (Gersoppa)","1"
"Hundi","Medieval Trade","1"
"Hydrofluorocarbons Applications","Aerosols","1"
"Ageing Population Countries","South Korea","1"
"Cotton Cultivation Requirements","Crop Geography","1"
"Chief of Defence Staff Roles","COSC Chair","1"
"Israel-Palestine Conflict","Two-State Solution","1"
"Agricultural Technology & Food Security","Future Food Demand","1"
"Capital Budget","Public Expenditure","1"
"Global Food Security","Hunger","1"
"Conservation & Biodiversity","Protected Areas","5"
"Exercise Mitra Shakti 2023","India-Sri Lanka","1"
"Number System","Ordering Constraints","1"
"BRICS 16th Summit","Membership","1"
"Number System","Factors","1"
"PM-SYM Scheme","Contribution","1"
"WTO Agreements","Innovation Programs","1"
"Number System","Perfect Cubes","1"
"Reservation & Efficiency","Article 16(4)","1"
"Number System","Linear Equations","7"
"Net-Zero Transition","Supply Incentives","1"
"Rights & Social Order","Social Contract","1"
"Number System","Displacement","2"
"Agricultural Imports","Pulses","1"
"Reactive Nitrogen Emissions","Livestock","1"
"Higher Education & Flipped Classroom","Pedagogy","1"
"Carbon Capture & Sequestration","Ocean Alkalinity","1"
"Sustainable Agriculture Practices","Crop Diversification","1"
"DPSP Enforceability","Guidance to State Policy","1"
"Parliamentary Procedures","Speaker & Deputy Speaker","1"
"Number System","Calendar","3"
"Opportunity Cost","Taxpayer Burden","1"
"Financial Inclusion","Inclusive Finance","1"
"Agriculture Dependence & Demography","Agricultural Employment","1"
"Soil Health Card Scheme","Agricultural Extension","1"
"Leisure and Human Progress","Creativity","1"
"Fanam","Monetary History","1"
"Financial Markets Regulation","FII G-Secs","1"
"Municipal Waste Management","Biomethanation","1"
"Permutation & Combination","Divisibility by 5","1"
"Financial Sector Reforms","Regulation","1"
"Monetary Policy Instruments","Repo Rate","1"
"Number System","Integrated Pest Management","1"
"Earth's Early Atmosphere","Magnetic Field Reversal","1"
"Innovation Programs","Smart India Hackathon","1"
"Internal Security & Preventive Detention","POTA","1"
"71st Amendment Languages","Manipuri","1"
"Trust in Markets","Entrepreneurship","1"
"Environmental Toxicology","Developmental Toxicity","1"
"Rule of Law","Limited Government","1"
"Permutation & Combination","Balls","1"
"DNA Barcoding","Food Authentication","1"
"Concept of Equality","Social Justice","1"
"Indian Handicrafts","Uppada Jamdani","1"
"Water Conservation in Agriculture","Micro-Irrigation","1"
"Summer Solstice","Earth's Tilt","1"
"Light Pollution & Ecosystem Effects","Plant-Animal Interactions","1"
"Equalization Levy","Digital Taxation","1"
"Happiness & Gift-Giving","Joy","1"
"Major Minerals","Chromite","1"
"Musk Deer Habitat","Askot","1"
"Ratio & Proportion","Cost Ratios","1"
"Bills Lapse on Dissolution","Lok Sabha","1"
"Dyarchy","Police","1"
"Ecoagriculture & Biodiversity","Agro-biodiversity","1"
"Food Security & Resource Management","Water Management","1"
"Foundational Learning & Education","Foundational Skills","1"
"Gandikota Canyon","Geomorphology","1"
"Number System","Multiples of 7","1"
"National Integration & Civic Responsibility","Citizenship Duties","1"
"Separation of Judiciary and Executive","Directive Principles","1"
"UPI International Acceptance","Singapore","1"
"Public Health & Productivity","Human Capital","1"
"Animal Tool Use","Orangutan","1"
"Education & Culture","Human Development","1"
"Anaemia Mukt Bharat","Delayed Cord Clamping","1"
"Nature Solutions Finance Hub","ADB Initiative","1"
"Permutation & Combination","Spacing Constraint","1"
"Visible Light Communication","Optical Wireless","1"
"Biodiversity & Climate Adaptation","Ecosystem Resilience","2"
"Atmospheric Radiation","Water Vapour","1"
"Janani Suraksha Yojana","Institutional Delivery","1"
"Number System","Inequalities","5"
"Number System","Percentages","3"
"Economic Sectors Classification","Primary/Secondary/Tertiary Activities","1"
"Number System","Row-wise Logic","1"
"Averages","Mean of Consecutive Numbers","1"
"Number System","Positioning","1"
"Deputy Speaker of Lok Sabha","Parliamentary Practice","1"
"Edible Oil Imports","Customs Duty","1"
"Profit & Loss","Clock Error","1"
"Public Health System","State Responsibility","1"
"Child Labour","ILO Conventions","1"
"Number System","Coordinates","1"
"Right against Exploitation","Child Labour","1"
"Number System","Logic Deduction","1"
"President Election & Powers","Assent Timelines","1"
"Urban Waste Management & Drainage","Solid Waste","1"
"Industrial Labour Legislation","Factories Act 1881","1"
"Number System","Path Distance","1"
"Economic Insecurity & Inequality","Social Inequality","1"
"Education System & Learning Outcomes","Employability","1"
"Cocoa Producers","Cote d???Ivoire","1"
"Number System","Mod 100","1"
"Number System","Combinatorics","4"
"Indian Physiography","Western Ghats","1"
"Number System","Powers","3"
"Constitution Parts","Part IXA","1"
"Algal Biofuels","Ecological Concerns","1"
"EP100 & Climate Group","Corporate Networks","1"
"Overwork & Self-Improvement","Materialism","1"
"Constitutional Bodies","NCBC","1"
"Buddhist Concepts","Future Buddha","1"
"Logical Reasoning","Logic Games","1"
"Santhal Parganas","Santhal Uprising","1"
"IMF Emergency Financing","Rapid Credit Facility","1"
"Averages","Harmonic Mean","1"
"Adolescent Psychology & Parenting","Parental Guidance","1"
"River Sand Mining Impacts","Groundwater Pollution","1"
"Number System","Divisibility by 3","1"
"Physical Capital Types","Fixed vs Working Capital","1"
"Number System","Distance Formula","1"
"Leader of Opposition","Recognition Criteria","5"
"RTGS vs NEFT","Charges","1"
"Jaina Texts","Trishashtilakshana Mahapurana","1"
"Indian Wetlands & Lakes","Sasthamkotta","1"
"Number System","Integer Sums","1"
"Chemical Weathering","Oxidation","1"
"Soil Health Card Scheme","Soil Fertility","1"
"Constitutional Amendments","Right to Property","1"
"State, Morality & Law","Authority","1"
"Indus Valley Civilization","Harappan Sites","1"
"Cultural Traditions & Festivals","Khongjom Parba","1"
"Quantum Computing & AI","Majorana Chip","1"
"Number System","Repdigits","2"
"Number System","Rates of Change","1"
"Delhi Sultanate Revenue Administration","Revenue System","1"
"Deforestation & Desertification","Soil Erosion","1"
"Afghanistan Bordering Countries","Tajikistan","1"
"Logical Reasoning","Sufficiency","12"
"Time, Speed & Distance","Time Overlaps","1"
"Parasitoid Species","Beetles","1"
"Permutation & Combination","Numbering Pages","1"
"Gravitational Waves","LIGO","1"
"Time, Speed & Distance","PIN Combinations","1"
"Artificial Rainmaking","Silver Iodide","1"
"Number System","Relative Speed","1"
"Nitric Oxide Physiology","Blood Flow","1"
"Carbon Fibre Materials","Aerospace Uses","1"
"Seas and Bordering Countries","Adriatic","1"
"Ratio & Proportion","Proportionality","1"
"Interest Coverage Ratio","Credit Risk Assessment","1"
"Indian Islands Geography","Great Nicobar","1"
"Gucchi Mushroom","Himalayan Morchella","1"
"Union vs State Subjects","Inter-State Commerce","1"
"Artificial Intelligence Applications","Disease Diagnosis","1"
"Number System","Interval Calculation","1"
"Sun Temples in India","Modhera Sun Temple","1"
"Cocoa Producers","Ghana","1"
"Environmental Management","Sustainable Practices","3"
"Number System","Fixed Points","1"
"Permutation & Combination","Route Counting","1"
"Permutation & Combination","Diophantine Solutions","1"
"Military Coups in Africa","Guinea","1"
"World Rivers & Drainage","Volga-Caspian","1"
"Blockchain Technology","Permissionless Networks","1"
"15th Finance Commission Recommendations","Tax Effort","1"
"Permutation & Combination","Currency Denominations","1"
"Number System","Day-Date Calculation","2"
"Ancient Irrigation Devices","Water Lifting","1"
"Number System","Denominations","1"
"Profit & Loss","Time-Weighted Capital","1"
"Chauri Chaura Defence","C.R. Das","1"
"National Payments Corporation of India","RuPay","1"
"Ratio & Proportion","Density","1"
"Permutation & Combination","Ordering","6"
"Number System","Pigeonhole Principle","1"
"Democratic Decentralization","Local Self-Government","1"
"Social Welfare","Social Schemes","1"
"Household Air Pollution","Health Impacts","1"
"Poetry and Truth","Power and Tyranny","1"
"Logical Reasoning","Logical Sufficiency","1"
"Presidential Election Electoral College","Nominated Members","1"
"US Sovereign Debt","Treasury Bonds","1"
"Corporate Governance & Investment","External Financing","1"
"Number System","Reverse Alphabet","1"
"Small Farmer Large Field Model","Synchronization","1"
"Municipal Waste Management","Segregation","2"
"Number System","Linear Expression","1"
"Atmospheric Radiation","Infrared Absorption","1"
"Overwork & Self-Improvement","Distraction","1"
"Number System","Summation","1"
"Logical Reasoning","Goals","1"
"Regional Navigation Systems","GNSS","1"
"Number System","Right Triangles","1"
"Champaran Satyagraha","Peasant Movements","1"
"Financial Inclusion","Banking Correspondents","1"
"EU Net-Zero Industry Act","Carbon Neutrality","1"
"Time, Speed & Distance","Arithmetic Progression","1"
"Missile Systems","Ballistic vs Cruise","1"
"Vernal Window & Ecosystems","Seasonal Shifts","1"
"Public Sector Banks Governance","SBI Associate Banks","1"
"Climate Change & Water Resources","Groundwater Recharge","1"
"Monetary Policy Committee","RBI Governance","1"
"Real Sector of Economy","Agriculture","1"
"Archaeological Sites","Salihundam","1"
"Small Finance Banks","Financial Inclusion","1"
"Number System","Digit Inequalities","1"
"Inflation Control","Reserve Bank of India","1"
"Number System","Diophantine Equations","1"
"Number System","Doubling Time","1"
"Indian Lakes & River Systems","Kolleru Lake","1"
"Nutrition Programs","Anaemia Reduction","1"
"Vernal Window & Ecosystems","Climate Change","1"
"Gold Trade & Reserves","Gold Refining","1"
"Global Indices","Global Gender Gap Index","1"
"Ecological Interdependence","Pollination","1"
"Food Conversion Efficiency","Wealthy Diets","1"
"Levant Region","Eastern Mediterranean","1"
"National Skills Qualification Framework","Vocational Education","1"
"CAMPA","Compensatory Afforestation Fund","1"
"Andes Mountains Countries","Ecuador","1"
"National Food Security Act","Women Head of Household","1"
"Historical Injustice & Social Discrimination","Economic Deprivation","2"
"Inflation Indices","WPI Coverage","1"
"Internal Security & Preventive Detention","Preventive Detention","1"
"Tuberculosis & Social Determinants","Stigma","1"
"Water Vapour Distribution","Humidity","1"
"Hepatitis Viruses","Hepatitis C","1"
"Number System","Line Graph","1"
"Consumer Product Safety","Lead in Lipstick","1"
"Number System","Cubic Units","1"
"Constitutional Government","Limited Government","1"
"Number System","Workforce Trend","1"
"Permutation & Combination","Calendar","1"
"Number System","Diameter","1"
"Number System","Migration","1"
"Number System","Cutting Shapes","1"
"Food Loss & Waste","Carbon Footprint","1"
"UNOPS S3i Investments","MRT","1"
"Ratio & Proportion","Fraction Adjustment","1"
"Freshwater Fish Distribution","River Systems","1"
"Money Bill Procedure","Article 109","1"
"Opposition in Democracy","Accountability","1"
"Number System","Smallest Number","1"
"Averages","Corrected Mean","1"
"Number System","Table Analysis","1"
"Continental Drift Evidence","Gondwana Sediments","1"
"Acid Rain Causes","Sulphur Dioxide","1"
"Agricultural Productivity","Irrigation","1"
"Markets, Welfare & Democracy","Market Limitations","1"
"Public Key Infrastructure","Encryption","1"
"Food Conversion Efficiency","Animal Feed","1"
"Plastic in Chewing Gum","Pollution","1"
"Percentage","Quantity Change","1"
"Number System","Repunit","1"
"Climate Change & Agriculture","Crop Shifts","1"
"Bhakti Saints","Nimbarka","1"
"Logical Reasoning","Ages","1"
"Current Affairs Country Events","Guinea","1"
"Leadership & Political Legitimacy","Democratic Leadership","1"
"Number System","Venn Diagram","1"
"Home Guards","Border Wing","1"
"Gharial Conservation","National Chambal Sanctuary","1"
"Desertification & Deforestation","Hydrology Changes","3"
"Intellectual Property Rights Policy","TRIPS Agreement","1"
"Permutation & Combination","Digit Count","1"
"Global Compact for Migration","International Migration","1"
"Number System","Perfect Squares","1"
"Enforcement Agencies","DG Systems & Data Management","1"
"Financial Instruments","ETFs","1"
"Coastal Geomorphology","Marshlands","1"
"Logical Reasoning","Assignment Constraints","10"
"Banks Board Bureau","Capital Raising","1"
"India?s Memberships","AIIB","1"
"Fertigation","Nutrient Use Efficiency","1"
"Hundi","Bills of Exchange","1"
"Skill Development Programs","National Skill Development","1"
"Fifth Schedule","Land Protection","1"
"Coal Sector Nationalization","Coal Blocks","1"
"Arctic Geopolitics & Resources","Resource Competition","1"
"Sanskrit & Jain Literature","Milinda-panha","1"
"International Grains Council","Grain Trade Governance","1"
"Averages","Family","1"
"Parliamentary Procedure","Parliamentary Procedure","3"
"IoT Security","Cybersecurity","1"
"Indian Freedom Struggle","Round Table Conferences","1"
"Carbon Capture & Sequestration","Enhanced Weathering","1"
"Desert National Park","Great Indian Bustard","1"
"IMF Reserve Tranche","Balance of Payments","1"
"Rule of Law","Equality Before Law","1"
"Logical Reasoning","Logical Inference","1"
"Parliamentary System","Executive Responsibility","1"
"Inflation Measurement","Consumption Baskets","1"
"Food Loss & Waste","Supply Chain Losses","1"
"Right to Marry","Article 21","1"
"Charter Act 1813","East India Company","1"
"Logical Reasoning","Statement Conclusions","1"
"Number System","Time & Work","1"
"Number System","Powers of 10","2"
"Plant vs Animal Cells","Cell Wall","1"
"Bioenergy Sustainability","Food vs Fuel","1"
"Number System","Logical Deduction","3"
"Financial Inclusion","Banking Regulation","1"
"Green Economy","UNEP","1"
"Ashokan Inscriptions","Mauryan Art","1"
"Volcanic Eruption Products","Ash","1"
"Buddhist Sects","Sautrantika","1"
"Ecosystem Valuation","Biodiversity Economics","1"
"Botanical Pesticides & Sustainable Agriculture","Synthetic Pesticides","1"
"Number System","Speed Ratio","1"
"Number System","Graph","3"
"Regulation & Economic Growth","Regulatory Policy","2"
"Food Price Policy","Stockpiling","1"
"Government Securities & Treasury Bills","RBI","1"
"Financialization of Savings","Financial Inclusion","1"
"Number System","Diagonals","1"
"Number System","Remainders","3"
"Plant Descriptions","Malabar Spinach","1"
"AR & VR Technologies","Augmented Reality","1"
"Finance Commission Devolution Criteria","Demographic Performance","1"
"Food Security & Resource Management","Diet Patterns","1"
"Decision-Making & Perseverance","Perseverance","1"
"Pulses & Sustainable Agriculture","Pulse Varieties","1"
"Office of Profit","Parliament","1"
"Quality Council of India","Public-Private Institution","1"
"Bioremediation","Genetic Engineering","1"
"Logical Reasoning","Truth/False Statements","1"
"Logical Reasoning","Day-Date","1"
"Plant Defense & Pest Control","Biopesticides","1"
"Atmospheric Phenomena","Jet Streams & Cyclones","1"
"Musk Deer Habitat","Himalayan Protected Areas","1"
"Food Conversion Efficiency","Calorie Loss","2"
"State-Level Climate Action","Regional Impacts","1"
"Regions & Countries","Anatolia","1"
"GM Mustard","Genetic Engineering","1"
"Circular Economy & Battery Recycling","Growth Compatibility","1"
"Turmeric Production","Export Leader","1"
"Biochar in Agriculture","Soil Amendment","1"
"Soil Properties & Salinization","Organic Matter","1"
"Self-Respect Movement","Periyar E.V. Ramasamy","1"
"Corporate Capitalism & Growth","Jobs","1"
"Science & Faith","Limits of Science","1"
"Patents & Access","Innovation Incentives","1"
"Time & Work","Percentage Change","1"
"Nari Shakti Vandan Adhiniyam","SC Women","1"
"Religious Freedom & State Regulation","Public Order","1"
"Number System","Environmental Safety","1"
"Light Pollution & Ecosystem Effects","Street Lighting","1"
"Concept of Rights","State vs Citizen Rights","1"
"Work & Leisure","Leisure Balance","1"
"OLED Technology","Display Technology","1"
"Climate Change & Resource Conflicts","Resource Scarcity","1"
"Averages","Mean Calculation","1"
"Space Missions & Microgravity","SpaDeX","1"
"Number System","Number Formation","1"
"Number System","Alternating Pattern","1"
"Consumerism & Environmental Sustainability","Aspirations","1"
"Number System","Kinship","1"
"Macroeconomics","Policy Measures","10"
"Mitochondrial Replacement Therapy","Pronuclear Transfer","1"
"Committee on Subordinate Legislation","Delegated Legislation","1"
"Conflict Regions","Kachin","1"
"Ancient Religious Terms","Shramana","1"
"Logical Reasoning","Order of Operations","1"
"UNESCO Intangible Heritage","ICH List 2023","1"
