"questionId","primary_concept","question_intent","cognitive_level"
"UPSC_2016_CSAT_Q66","National Income Accounting","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q67","Carbon Cycle & Soil Carbon","Reading Interpretation","L3"
"UPSC_2016_CSAT_Q68","Global Food Security","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q69","Global Food Security","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q7","Number System","Concept Application","L2"
"UPSC_2016_CSAT_Q70","Global Food Security","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q71","Global Food Security","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q72","Permutation & Combination","Concept Application","L2"
"UPSC_2016_CSAT_Q73","Ratio & Proportion","Concept Application","L2"
"UPSC_2016_CSAT_Q74","Ratio & Proportion","Concept Application","L2"
"UPSC_2016_CSAT_Q75","Time, Speed & Distance","Concept Application","L2"
"UPSC_2016_CSAT_Q76","Time & Work","Concept Application","L2"
"UPSC_2016_CSAT_Q77","Averages","Concept Application","L2"
"UPSC_2016_CSAT_Q78","Time, Speed & Distance","Concept Application","L2"
"UPSC_2016_CSAT_Q79","Number System","Concept Application","L2"
"UPSC_2016_CSAT_Q8","Number System","Concept Application","L2"
"UPSC_2016_CSAT_Q80","Profit & Loss","Concept Application","L2"
"UPSC_2016_CSAT_Q9","Number System","Concept Application","L2"
"UPSC_2016_GS1_Q1","Parliamentary Procedure","Elimination Logic","L3"
"UPSC_2016_GS1_Q10","Ancient Indian Literature","Fact Recall","L1"
"UPSC_2016_GS1_Q100","Science & Technology","Elimination Logic","L3"
"UPSC_2016_GS1_Q11","WTO Agreements","Fact Recall","L1"
"UPSC_2016_GS1_Q12","Capital Budget","Elimination Logic","L3"
"UPSC_2016_GS1_Q13","UNCCD","Elimination Logic","L3"
"UPSC_2016_GS1_Q14","IMF SDR","Fact Recall","L1"
"UPSC_2016_GS1_Q15","IMFC","Elimination Logic","L3"
"UPSC_2016_GS1_Q16","Manual Scavenging Rehabilitation","Fact Recall","L1"
"UPSC_2016_GS1_Q17","Bhakti-Sufi Movements","Elimination Logic","L3"
"UPSC_2016_GS1_Q18","Import Cover","Fact Recall","L1"
"UPSC_2016_GS1_Q19","Ethnic Conflicts","Elimination Logic","L3"
"UPSC_2016_GS1_Q2","Social Welfare","Elimination Logic","L3"
"UPSC_2016_GS1_Q20","Indian History","Elimination Logic","L3"
"UPSC_2016_GS1_Q21","Government Schemes","Elimination Logic","L3"
"UPSC_2016_GS1_Q22","General Studies","Fact Recall","L1"
"UPSC_2016_GS1_Q23","Science & Technology","Elimination Logic","L3"
"UPSC_2016_GS1_Q24","Indian Culture","Fact Recall","L1"
"UPSC_2016_GS1_Q25","General Studies","Elimination Logic","L3"
"UPSC_2016_GS1_Q26","Government Schemes","Elimination Logic","L3"
"UPSC_2016_GS1_Q27","Agricultural Heritage Systems","Elimination Logic","L3"
"UPSC_2016_GS1_Q28","General Studies","Elimination Logic","L3"
"UPSC_2016_GS1_Q29","Banking Technology","Elimination Logic","L3"
"UPSC_2016_GS1_Q3","Macroeconomics","Elimination Logic","L3"
"UPSC_2016_GS1_Q30","Government Schemes","Elimination Logic","L3"
"UPSC_2016_GS1_Q31","General Studies","Fact Recall","L1"
"UPSC_2016_GS1_Q32","Government Schemes","Fact Recall","L1"
"UPSC_2016_GS1_Q33","Conservation & Biodiversity","Elimination Logic","L3"
"UPSC_2016_GS1_Q34","Science & Technology","Elimination Logic","L3"
"UPSC_2016_GS1_Q35","Science & Technology","Fact Recall","L1"
"UPSC_2016_GS1_Q36","General Studies","Fact Recall","L1"
"UPSC_2016_GS1_Q37","Global Governance Indices","Fact Recall","L1"
"UPSC_2016_GS1_Q38","General Studies","Fact Recall","L1"
"UPSC_2016_GS1_Q39","General Studies","Fact Recall","L1"
"UPSC_2016_GS1_Q4","Financial Inclusion","Elimination Logic","L3"
"UPSC_2016_GS1_Q40","General Studies","Elimination Logic","L3"
"UPSC_2016_GS1_Q41","General Studies","Elimination Logic","L3"
"UPSC_2016_GS1_Q42","General Studies","Elimination Logic","L3"
"UPSC_2016_GS1_Q43","Macroeconomics","Elimination Logic","L3"
"UPSC_2016_GS1_Q44","Science & Technology","Elimination Logic","L3"
"UPSC_2016_GS1_Q45","Conservation & Biodiversity","Fact Recall","L1"
"UPSC_2016_GS1_Q46","Science & Technology","Fact Recall","L1"
"UPSC_2016_GS1_Q47","Aerospace Technology","Fact Recall","L1"
"UPSC_2016_GS1_Q48","Government Schemes","Elimination Logic","L3"
"UPSC_2016_GS1_Q49","Government Schemes","Fact Recall","L1"
"UPSC_2016_GS1_Q5","Government Schemes","Elimination Logic","L3"
"UPSC_2016_GS1_Q50","General Studies","Elimination Logic","L3"
"UPSC_2016_GS1_Q51","General Studies","Fact Recall","L1"
"UPSC_2016_GS1_Q52","Ecosystem Valuation","Elimination Logic","L3"
"UPSC_2016_GS1_Q53","Conservation & Biodiversity","Elimination Logic","L3"
"UPSC_2016_GS1_Q54","Conservation & Biodiversity","Elimination Logic","L3"
"UPSC_2016_GS1_Q55","Macroeconomics","Fact Recall","L1"
"UPSC_2016_GS1_Q56","Macroeconomics","Elimination Logic","L3"
"UPSC_2016_GS1_Q57","Science & Technology","Elimination Logic","L3"
"UPSC_2016_GS1_Q58","General Studies","Fact Recall","L1"
"UPSC_2016_GS1_Q59","General Studies","Elimination Logic","L3"
"UPSC_2016_GS1_Q6","Environmental Management","Fact Recall","L1"
"UPSC_2016_GS1_Q60","Conservation & Biodiversity","Fact Recall","L1"
"UPSC_2016_GS1_Q61","General Studies","Fact Recall","L1"
"UPSC_2016_GS1_Q62","General Studies","Elimination Logic","L3"
"UPSC_2016_GS1_Q63","Science & Technology","Fact Recall","L1"
"UPSC_2016_GS1_Q64","Parliamentary Procedure","Fact Recall","L1"
"UPSC_2016_GS1_Q65","General Studies","Elimination Logic","L3"
"UPSC_2016_GS1_Q66","Cryptocurrency","Elimination Logic","L3"
"UPSC_2016_GS1_Q67","Macroeconomics","Elimination Logic","L3"
"UPSC_2016_GS1_Q68","Parliamentary Procedure","Fact Recall","L1"
"UPSC_2016_GS1_Q69","General Studies","Fact Recall","L1"
"UPSC_2016_GS1_Q7","Power Sector Reforms","Concept Understanding","L2"
"UPSC_2016_GS1_Q70","Science & Technology","Fact Recall","L1"
"UPSC_2016_GS1_Q71","Gold Monetization Policy","Elimination Logic","L3"
"UPSC_2016_GS1_Q72","Science & Technology","Fact Recall","L1"
"UPSC_2016_GS1_Q73","Government Schemes","Fact Recall","L1"
"UPSC_2016_GS1_Q74","General Studies","Elimination Logic","L3"
"UPSC_2016_GS1_Q75","Macroeconomics","Fact Recall","L1"
"UPSC_2016_GS1_Q76","Government Schemes","Elimination Logic","L3"
"UPSC_2016_GS1_Q77","Science & Technology","Fact Recall","L1"
"UPSC_2016_GS1_Q78","General Studies","Elimination Logic","L3"
"UPSC_2016_GS1_Q79","Science & Technology","Fact Recall","L1"
"UPSC_2016_GS1_Q8","Macroeconomics","Elimination Logic","L3"
"UPSC_2016_GS1_Q80","Science & Technology","Elimination Logic","L3"
"UPSC_2016_GS1_Q81","Environmental Management","Elimination Logic","L3"
"UPSC_2016_GS1_Q82","General Studies","Fact Recall","L1"
"UPSC_2016_GS1_Q83","General Studies","Elimination Logic","L3"
"UPSC_2016_GS1_Q84","Science & Technology","Elimination Logic","L3"
"UPSC_2016_GS1_Q85","Physical Geography","Fact Recall","L1"
"UPSC_2016_GS1_Q86","Science & Technology","Elimination Logic","L3"
"UPSC_2016_GS1_Q87","Macroeconomics","Elimination Logic","L3"
"UPSC_2016_GS1_Q88","General Studies","Fact Recall","L1"
"UPSC_2016_GS1_Q89","Oral Traditions in History","Fact Recall","L1"
"UPSC_2016_GS1_Q9","Macroeconomics","Elimination Logic","L3"
"UPSC_2016_GS1_Q90","General Studies","Fact Recall","L1"
"UPSC_2016_GS1_Q91","Macroeconomics","Elimination Logic","L3"
"UPSC_2016_GS1_Q92","Indian National Movement","Fact Recall","L1"
"UPSC_2016_GS1_Q93","General Studies","Fact Recall","L1"
"UPSC_2016_GS1_Q94","Science & Technology","Elimination Logic","L3"
"UPSC_2016_GS1_Q95","Indian Federalism","Concept Understanding","L2"
"UPSC_2016_GS1_Q96","Physical Geography","Fact Recall","L1"
"UPSC_2016_GS1_Q97","Environmental Management","Elimination Logic","L3"
"UPSC_2016_GS1_Q98","Science & Technology","Elimination Logic","L3"
"UPSC_2016_GS1_Q99","General Studies","Fact Recall","L1"
"UPSC_2017_CSAT_Q1","Climate Change & Resource Conflicts","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q10","Logical Reasoning","Elimination Logic","L4"
"UPSC_2017_CSAT_Q11","Number System","Concept Application","L2"
"UPSC_2017_CSAT_Q12","Number System","Concept Application","L2"
"UPSC_2017_CSAT_Q13","Number System","Concept Application","L2"
"UPSC_2017_CSAT_Q14","Number System","Concept Application","L2"
"UPSC_2017_CSAT_Q15","Logical Reasoning","Elimination Logic","L4"
"UPSC_2017_CSAT_Q16","Time & Work","Concept Application","L2"
"UPSC_2017_CSAT_Q17","Number System","Concept Application","L2"
"UPSC_2017_CSAT_Q18","Number System","Concept Application","L2"
"UPSC_2017_CSAT_Q19","Logical Reasoning","Elimination Logic","L4"
"UPSC_2017_CSAT_Q2","Decision-Making & Perseverance","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q20","Profit & Loss","Concept Application","L2"
"UPSC_2017_CSAT_Q21","National Integration & Civic Responsibility","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q22","Social Contract & General Will","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q23","Democratic Political Maturity","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q24","Civic Participation & Voting Duty","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q25","Leadership & Political Legitimacy","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q26","Leisure and Human Progress","Reading Interpretation","L3"
"UPSC_2017_CSAT_Q27","Historical Lessons for Leadership","Reading Interpretation","L3"
"UPSC_2017_CSAT_Q28","Averages","Concept Application","L2"
"UPSC_2017_CSAT_Q29","Logical Reasoning","Elimination Logic","L4"
"UPSC_2017_CSAT_Q3","Climate Change & Polar Ecosystems","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q30","Percentage","Concept Application","L2"
"UPSC_2017_CSAT_Q31","Profit & Loss","Concept Application","L2"
"UPSC_2017_CSAT_Q32","Percentage","Concept Application","L2"
"UPSC_2017_CSAT_Q33","Time, Speed & Distance","Concept Application","L2"
"UPSC_2017_CSAT_Q34","Logical Reasoning","Elimination Logic","L4"
"UPSC_2017_CSAT_Q35","Averages","Concept Application","L2"
"UPSC_2017_CSAT_Q36","Number System","Concept Application","L2"
"UPSC_2017_CSAT_Q37","Ratio & Proportion","Concept Application","L2"
"UPSC_2017_CSAT_Q38","Permutation & Combination","Concept Application","L2"
"UPSC_2017_CSAT_Q39","Time, Speed & Distance","Concept Application","L2"
"UPSC_2017_CSAT_Q4","Sanitation Behavior","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q40","Logical Reasoning","Elimination Logic","L4"
"UPSC_2017_CSAT_Q41","Political Development & Group Identity","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q42","Devolution & Decentralization","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q43","Digital Society & Governance","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q44","Middle-Income Trap","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q45","Inclusive Innovation & Inequality","Reading Interpretation","L3"
"UPSC_2017_CSAT_Q46","Climate Change & Migration","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q47","Botanical Pesticides & Sustainable Agriculture","Reading Interpretation","L3"
"UPSC_2017_CSAT_Q48","Number System","Concept Application","L2"
"UPSC_2017_CSAT_Q49","Number System","Concept Application","L2"
"UPSC_2017_CSAT_Q5","Inclusive Wealth & Sustainability","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q50","Logical Reasoning","Elimination Logic","L4"
"UPSC_2017_CSAT_Q51","Permutation & Combination","Concept Application","L2"
"UPSC_2017_CSAT_Q52","Number System","Concept Application","L2"
"UPSC_2017_CSAT_Q53","Number System","Concept Application","L2"
"UPSC_2017_CSAT_Q54","Time & Work","Concept Application","L2"
"UPSC_2017_CSAT_Q55","Logical Reasoning","Elimination Logic","L4"
"UPSC_2017_CSAT_Q56","Number System","Concept Application","L2"
"UPSC_2017_CSAT_Q57","Permutation & Combination","Concept Application","L2"
"UPSC_2017_CSAT_Q58","Ratio & Proportion","Concept Application","L2"
"UPSC_2017_CSAT_Q59","Logical Reasoning","Elimination Logic","L4"
"UPSC_2017_CSAT_Q6","Labour Reforms & Employment","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q60","Logical Reasoning","Elimination Logic","L4"
"UPSC_2017_CSAT_Q61","Air Pollution & AQI","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q62","Productive Employment & Inclusion","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q63","Ecoagriculture & Biodiversity","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q64","Manufacturing Upgradation","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q65","Food Security & Nutrition","Reading Interpretation","L3"
"UPSC_2017_CSAT_Q66","Indian Federalism","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q67","Popular Sovereignty","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q68","Averages","Concept Application","L2"
"UPSC_2017_CSAT_Q69","Logical Reasoning","Elimination Logic","L4"
"UPSC_2017_CSAT_Q7","Work & Leisure","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q70","Logical Reasoning","Elimination Logic","L4"
"UPSC_2017_CSAT_Q71","Logical Reasoning","Elimination Logic","L4"
"UPSC_2017_CSAT_Q72","Logical Reasoning","Elimination Logic","L4"
"UPSC_2017_CSAT_Q73","Number System","Concept Application","L2"
"UPSC_2017_CSAT_Q74","Ratio & Proportion","Concept Application","L2"
"UPSC_2017_CSAT_Q75","Number System","Concept Application","L2"
"UPSC_2017_CSAT_Q76","Logical Reasoning","Elimination Logic","L4"
"UPSC_2017_CSAT_Q77","Logical Reasoning","Elimination Logic","L4"
"UPSC_2017_CSAT_Q78","Logical Reasoning","Elimination Logic","L4"
"UPSC_2017_CSAT_Q79","Number System","Concept Application","L2"
"UPSC_2017_CSAT_Q8","Habit Formation","Reading Interpretation","L2"
"UPSC_2017_CSAT_Q80","Permutation & Combination","Concept Application","L2"
"UPSC_2017_CSAT_Q9","Logical Reasoning","Elimination Logic","L4"
"UPSC_2017_GS1_Q1","Parliamentary Procedure","Elimination Logic","L3"
"UPSC_2017_GS1_Q10","Innovation Programs","Elimination Logic","L3"
"UPSC_2017_GS1_Q100","Indian Federalism","Fact Recall","L1"
"UPSC_2017_GS1_Q11","Monetary Policy Committee","Elimination Logic","L3"
"UPSC_2017_GS1_Q12","Traditional Performing Arts","Elimination Logic","L3"
"UPSC_2017_GS1_Q13","Ryotwari Settlement","Elimination Logic","L3"
"UPSC_2017_GS1_Q14","Bioremediation","Elimination Logic","L3"
"UPSC_2017_GS1_Q15","Industrial Relations Legislation","Fact Recall","L1"
"UPSC_2017_GS1_Q16","Democratic Decentralization","Concept Understanding","L2"
"UPSC_2017_GS1_Q17","Directive Principles","Elimination Logic","L3"
"UPSC_2017_GS1_Q18","Digital Single Market Strategy","Fact Recall","L1"
"UPSC_2017_GS1_Q19","Tidal Phenomena","Fact Recall","L1"
"UPSC_2017_GS1_Q2","Vedic Civilization","Elimination Logic","L3"
"UPSC_2017_GS1_Q20","Benami Property Law","Elimination Logic","L3"
"UPSC_2017_GS1_Q21","Ecological Interdependence","Elimination Logic","L3"
"UPSC_2017_GS1_Q22","Algal Biofuels","Elimination Logic","L3"
"UPSC_2017_GS1_Q23","Nutrition Programs","Elimination Logic","L3"
"UPSC_2017_GS1_Q24","Industrial Labour Legislation","Elimination Logic","L3"
"UPSC_2017_GS1_Q25","Carbon Sequestration","Elimination Logic","L3"
"UPSC_2017_GS1_Q26","Indian Princely States Policy","Fact Recall","L1"
"UPSC_2017_GS1_Q27","Domestic Content Requirement","Fact Recall","L1"
"UPSC_2017_GS1_Q28","Nuclear Security Governance","Elimination Logic","L3"
"UPSC_2017_GS1_Q29","National Pension System","Fact Recall","L1"
"UPSC_2017_GS1_Q3","Skill Development Programs","Fact Recall","L1"
"UPSC_2017_GS1_Q30","Teesta River System","Elimination Logic","L3"
"UPSC_2017_GS1_Q31","Zika Virus","Elimination Logic","L3"
"UPSC_2017_GS1_Q32","Quality Standards & Certification","Elimination Logic","L3"
"UPSC_2017_GS1_Q33","Agricultural Market Reforms","Elimination Logic","L3"
"UPSC_2017_GS1_Q34","Intellectual Property Rights Policy","Elimination Logic","L3"
"UPSC_2017_GS1_Q35","Wildlife Protection Act","Elimination Logic","L3"
"UPSC_2017_GS1_Q36","Fundamental Duties","Elimination Logic","L3"
"UPSC_2017_GS1_Q37","Early Political Associations","Elimination Logic","L3"
"UPSC_2017_GS1_Q38","Preamble to the Constitution","Fact Recall","L1"
"UPSC_2017_GS1_Q39","Quality Council of India","Elimination Logic","L3"
"UPSC_2017_GS1_Q4","Wildlife Corridors","Fact Recall","L1"
"UPSC_2017_GS1_Q40","Small Finance Banks","Elimination Logic","L3"
"UPSC_2017_GS1_Q41","Urban Development Cooperation","Elimination Logic","L3"
"UPSC_2017_GS1_Q42","Democratic Values","Fact Recall","L1"
"UPSC_2017_GS1_Q43","Unified Payments Interface","Fact Recall","L1"
"UPSC_2017_GS1_Q44","Astrophysics & Cosmology","Fact Recall","L1"
"UPSC_2017_GS1_Q45","Genomic Breeding","Elimination Logic","L3"
"UPSC_2017_GS1_Q46","Parliamentary Procedures","Concept Understanding","L2"
"UPSC_2017_GS1_Q47","Rights and Duties","Fact Recall","L1"
"UPSC_2017_GS1_Q48","Constitutional Philosophy","Concept Understanding","L2"
"UPSC_2017_GS1_Q49","Indian State Geography","Fact Recall","L1"
"UPSC_2017_GS1_Q5","Concept of Equality","Concept Understanding","L2"
"UPSC_2017_GS1_Q50","Parliamentary Accountability","Elimination Logic","L3"
"UPSC_2017_GS1_Q51","Medieval Ports & Trade","Fact Recall","L1"
"UPSC_2017_GS1_Q52","Global Climate Change Alliance","Elimination Logic","L3"
"UPSC_2017_GS1_Q53","Buddhist Sects","Elimination Logic","L3"
"UPSC_2017_GS1_Q54","Mediterranean Region","Elimination Logic","L3"
"UPSC_2017_GS1_Q55","National Investment and Infrastructure Fund","Elimination Logic","L3"
"UPSC_2017_GS1_Q56","Multilateral Financing Institutions","Fact Recall","L1"
"UPSC_2017_GS1_Q57","Election Nomination Rules","Fact Recall","L1"
"UPSC_2017_GS1_Q58","Indian Physiography","Elimination Logic","L3"
"UPSC_2017_GS1_Q59","Water Pollution Indicators","Fact Recall","L1"
"UPSC_2017_GS1_Q6","Wildlife Trade Monitoring","Elimination Logic","L3"
"UPSC_2017_GS1_Q60","UN-Habitat","Elimination Logic","L3"
"UPSC_2017_GS1_Q61","National Skills Qualification Framework","Elimination Logic","L3"
"UPSC_2017_GS1_Q62","Dyarchy in India","Fact Recall","L1"
"UPSC_2017_GS1_Q63","National Career Service","Fact Recall","L1"
"UPSC_2017_GS1_Q64","Stressed Assets Resolution","Fact Recall","L1"
"UPSC_2017_GS1_Q65","Climate and Clean Air Coalition","Elimination Logic","L3"
"UPSC_2017_GS1_Q66","Indian Ocean Dipole","Elimination Logic","L3"
"UPSC_2017_GS1_Q67","Gharial Conservation","Fact Recall","L1"
"UPSC_2017_GS1_Q68","Indian Ocean Naval Symposium","Fact Recall","L1"
"UPSC_2017_GS1_Q69","Ajanta Cave Paintings","Fact Recall","L1"
"UPSC_2017_GS1_Q7","Directive Principles Amendments","Fact Recall","L1"
"UPSC_2017_GS1_Q70","Cultural Festivals & Communities","Elimination Logic","L3"
"UPSC_2017_GS1_Q71","Water Conservation in Agriculture","Elimination Logic","L3"
"UPSC_2017_GS1_Q72","Soil Health Card Scheme","Elimination Logic","L3"
"UPSC_2017_GS1_Q73","Consumer Product Safety","Elimination Logic","L3"
"UPSC_2017_GS1_Q74","OLED Technology","Elimination Logic","L3"
"UPSC_2017_GS1_Q75","Sun Temples in India","Elimination Logic","L3"
"UPSC_2017_GS1_Q76","Parliamentary Procedures","Elimination Logic","L3"
"UPSC_2017_GS1_Q77","Economic Liberalization","Elimination Logic","L3"
"UPSC_2017_GS1_Q78","Biotechnology","Concept Understanding","L2"
"UPSC_2017_GS1_Q79","National Payments Corporation of India","Elimination Logic","L3"
"UPSC_2017_GS1_Q8","Concept of Rights","Concept Understanding","L2"
"UPSC_2017_GS1_Q80","Tiger Monitoring Systems","Fact Recall","L1"
"UPSC_2017_GS1_Q81","Goods and Services Tax","Elimination Logic","L3"
"UPSC_2017_GS1_Q82","India-EU Trade Agreement","Fact Recall","L1"
"UPSC_2017_GS1_Q83","WTO Trade Facilitation Agreement","Elimination Logic","L3"
"UPSC_2017_GS1_Q84","India's Maritime Strategy","Concept Understanding","L2"
"UPSC_2017_GS1_Q85","Cybersecurity Reporting","Elimination Logic","L3"
"UPSC_2017_GS1_Q86","Electoral Rights","Fact Recall","L1"
"UPSC_2017_GS1_Q87","Space-based Gravitational Wave Astronomy","Concept Understanding","L2"
"UPSC_2017_GS1_Q88","Vidyanjali Scheme","Elimination Logic","L3"
"UPSC_2017_GS1_Q89","Unnat Bharat Abhiyan","Fact Recall","L1"
"UPSC_2017_GS1_Q9","Global Indices","Fact Recall","L1"
"UPSC_2017_GS1_Q90","Election Commission of India","Elimination Logic","L3"
"UPSC_2017_GS1_Q91","Wildlife Protection Act","Fact Recall","L1"
"UPSC_2017_GS1_Q92","Judicial Review","Fact Recall","L1"
"UPSC_2017_GS1_Q93","Indian Freedom Struggle","Fact Recall","L1"
"UPSC_2017_GS1_Q94","Fiscal Indicators","Elimination Logic","L3"
"UPSC_2017_GS1_Q95","Asiatic Lion Conservation","Fact Recall","L1"
"UPSC_2017_GS1_Q96","President's Rule","Elimination Logic","L3"
"UPSC_2017_GS1_Q97","Right against Exploitation","Elimination Logic","L3"
"UPSC_2017_GS1_Q98","Indian Islands Geography","Fact Recall","L1"
"UPSC_2017_GS1_Q99","Parliamentary System","Concept Understanding","L2"
"UPSC_2018_CSAT_Q1","Permutation & Combination","Concept Application","L2"
"UPSC_2018_CSAT_Q10","Right to Education & Quality","Reading Interpretation","L2"
"UPSC_2018_CSAT_Q11","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q12","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q13","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q14","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q15","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q16","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q17","Right to Education & Quality","Reading Interpretation","L2"
"UPSC_2018_CSAT_Q18","Right to Education & Quality","Reading Interpretation","L3"
