"concept","frequency"
"Difference Calculation","1"
"Differences","1"
"Digit Arithmetic","1"
"Digit Constraints","1"
"Digit Count","1"
"Digit Counting","1"
"Digit Inequalities","1"
"Digit Patterns","1"
"Digit Reversal","3"
"Digital Society & Governance","1"
"Digital Technologies","1"
"Digital Trade","2"
"Direct vs Indirect Taxes","1"
"Directed Graph","3"
"Direction Sense","2"
"Discount","2"
"Displacement","1"
"Distance","3"
"Distance Formula","2"
"Disturbed Habitats","1"
"Divisibility","3"
"Divisibility Rule","1"
"Domestication","1"
"Ecoagriculture & Biodiversity","1"
"Ecological Balance","1"
"Ecological Limits","1"
"Economic Competitiveness","2"
"Economic Deprivation","2"
"Economic Development","1"
"Economic Growth","1"
"Economic Power","1"
"Ecosystem Resilience","2"
"Ecosystem Resilience & Climate Change","1"
"Ecosystem Services","1"
"Education & Culture","1"
"Education Equity","1"
"Education System & Skills","1"
"Efficiency","1"
"Electoral Responsibility","1"
"Elimination","1"
"Employment & Economic Growth","1"
"Employment Elasticity","1"
"Employment Growth","1"
"Environmental Cost","1"
"Environmental Risk","1"
"Environmental Safety","1"
"Equality of Opportunity","1"
"Equations","1"
"Equilateral Triangles","1"
"Error","1"
"Extreme Weather","1"
"Factory Farming","1"
"Family","1"
"Family Tree","2"
"Federalism","1"
"Figure Series","2"
"Financial Inclusion","2"
"Financial Literacy","1"
"Food Affordability","1"
"Food Contamination","1"
"Food Safety & Globalization","1"
"Food Safety & Public Health","1"
"Food Security","4"
"Food Security & Nutrition","1"
"Food Security vs Trade Rules","1"
"Food Supply Chains","1"
"Food vs Fuel","1"
"Foodborne Illness","1"
"Fraction Adjustment","1"
"Fractions","2"
"GDP vs Inclusive Wealth","1"
"Gender Ratio","1"
"Genetic Adaptation","1"
"Genetic Diversity","2"
"Geometric Progression","1"
"Geometry","2"
"Glacier Melt","1"
"Global Food Security","4"
"GM Technology & IPR","2"
"Governance Accountability","4"
"Graph","3"
"Graph Interpretation","1"
"Graph Paths","3"
"Graphs","1"
"Grassroots Participation","1"
"Green Revolution","1"
"Grid","1"
"Grid Navigation","1"
"Grouping & Selection","1"
"Growth Rate","1"
"Gut Microbiome","2"
"Habit Formation","1"
"Habitat Connectivity","2"
"Head Start","1"
"Health Impacts","1"
"Health Impacts of Air Pollution","1"
"High-Tech Manufacturing","1"
"Historical Injustice & Social Discrimination","2"
"Historical Lessons for Leadership","1"
"Household Air Pollution","1"
"Household Income Distribution","1"
"Human Development","1"
"Human Evolution & Lactose Tolerance","1"
"Human Impact","1"
"Human Society","1"
"Human-Wildlife Conflict","2"
"Hunger","1"
"Hunger Reduction","1"
"Hydrology Changes","3"
"Inclusion-Exclusion","2"
"Inclusive Finance","1"
"Inclusive Innovation & Inequality","1"
"Inclusive Wealth & Sustainability","1"
"Income","1"
"Income Comparison","1"
"Income Inequality","2"
"Income-Expenditure","1"
"Indecision","1"
"Indian Federalism","1"
"Individualized Nutrition","1"
"Industrial Age Schooling","1"
"Industrial Farming & Sustainability","1"
"Inequalities","3"
"Inequality & Economic Power","1"
"Informal Sector","1"
"Informal Sector Jobs","1"
"Installments","1"
"Integrated Pest Management","2"
"Intellectual Capital","1"
"Intellectual Property","2"
"Interest Rates","1"
"Internal vs External Accountability","4"
"Interval Arithmetic","1"
"Invasive Species","1"
"IoT Security","1"
"Justice","2"
"Labour Reforms & Employment","1"
"LCM","2"
"LCM / Cyclic Scheduling","1"
"Leadership & Political Legitimacy","1"
"Leadership Development","1"
"Leadership Training","1"
"Leadership Traits","1"
"Leap Year","1"
"Leisure and Human Progress","1"
"Leisure Balance","1"
"Letter Coding","1"
"Letter Rearrangement","1"
"Letter Substitution","1"
"Letter-Number Mapping","1"
"Lifestyle Habits","1"
"Limits of Science","1"
"Line Graph","1"
"Linear Equations","4"
"Linear Expression","1"
"Linear Ratio","1"
"Liquidity Management","1"
"Logic Games","2"
"Logic Grid","9"
"Logic Puzzle","2"
"Logic Puzzles","10"
"Logical Deduction","7"
"Logical Deduction (Constraint System)","100"
"Logical Deductions","3"
"Logical Inference","1"
"Logical Sequence","1"
"Logical Statements","1"
"Logical Sufficiency","1"
"Logical Validity","1"
"Malnutrition","1"
"Manual Scavenging","1"
"Manufacturing Upgradation","1"
"Marine Biodiversity","1"
"Marked Price","1"
"Market Distortions","1"
"Market Regulation","1"
"Marks","1"
"Max Area","1"
"Maximum Marks","1"
"Mean Calculation","1"
"Mean of Consecutive Numbers","1"
"Mean-Median-Mode","1"
"Measurement Issues","1"
"Microbiome & Malnutrition","2"
"Middle Term","1"
"Middle-Income Trap","1"
"Migration","1"
"Military History","1"
"Minimum Draws","1"
"Missing Digits","1"
"Modulo","1"
"Monocropping","1"
"Monoculture Risks","1"
"MSP Subsidies","1"
"National Income Accounting","1"
"National Integration & Civic Responsibility","1"
"National Integrity","1"
"Natural Capital","1"
"Negative Emissions","1"
"Net Change","1"
"Net Displacement","1"
"New-Age Skills","1"
"Non-Commercial Sector","1"
"Number Formation","1"
"Number Line","1"
"Number Properties","1"
"Number Series","1"
"Numbering","1"
"Numbers","1"
"Obesity & Dieting","1"
"Oligarchies","1"
"Open Defecation","1"
"Opposite Faces","3"
"Optimization","1"
"Order","2"
"Ordering","9"
"Ordering Constraints","1"
"Organized Sector Jobs","1"
"Outstanding Balance","1"
"Overtaking","1"
"Page Numbers","1"
"Painted Cubes","4"
"Participatory Planning","1"
"Path Tracking","1"
"Pattern","2"
"Pattern Completion","1"
"Pattern Recognition","3"
"Per Capita Income","1"
"Percent Decrease","1"
"Percent Increase","1"
"Percent of Total","2"
"Percent Overlap","1"
"Percent Shortfall","1"
"Percentage","1"
"Percentage Calculation","1"
"Percentage Change","1"
"Percentage Difference","1"
"Percentage Profit/Loss","1"
"Perfect Cubes","1"
"Perfect Squares","1"
"Periodicity","1"
"Perseverance","1"
"Pigeonhole Principle","1"
"Place Value","1"
"Polar Bears","1"
"Polar Governance","1"
"Political Conflict","1"
"Political Development & Group Identity","1"
"Political Economy","1"
"Political Legitimacy","1"
"Political Participation","1"
"Political Theory","1"
"Politics-Economics Interdependence","1"
"Polygon Diagonals","1"
"Popular Sovereignty","2"
"Population","2"
"Population Decline","1"
"Population Growth","1"
"Position Constraints","3"
"Positional Reasoning","1"
"Poverty","1"
"Power Structures","1"
"Price Affordability","1"
"Productive Employment & Inclusion","1"
"Productivity Growth","2"
"Profit","1"
"Profit-Loss","1"
"Propositional Logic","1"
"Purchasing Power","1"
"Purity-Pollution Norms","1"
"Pythagoras","1"
"R&D Policy","1"
"Race","1"
"Ranking","1"
"Ranking & Inequalities","1"
"Rates","1"
"Rates of Change","1"
"Ratio","8"
"Ratio of Wages","1"
"Ratios","3"
"Regulation & Economic Growth","2"
"Regulatory Policy","2"
"Regulatory Surveillance","1"
"Relation Symbols","1"
"Relative Position","1"
"Relative Progress","1"
"Relative Speed","4"
"Remainders","1"
"Replacement","1"
"Resolution","1"
"Resource Competition","1"
"Resource Scarcity","1"
"Resource Use","1"
"Restrictions","1"
"Reversal of Digits","1"
"Reverse Transactions","1"
"Right to Education & Quality","5"
"Right Triangle","1"
"Right-Angled Triangles","1"
"Rights and Duties","2"
"Rotation","1"
"Rousseau","1"
"Route Constraints","3"
"Routine & Efficiency","1"
"RTE Quotas","1"
"Sanitation Behavior","1"
"Sanitation Policy","1"
"Savings","1"
"Schedule vs Actual","1"
"Scheduling","2"
"Science & Faith","1"
"Science & Human Progress","1"
"Scientific Knowledge","1"
"Seating Arrangement","3"
"Sequence","2"
"Set Constraints","1"
"Set Logic","1"
"Set Relations","2"
"Set Theory","1"
"Sign Analysis","1"
"Skewness","1"
"Slope","1"
"Small Mammals","1"
"Smallholder Farmers & Climate Risk","2"
"Social Cleavages","1"
"Social Cohesion","1"
"Social Contract","1"
"Social Contract & General Will","1"
"Social Cooperation","1"
"Social Discrimination","2"
"Social Nature of Man","1"
"Social Progress","1"
"Social Transformation","1"
"Socioeconomic","2"
"Soil Carbon","1"
"Soil Degradation","4"
"Soil Erosion & Food Security","1"
"Sovereignty","1"
"Spirituality","1"
"Squares","3"
"Statement & Conclusion","2"
"Statement Conclusions","1"
"Statement Evaluation","2"
"Stigma","1"
"Stranded Assets","1"
"Structural Transformation","1"
"Sum of Distances","1"
"Supply Chain Risk","1"
"Supply-Demand Balance","1"
"Surface Area","1"
"Sustainable Biofuels","1"
"Sustainable Diets & Resources","1"
"Sustainable Farming","1"
"Syllogism","2"
"Symbol-Number Mapping","1"
"Synthetic Pesticides","1"
"Tax Revenue","1"
"Technological Progress","1"
"Telecom Infrastructure","1"
"Tele-density","1"
"Time & Work","1"
"Time Difference","2"
"Time Intervals","1"
"Time Measurement","1"
"Time-Distance","3"
"Total Sales","1"
"Traditional vs Modern Identities","1"
"Train","1"
"Transitivity","1"
"Trend Analysis","3"
"Tuberculosis & Social Determinants","1"
"Unit Cost","1"
"Universal Access","5"
"Untouchability","2"
"Urban Planning & Inclusion","1"
"Urban Poor","1"
"Urban Sanitation & Public Health","1"
"Valid Conclusions","1"
"Value Calculation","1"
"Venn Diagram","3"
"Volume","1"
"Water Conflicts","1"
"Water Cycle","1"
"Weekday Counting","2"
"Weighted Average","4"
"Weighted Outcomes","1"
"Wildlife Corridors & Conservation","2"
"with Slippage","1"
"Word Problems","1"
"Work & Leisure","1"
"Work Ethic","1"
"Work Progress","1"
"Work Rates","4"
"Workforce Trend","1"
"WTO Agriculture","1"
