"questionId","year","subject","questionType","reasoning_type","difficulty","static_vs_dynamic","suggested_difficulty","suggested_static_vs_dynamic","suggested_reasoning_type","passage_id","suggested_passage_id","question_nature","suggested_question_nature","primary_concept","concepts","concept_suggestions","questionText"
"UPSC_2016_GS1_Q37","2016","Economy","mcq_standard","","medium","dynamic","medium","dynamic","elimination","","","factual","conceptual","Global Governance Indices","Ease of Doing Business Index; World Bank","","India's ranking in the ""Ease of Doing Business Index"" is sometimes seen in the news. Which of the following has declared this ranking?"
"UPSC_2016_GS1_Q4","2016","Economy","statement_correct","","medium","static","medium","static","elimination","","","conceptual","elimination","Financial Inclusion","Payment Banks; Banking Regulation","Financial Inclusion","The establishment of ""Payment Banks"" is being allowed in India to promote financial inclusion. Which of the following statements is/are correct in this context? 1. Mobile telephone companies and supermarket chains that are owned and controlled by residents are eligible to be promoters of Payment Banks. 2. Payment Banks can issue both credit cards and debit cards. 3. Payment Banks cannot undertake lending activities. Select the correct answer using the code given below."
"UPSC_2016_GS1_Q47","2016","Science & Technology","mcq_standard","","medium","dynamic","medium","dynamic","elimination","","","factual","conceptual","Aerospace Technology","Electric Aircraft; NASA Technology","Space Missions","What is ""Greased Lightning-10 (GL-10)"", recently in the news?"
"UPSC_2016_GS1_Q52","2016","Environment","statement_correct","","medium","static","medium","static","elimination","","","conceptual","elimination","Ecosystem Valuation","Biodiversity Economics; TEEB Initiative","Biodiversity Conservation","With reference to an initiative called ""The Economics of Ecosystems and Biodiversity"" (TEEB), which of the following statements is/are correct? 1. It is an initiative hosted by UNEP, IMF and World Economic Forum. 2. It is a global initiative that focuses on drawing attention to the economic benefits of biodiversity. 3. It presents an approach that can help decision-makers recognize, demonstrate and capture the value of ecosystems and biodiversity. Select the correct answer using the code given below."
"UPSC_2016_GS1_Q66","2016","Economy","statement_correct","","medium","static","medium","static","elimination","","","conceptual","elimination","Cryptocurrency","Blockchain Technology; Digital Payments; Financial Regulation","","With reference to ""Bitcoins"", sometimes seen in the news, which of the following statements is/are correct? 1. Bitcoins are tracked by the Central Banks of the countries. 2. Anyone with a Bitcoin address can send and receive Bitcoins from anyone else with a Bitcoin address. 3. Online payments can be sent without either side knowing the identity of the other. Select the correct answer using the code given below."
"UPSC_2016_GS1_Q7","2016","Science & Technology","mcq_standard","","medium","dynamic","medium","dynamic","elimination","","","conceptual","factual","Power Sector Reforms","UDAY Scheme; DISCOM Financial Health","Energy Technologies; Nuclear Technology","Which one of the following is a purpose of UDAY, a scheme of the Government?"
"UPSC_2016_GS1_Q71","2016","Geography","mcq_standard","","medium","dynamic","medium","dynamic","elimination","","","conceptual","elimination","Gold Monetization Policy","Sovereign Gold Bonds; Gold Imports; Savings Mobilization","Indian Monsoon","What is/are the purpose/purposes of Government's ""Sovereign Gold Bond Scheme"" and ""Gold Monetization Scheme""? 1. To bring the idle gold lying with Indian households into the economy 2. To promote FDI in the gold and jewellery sector 3. To reduce India's dependence on gold imports Select the correct answer using the code given below."
"UPSC_2016_GS1_Q89","2016","Current Affairs","mcq_standard","","medium","static","medium","static","elimination","","","factual","conceptual","Oral Traditions in History","Oral Historiography; Cultural Memory","","With reference to the cultural history of India, the memorizing of chronicles, dynastic histories and epic tales was the profession of who of the following?"
"UPSC_2016_GS1_Q92","2016","History","mcq_standard","","medium","static","medium","static","elimination","","","factual","conceptual","Indian National Movement","Extremists vs Moderates; Surat Split (1907)","Modern India Timeline","What was the main reason for the split in the Indian National Congress at Surat in 1907?"
"UPSC_2016_GS1_Q95","2016","Polity","mcq_standard","","medium","static","medium","static","elimination","","","conceptual","conceptual","Indian Federalism","Legislative Powers; Rajya Sabha Special Powers","","The Parliament of India acquires power to legislate on any item in the State List in the national interest if a resolution to that effect is passed by the"
"UPSC_2017_CSAT_Q10","2017","Aptitude","statement_based","Elimination","hard","static","hard","static","elimination","CSAT_2017_SET_1","","","","Logical Reasoning","Syllogisms; Statement Evaluation","","With reference to the above information, consider the following statements: Some supporters of party ?X knew Z. Some supporters of party ?X, who opposed Zs campaign strategy, knew Z. No supporters of party ?X supported Zs campaign strategy. Which of the statements given above is/are not correct?"
"UPSC_2017_CSAT_Q20","2017","Aptitude","mcq_standard","Elimination","medium","static","medium","static","elimination","","","","","Profit & Loss","Percentage Change; Reverse Transactions","","Gopal sells at 10% profit, buys back at 10% loss. Net result?"
"UPSC_2017_CSAT_Q48","2017","Environment","statement_correct","Elimination","medium","static","medium","static","elimination","","","","","Biopesticides","Integrated Pest Management; Environmental Safety","","Which of the following statements is/are correct regarding biopesticides? They are not hazardous to human health. They are persistent in environment. They are essential to maintain the biodiversity of any ecosystem. Select the correct answer using the code given below."
"UPSC_2017_CSAT_Q61","2017","Environment","mcq_standard","Inference","medium","static","medium","static","inference","CSAT_2017_P16","","","","Air Pollution & AQI","Air Quality Index; Health Impacts of Air Pollution","","Which among the following is the most logical and rational inference that can be made from the above passage?"
"UPSC_2017_GS1_Q11","2017","Economy","statement_correct","","medium","dynamic","medium","dynamic","elimination","","","conceptual","elimination","Monetary Policy Committee","Inflation Targeting; RBI Governance","Monetary Policy; Fiscal Policy","Which of the following statements is/are correct regarding the Monetary Policy Committee (MPC)? 1. It decides the RBIs benchmark interest rates. 2. It is a 12-member body including the Governor of RBI and is reconstituted every year. 3. It functions under the chairmanship of the Union Finance Minister. Select the correct answer using the code given below:"
"UPSC_2017_GS1_Q13","2017","History","mcq_standard","","medium","static","medium","static","elimination","","","factual","elimination","Ryotwari Settlement","British Land Revenue Systems","Modern India Timeline","Who among the following was/were associated with the introduction of Ryotwari Settlement in India during the British rule? 1. Lord Cornwallis 2. Alexander Read 3. Thomas Munro Select the correct answer using the code given below:"
"UPSC_2017_GS1_Q21","2017","Environment","mcq_standard","","medium","static","medium","static","elimination","","","conceptual","elimination","Ecological Interdependence","Pollination; Trophic Interactions; Biodiversity Loss","Invasive Species","Due to some reason, if there is a huge fall in the population of species of butterflies, what could be its likely consequences? 1. Pollination of some plants could be adversely affected. 2. There could be a drastic increase in the fungal infections of some cultivated plants. 3. It could lead to a fall in the population of some species of wasps, spiders and birds. Select the correct answer using the code given below:"
"UPSC_2017_GS1_Q35","2017","Environment","mcq_standard","","medium","static","medium","static","elimination","","","factual","elimination","Wildlife Protection Act (1972)","Protected Species; Hunting Prohibitions","Wildlife Protection","According to the Wildlife (Protection) Act, 1972, which of the following animals cannot be hunted by any person except under some provisions provided by law? 1. Gharial 2. Indian wild ass 3. Wild buffalo Select the correct answer using the code given below:"
"UPSC_2017_GS1_Q37","2017","History","pair_match","","medium","static","medium","static","elimination","","","factual","conceptual","Early Political Associations","Indian Association; Madras Mahajana Sabha","Modern India Timeline","Consider the following pairs: 1. Radhakanta Deb ? First President of the British Indian Association 2. Gazulu Lakshminarasu Chetty ? Founder of the Madras Mahajana Sabha 3. Surendranath Banerjee ? Founder of the Indian Association Which of the above pairs is/are correctly matched?"
"UPSC_2017_GS1_Q48","2017","Polity","mcq_standard","","medium","static","medium","static","elimination","","","conceptual","conceptual","Constitutional Philosophy","Preamble; Directive Principles; Fundamental Rights","Fundamental Rights; Directive Principles","The mind of the makers of the Constitution of India is reflected in which of the following?"
"UPSC_2017_GS1_Q50","2017","Polity","mcq_standard","","medium","static","medium","static","elimination","","","factual","elimination","Parliamentary Accountability","Question Hour; Adjournment Motion; Supplementary Questions","","The Parliament of India exercises control over the functions of the Council of Ministers through 1. Adjournment motion 2. Question hour 3. Supplementary questions Select the correct answer using the code given below:"
"UPSC_2017_GS1_Q51","2017","Geography","mcq_standard","","medium","static","medium","static","elimination","","","factual","factual","Medieval Ports & Trade","Kakatiya Kingdom; Maritime Trade","","Which one of the following was a very important seaport in the Kakatiya kingdom?"
"UPSC_2017_GS1_Q56","2017","Economy","mcq_standard","","medium","static","medium","static","elimination","","","factual","conceptual","Multilateral Financing Institutions","World Bank Initiatives; Public-Private Partnerships","Capital Markets","The Global Infrastructure Facility is a/an"
"UPSC_2017_GS1_Q64","2017","Economy","mcq_standard","","medium","dynamic","medium","dynamic","elimination","","","factual","conceptual","Stressed Assets Resolution","Banking Reforms; S4A Scheme","","Which of the following best describes ?Scheme for Sustainable Structuring of Stressed Assets (S4A)?"
"UPSC_2017_GS1_Q78","2017","Science & Technology","mcq_standard","","medium","static","medium","static","elimination","","","conceptual","conceptual","Biotechnology","Cloning; Somatic Cell Nuclear Transfer","Nuclear Technology","Somatic Cell Nuclear Transfer technology is used for"
"UPSC_2017_GS1_Q84","2017","Geography","mcq_standard","","medium","static","medium","static","elimination","","","conceptual","conceptual","India's Maritime Strategy","Chabahar Port; Regional Connectivity","","Importance of Chabahar Port for India:"
"UPSC_2017_GS1_Q87","2017","Science & Technology","mcq_standard","","medium","static","medium","static","elimination","","","conceptual","conceptual","Space-based Gravitational Wave Astronomy","eLISA Mission; Gravitational Waves","Space Missions","What is the purpose of ?evolved Laser Interferometer Space Antenna (eLISA) project?"
"UPSC_2017_GS1_Q88","2017","Economy","mcq_standard","","medium","dynamic","medium","static","elimination","","","factual","elimination","Vidyanjali Scheme","Public-Private Participation in Education","","What is the purpose of ?Vidyanjali Yojana? 1. To enable the famous foreign educational institutions to open their campuses in India. 2. To increase the quality of education provided in government schools by taking help from the private sector and the community. 3. To encourage voluntary monetary contributions from private individuals and organizations so as to improve the infrastructure facilities for primary and secondary schools. Select the correct answer using the code given below:"
"UPSC_2017_GS1_Q96","2017","Polity","mcq_standard","","medium","static","medium","static","elimination","","","conceptual","elimination","President's Rule","Article 356; State Governance","Constitutional Bodies; Local Self-Government","Which of the following are **not necessarily** the consequences of the proclamation of the Presidents rule in a State? 1. Dissolution of the State Legislative Assembly 2. Removal of the Council of Ministers in the State 3. Dissolution of the local bodies Select the correct answer using the code given below:"
"UPSC_2017_GS1_Q99","2017","Polity","mcq_standard","","medium","static","medium","static","elimination","","","conceptual","conceptual","Parliamentary System","Collective Responsibility; Cabinet Government","Parliamentary Procedures","Out of the following statements, choose the one that brings out the principle underlying the **Cabinet form of Government**:"
"UPSC_2018_CSAT_Q28","2018","Geography","mcq_standard","","","medium","static","inference","","","","elimination","","","River Systems","Which of the following is/are the correct inference/inferences that can be made from the passage? Deforestation can cause changes in the course of rivers. Salinization of land takes place due to human activities only. Intense monoculture practice in plains is a major reason for desertification in Tropical Asia, Africa and South America. Select the correct answer using the code given below.",""
"UPSC_2018_CSAT_Q49","2018","Environment","mcq_standard","","","medium","static","assumption","","","","conceptual","","","Climate Change; Pollution Control","With reference to the above passage, the following assumptions have been made: Climate change is not a challenge for developed countries. Climate change is a complex policy issue and also a development issue for many countries. Ways and means of finance must be found to enable developing countries to enhance their adaptive capacity. Which of the above assumptions is/are valid?",""
"UPSC_2018_CSAT_Q53","2018","Economy","mcq_standard","","","medium","static","elimination","","","","conceptual","","","","What is the crucial message conveyed by the above passage?",""
"UPSC_2018_GS1_Q13","2018","Geography","mcq_standard","","","medium","dynamic","elimination","","","","elimination","","","","Which of the following has/have shrunk immensely/dried up in the recent past due to human activities? Aral Sea Black Sea Lake Baikal Select the correct answer using the code given below:",""
"UPSC_2018_GS1_Q20","2018","Polity","mcq_standard","","","medium","dynamic","elimination","","","","conceptual","","","Parliamentary Procedures","With reference to the Parliament of India, which of the following Parliamentary Committees scrutinizes and reports to the House whether the powers to make regulations, rules, sub-rules, by-laws, etc., conferred by the Constitution or delegated by the Parliament are being properly exercised by the Executive within the scope of such delegation?",""
"UPSC_2018_GS1_Q43","2018","Science & Technology","mcq_standard","","","medium","static","elimination","","","","conceptual","","","","What is ?Terminal High Altitude Area Defense (THAAD)?, sometimes seen in the news?",""
"UPSC_2018_GS1_Q57","2018","Environment","statement_based","","","hard","dynamic","elimination","","","","conceptual","","","Carbon Sequestration","Consider the following statements: The Earths magnetic field has reversed every few hundred thousand years. When the Earth was created more than 4000 million years ago, there was 54% oxygen and no carbon dioxide. When living organisms originated, they modified the early atmosphere of the Earth. Which of the statements given above is/are correct?",""
"UPSC_2018_GS1_Q58","2018","Science & Technology","mcq_standard","","","medium","dynamic","elimination","","","","conceptual","","","","The terms ?WannaCry?, ?Petya? and ?EternalBlue? sometimes mentioned in the news recently are related to",""
"UPSC_2018_GS1_Q75","2018","History","mcq_standard","","","medium","static","elimination","","","","factual","","","Modern India Timeline","Which one of the following statements does not apply to the system of Subsidiary Alliance introduced by Lord Wellesley?",""
"UPSC_2018_GS1_Q76","2018","History","mcq_standard","","","medium","static","elimination","","","","conceptual","","","Modern India Timeline","Which of the following led to the introduction of English Education in India? Charter Act of 1813 General Committee of Public Instruction, 1823 Orientalist and Anglicist Controversy Select the correct answer:",""
"UPSC_2018_GS1_Q78","2018","Polity","mcq_standard","","","medium","static","elimination","","","","conceptual","","","","In 1920, which of the following changed its name to ?Swarajya Sabha??",""
"UPSC_2018_GS1_Q79","2018","Polity","mcq_standard","","","medium","static","elimination","","","","conceptual","","","","In 1920, which of the following changed its name to ?Swarajya Sabha??",""
"UPSC_2018_GS1_Q80","2018","Economy","mcq_standard","","","medium","static","elimination","","","","conceptual","","","","Which among the following events happened earliest?",""
"UPSC_2018_GS1_Q83","2018","Current Affairs","mcq_standard","","","medium","static","elimination","","","","conceptual","","","Economy in News","The Partnership for Action on Green Economy (PAGE), a UN mechanism to assist countries transition towards greener and more inclusive economies, emerged at",""
"UPSC_2018_GS1_Q86","2018","Environment","mcq_standard","","","medium","static","elimination","","","","conceptual","","","Biodiversity Conservation","Why is a plant called Prosopis juliflora often mentioned in news?",""
"UPSC_2018_GS1_Q89","2018","History","pair_match","","","medium","static","elimination","","","","conceptual","","","Colonial Administration; Modern India Timeline","With reference to educational institutions during colonial rule in India, consider the following pairs: Institution ?"" Founder Sanskrit College at Benaras ?"" William Jones Calcutta Madrasa ?"" Warren Hastings Fort William College ?"" Arthur Wellesley Which of the pairs given above is/are correct?",""
"UPSC_2018_GS1_Q91","2018","Economy","mcq_standard","","","medium","static","elimination","","","","conceptual","","","","Consider the following events: The first democratically elected communist party government formed in a State in India. Indias then largest bank, Imperial Bank of India, was renamed State Bank of India. Air India was nationalised and became the national carrier. Goa became a part of independent India. Which of the following is the correct chronological sequence of the above events?",""
"UPSC_2018_GS1_Q92","2018","Polity","mcq_standard","","","medium","static","elimination","","","","conceptual","","","Directive Principles; Emergency Provisions","Right to Privacy is protected as an intrinsic part of Right to Life and Personal Liberty. Which of the following in the Constitution of India correctly and appropriately imply the above statement?",""
"UPSC_2018_GS1_Q94","2018","Environment","mcq_standard","","","medium","static","elimination","","","","factual","","","Wildlife Protection","In which one of the following States is Pakhui Wildlife Sanctuary located?",""
"UPSC_2018_GS1_Q97","2018","Economy","mcq_standard","","","medium","static","elimination","","","","conceptual","","","","Consider the following items: Cereal grains hulled Chicken eggs cooked Fish processed and canned Newspapers containing advertising material Which of the above items is/are exempted under GST (Goods and Services Tax)?",""
"UPSC_2019_CSAT_Q32","2019","Current Affairs","mcq_standard","","","medium","static","elimination","","","","elimination","","","","In a school, 60% students play cricket. A student who does not play cricket, plays football. Every football player has got a two-wheeler. Which of the following conclusions cannot be drawn from the above data? 60% of the students do not have two-wheelers. No cricketer has a two-wheeler. Cricket players do not play football. Select the correct answer using the code given below:",""
"UPSC_2019_CSAT_Q43","2019","Environment","mcq_standard","","","medium","static","inference","","","","factual","","","Biodiversity Conservation; Protected Areas; Invasive Species","Which one of the following is the most logical and rational inference that can be made from the above passage?",""
"UPSC_2019_CSAT_Q44","2019","Economy","mcq_standard","","","medium","static","assumption","","","","conceptual","","","","On the basis of the above passage, the following assumptions have been made: Food safety is a complex issue that calls for a multipronged solution. Great investments need to be made in developing the manpower for surveillance and training. India needs to make sufficient legislation for governing food processing industry. Which of the above assumptions is/are valid?",""
"UPSC_2019_CSAT_Q52","2019","Economy","mcq_standard","","","medium","static","assumption","","","","conceptual","","","","On the basis of the above passage, the following assumptions have been made: Food safety is a complex issue that calls for a multipronged solution. Great investments need to be made in developing the manpower for surveillance and training. India needs to make sufficient legislation for governing food processing industry. Which of the above assumptions is/are valid",""
"UPSC_2019_CSAT_Q55","2019","Economy","mcq_standard","","","medium","static","inference","","","","factual","","","Banking Regulation; Financial Inclusion","Which one of the following is the most logical, rational and crucial inference that can be derived from the above passage",""
"UPSC_2019_GS1_Q100","2019","Science & Technology","mcq_standard","","","medium","static","elimination","","","","conceptual","","","","Which statement is not correct?",""
"UPSC_2019_GS1_Q12","2019","History","statement_based","","","hard","static","elimination","","","","conceptual","","","Colonial Administration; Ancient Polities","Consider the following statements: 1. In the revenue administration of Delhi Sultanate, the in-charge of revenue collection was known as ""Amil"". 2. The Iqta system of Sultans of Delhi was an ancient indigenous institution. 3. The office of ""Mir Bakshi"" came into existence during the reign of Khalji Sultans of Delhi. Which of the statements given above is/are correct?",""
"UPSC_2019_GS1_Q15","2019","History","pair_match","","","medium","static","elimination","","","","conceptual","","","Modern India Timeline","With reference to Indian National Movement, consider the following pairs: Person - Position held 1. Sir Tej Bahadur Sapru - President, All India Liberal Federation 2. K. C. Neogy - Member, The Constituent Assembly 3. P. C. Joshi - General Secretary, Communist Party of India Which of the pairs given above is/are correctly matched?",""
"UPSC_2019_GS1_Q34","2019","Environment","statement_correct","","","medium","static","elimination","","","","elimination","","","Carbon Sequestration","Which of the following statements are correct about the deposits of ""methane hydrate""? 1. Global warming might trigger the release of methane gas from these deposits. 2. Large deposits of ""methane hydrate"" are found in Arctic Tundra and under the seafloor. 3. Methane in atmosphere oxidizes to carbon dioxide after a decade or two. Select the correct answer using the code given below.",""
"UPSC_2019_GS1_Q35","2019","Environment","mcq_standard","","","medium","static","elimination","","","","conceptual","","","Carbon Sequestration","Consider the following: 1. Carbon monoxide 2. Methane 3. Ozone 4. Sulphur dioxide Which of the above are released into atmosphere due to the burning of crop/biomass residue?",""
"UPSC_2019_GS1_Q4","2019","History","statement_based","","","hard","static","elimination","","","","conceptual","","","Modern India Timeline","Consider the following statements about the Charter Act of 1813: 1. It ended the trade monopoly of the East India Company in India except for trade in tea and trade with China. 2. It asserted the sovereignty of the British Crown over the Indian territories held by the Company. 3. The revenues of India were now controlled by the British Parliament. Which of the statements given above are correct?",""
"UPSC_2019_GS1_Q46","2019","Polity","statement_based","","","hard","static","elimination","","","","conceptual","","","","Consider the following statements: 1. The motion to impeach a Judge of the Supreme Court of India cannot be rejected by the Speaker of the Lok Sabha as per the Judges (Inquiry) Act, 1968. 2. The Constitution of India defines and gives details of what constitutes ""incapacity and proved misbehaviour"" of the Judges of the Supreme Court of India. 3. The details of the process of impeachment of the Judges of the Supreme Court of India are given in the Judges (Inquiry) Act, 1968. 4. If the motion for the impeachment of a Judge is taken up for voting, the law requires the motion to be backed by each House of the Parliament and supported by a majority of total membership of that House and by not less than two-thirds of total members of that House present and voting. Which of the statements given above is/are correct?",""
"UPSC_2019_GS1_Q47","2019","Polity","mcq_standard","","","medium","static","elimination","","","","conceptual","","","","The Ninth Schedule was introduced in the Constitution of India during the prime ministership of",""
"UPSC_2019_GS1_Q52","2019","Polity","mcq_standard","","","medium","static","elimination","","","","factual","","","Constitutional Bodies; Election Commission; Emergency Provisions","With reference to the Constitution of India, prohibitions or limitations or provisions contained in ordinary laws cannot act as prohibitions or limitations on the constitutional powers under Article 142. It could mean which one of the following?",""
"UPSC_2019_GS1_Q55","2019","Polity","mcq_standard","","","medium","static","elimination","","","","conceptual","","","","Which Article of the Constitution of India safeguards one's right to marry the person of one's choice?",""
"UPSC_2019_GS1_Q72","2019","Economy","mcq_standard","","","medium","dynamic","elimination","","","","conceptual","","","Fiscal Policy; Financial Inclusion","What was the purpose of Inter-Creditor Agreement signed by Indian banks and financial institutions recently?",""
"UPSC_2019_GS1_Q8","2019","Geography","mcq_standard","","","medium","static","tone","","","","conceptual","","","","In which of the following relief sculptures inscriptions is ""Ranyo Ashoka"" (King Ashoka) mentioned along with the stone portrait of Ashoka?",""
"UPSC_2019_GS1_Q84","2019","Geography","mcq_standard","","","medium","dynamic","elimination","","","","conceptual","","","","Among the agricultural commodities imported by India, which one accounts for the highest imports in terms of value in the last five years?",""
"UPSC_2019_GS1_Q89","2019","Science & Technology","mcq_standard","","","medium","static","elimination","","","","conceptual","","","Nuclear Technology","India signed the ""Action Plan for Prioritization and Implementation of Cooperation Areas in the Nuclear Field"" with which country?",""
"UPSC_2019_GS1_Q93","2019","Environment","mcq_standard","","","medium","dynamic","elimination","","","","conceptual","","","Invasive Species","With reference to recent developments in science, which is not correct?",""
"UPSC_2020_CSAT_Q23","2020","Economy","mcq_standard","","","medium","static","assumption","","","","conceptual","","","Capital Markets","With reference to the above passage, the following assumptions have been made: Lower tax rates in a country invariably translate into greater investments in higher education. Investment in the education of children ensures their economic freedom. Economic freedom has a positive impact on building up human capital. Which of the above assumptions is/are valid?",""
"UPSC_2020_CSAT_Q26","2020","Economy","mcq_standard","","","medium","static","assumption","","","","conceptual","","","Agriculture Economics; Employment & Poverty","With reference to the above passage, the following assumptions have been made: Structural and rural transformation is impossible when farms are mainly small and marginal. A good price incentive can trigger investments in agriculture. India needs to build value chains for high-value agri-products like livestock and horticulture. Higher global prices of agricultural commodities are essential for Indias poverty reduction. Which of the above assumptions are valid?",""
"UPSC_2020_CSAT_Q27","2020","Economy","mcq_standard","","","medium","static","elimination","","","","factual","","","Agriculture Economics; Employment & Poverty","Which one of the following statements best reflects the critical message of the passage?",""
"UPSC_2020_GS1_Q15","2020","Polity","mcq_standard","","","medium","static","elimination","","","","factual","","","Federalism; Fiscal Federalism; Parliamentary Procedures","In the context of India, which one of the following is the characteristic appropriate for bureaucracy?",""
"UPSC_2020_GS1_Q18","2020","Polity","statement_correct","","","medium","static","elimination","","","","elimination","","","Directive Principles; Emergency Provisions","With reference to the provisions contained in Part IV of the Constitution of India, which of the following statements is/are correct? 1. They shall be enforceable by courts. 2. They shall not be enforceable by any court. 3. The principles laid down in this part are to influence the making of laws by the State. Select the correct answer using the code given below:",""
"UPSC_2020_GS1_Q20","2020","Polity","statement_based","","","hard","dynamic","elimination","","","","conceptual","","","","Consider the following statements: 1. The President of India can summon a session of the Parliament at such place as he/she thinks fit. 2. The Constitution of India provides for three sessions of the Parliament in a year, but it is not mandatory to conduct all three sessions. 3. There is no minimum number of days that the Parliament is required to meet in a year. Which of the statements given above is/are correct?",""
"UPSC_2020_GS1_Q26","2020","History","statement_based","","","hard","static","elimination","","","","conceptual","","","Freedom Struggle; Colonial Administration","With reference to the book ""Desher Katha"" written by Sakharam Ganesh Deuskar during the freedom struggle, consider the following statements: 1. It warned against the Colonial State's hypnotic conquest of the mind. 2. It inspired the performance of swadeshi street plays and folk songs. 3. The use of ""desh"" by Deuskar was in the specific context of the region of Bengal. Which of the statements given above are correct?",""
"UPSC_2020_GS1_Q30","2020","Current Affairs","mcq_standard","","","medium","static","elimination","","","","conceptual","","","","Who among the following rulers advised his subjects through this inscription? ""Whosoever praises his religious sect or blames other sects out of excessive devotion to his own sect, with the view of glorifying his own sect, he rather injures his own sect very severely.""",""
"UPSC_2020_GS1_Q31","2020","History","mcq_standard","","","medium","static","elimination","","","","factual","","","Medieval Kingdoms; Modern India Timeline","Which one of the following is the correct description of the term ""paramita""?",""
"UPSC_2020_GS1_Q35","2020","History","mcq_standard","","","medium","static","elimination","","","","conceptual","","","Economic History; Modern India Timeline","With reference to the history of India, ""Ulgulan"" or the Great Tumult is the description of which of the following events?",""
