"Id","Weight","Total","Priority"
"Buddhist Sects","2","2",""
"Sustainable Development & Energy Transition","2","2",""
"Municipal Waste Management","2","2",""
"Organic Farming Risks","2","2",""
"State-Level Climate Action","2","2",""
"Science and Society","2","2",""
"Fiscal-Monetary Policy Interaction","2","2",""
"Green Technology Transition","2","2",""
"Food Conversion Efficiency","2","2",""
"Himalayan National Parks","2","2",""
"Corporate Capitalism & Growth","2","2",""
"Economic Insecurity & Inequality","2","2",""
"President's Rule","2","2",""
"Higher Education Pedagogy","2","2",""
"Invasive Species","2","2",""
"Big Data & Digital Sovereignty","2","2",""
"Energy Transition & Renewables","2","2",""
"Space-based Gravitational Wave Astronomy","2","2",""
"Office of Profit","1","1",""
"Ecological Interdependence","1","1",""
"Pneumococcal Conjugate Vaccine","1","1",""
"Ageing Population Countries","1","1",""
"Fiscal Responsibility & Debt","1","1",""
"Cement Industry Emissions","1","1",""
"Ganga Tributaries Sequence","1","1",""
"Agroforestry & Food Security","1","1",""
"Antimicrobial Resistance","1","1",""
"Bird Identification","1","1",""
"Fifth Schedule","1","1",""
"Wetland Ecosystem Services","1","1",""
"BIMSTEC","1","1",""
"Science & Social Responsibility","1","1",""
"Defence Rank Equivalence","1","1",""
"Urban Sustainability & Climate Change","1","1",""
"Constitutional Philosophy","1","1",""
"Central Bank Digital Currency","1","1",""
"RNA Interference","1","1",""
"River Sand Mining Impacts","1","1",""
"RBI Forex & Monetary Operations","1","1",""
"Fifth Generation Fighter Aircraft","1","1",""
"Wetlands & Ramsar","1","1",""
"E-Waste Rules","1","1",""
"Climate Change & Agriculture","1","1",""
"English Education Policy","1","1",""
"Current Affairs Country Events","1","1",""
"Constitution Amendment Ratification","1","1",""
"International Grains Council","1","1",""
"Poverty Line Methodology","1","1",""
"Global Competitiveness Index","1","1",""
"Nocturnal Wildlife","1","1",""
"IUCN Bodies","1","1",""
"EU Net-Zero Industry Act","1","1",""
"Pollination & Evolutionary Function","1","1",""
"Democratic Political Maturity","1","1",""
"Indian Princely States Policy","1","1",""
"Small Finance Banks","1","1",""
"Presidential Election","1","1",""
"India's Maritime Strategy","1","1",""
"Siachen Glacier Geography","1","1",""
"Ashokan Edicts & Dhamma","1","1",""
"Barasingha Conservation","1","1",""
"India-EU Trade Agreement","1","1",""
"Directive Principles Amendments","1","1",""
"World Rivers & Drainage","1","1",""
"3D Printing Applications","1","1",""
"Government Securities & Treasury Bills","1","1",""
"Oral Traditions in History","1","1",""
"Social Nature of Man","1","1",""
"Industrial Waste Utilization","1","1",""
"Food Security & Monoculture Risk","1","1",""
"PET","1","1",""
"Ukraine Neighbors","1","1",""
"Public Key Infrastructure","1","1",""
"Indian Handicrafts","1","1",""
"Mughal Music","1","1",""
"Operation Sadbhavana","1","1",""
"Native Trees","1","1",""
"Carbon Markets","1","1",""
"Lakes in India","1","1",""
"Buddhist Concepts","1","1",""
"System of Rice Intensification","1","1",""
"Minor Minerals Governance","1","1",""
"Indian Ocean Dipole","1","1",""
"Kho Kho World Cup 2025","1","1",""
"Contempt of Courts","1","1",""
"Carbon Sequestration Technology","1","1",""
"Political Economy","1","1",""
"Scheduled Tribes Recognition","1","1",""
"Air Pollution & AQI","1","1",""
"Solstice Daylength","1","1",""
"IAEA Safeguards & Nuclear Fuel","1","1",""
"India?s Memberships","1","1",""
"Nuclear Suppliers Group","1","1",""
"Denisovan Hominins","1","1",""
"Ajanta Cave Paintings","1","1",""
"Fiscal Indicators","1","1",""
"Wildlife Protection Law","1","1",""
"Public Health System","1","1",""
"Infrastructure Investment Trusts","1","1",""
"Non-Fungible Tokens","1","1",""
"Basic Structure & Judicial Review","1","1",""
"Wildlife Trade Monitoring","1","1",""
"Election Nomination Rules","1","1",""
"Buddhist Stupas","1","1",""
"Biorock Technology","1","1",""
"Pulses & Sustainable Agriculture","1","1",""
"Employment & Economic Growth","1","1",""
"Longitudes in India","1","1",""
"71st Amendment Languages","1","1",""
"Bills Lapse on Dissolution","1","1",""
"Atal Innovation Mission","1","1",""
"Equalization Levy","1","1",""
"Monoclonal Antibodies","1","1",""
"Speaker of Legislative Assembly","1","1",""
"Unified Payments Interface","1","1",""
"MPLADS Scheme","1","1",""
"North Eastern Council Composition","1","1",""
"Stellar Evolution","1","1",""
"Digital Society & Governance","1","1",""
"Vedic Civilization","1","1",""
"Champaran Satyagraha","1","1",""
"Leadership & Political Legitimacy","1","1",""
"Payment Data Localization","1","1",""
"Trust in Markets","1","1",""
"Elephants as Keystone Species","1","1",""
"Hundi","1","1",""
"Financial Sector Reforms","1","1",""
"Public Investment in Agriculture","1","1",""
"Purchasing Power Parity","1","1",""
"Digital Single Market Strategy","1","1",""
"Social Capital","1","1",""
"Capital Receipts","1","1",""
"Supreme Court Powers","1","1",""
"Pumped-Storage Hydropower","1","1",""
"Accelerometer Applications","1","1",""
"Medieval Gujarat & Portuguese","1","1",""
"Carbon Fertilization","1","1",""
"State and Liberty","1","1",""
"Cultural Festivals & Communities","1","1",""
"Fractional Orbital Bombardment System","1","1",""
"Atmospheric Radiation","1","1",""
"G20 Membership","1","1",""
"Constitutionalism","1","1",""
"Medieval Ports & Trade","1","1",""
"Biodiversity Management Committees","1","1",""
"January Isotherms","1","1",""
"Reactive Nitrogen Emissions","1","1",""
"Child Labour","1","1",""
"Rule of Law","1","1",""
"GPS Applications","1","1",""
"North Sea Bordering Countries","1","1",""
"Particularly Vulnerable Tribal Groups","1","1",""
"Keystone Species & Seed Dispersal","1","1",""
"Inflation Measurement","1","1",""
"Groundwater Regulation in India","1","1",""
"Resource-Rich Countries","1","1",""
"Vijayanagara Irrigation Works","1","1",""
"SO2 Emissions Source","1","1",""
"Cybersecurity Reporting","1","1",""
"Food Safety & Globalization","1","1",""
"Sahel Instability","1","1",""
"Multilateral Financing Institutions","1","1",""
"Crop Residue Burning","1","1",""
"Gandhi???s Sedition Quote","1","1",""
"WHO Air Quality Guidelines","1","1",""
"Constitutional Immunities","1","1",""
"Adaptive Immunity","1","1",""
"Middle-Income Trap","1","1",""
"Jagirdari & Zamindari","1","1",""
"COVID-19 Vaccines","1","1",""
"Indian Ports","1","1",""
"Land-Sea Thermal Contrast","1","1",""
"Deforestation & Desertification","1","1",""
"Poverty Measurement","1","1",""
"Genomic Breeding","1","1",""
"Food Safety & Public Health","1","1",""
"Light Pollution & Ecosystem Effects","1","1",""
"Science & Human Progress","1","1",""
"Tea Board of India","1","1",""
"Sports Awards in India","1","1",""
"Gold Monetization Policy","1","1",""
"Solar Power Manufacturing","1","1",""
"Household Financial Savings & Public Debt","1","1",""
"Aadhaar & Identity","1","1",""
"Economic Freedom & Education Investment","1","1",""
"Gold Trade & Reserves","1","1",""
"Regional Navigation Systems","1","1",""
"Ecoagriculture & Biodiversity","1","1",""
"PMSMA Scheme","1","1",""
"Charter Act 1833","1","1",""
"Leadership Development","1","1",""
"General Relativity","1","1",""
"Civil Nuclear Cooperation","1","1",""
"Humanitarian Crises","1","1",""
"Opportunity Cost","1","1",""
"Jaina Texts","1","1",""
"Global Oxygen Production","1","1",""
"Agricultural Income & Taxation","1","1",""
"Money Bill Procedure","1","1",""
"Zika Virus","1","1",""
"Mahajanapadas & Rivers","1","1",""
"Portuguese Introduced Crops","1","1",""
"Cyber Attacks","1","1",""
"Coal Pollution & Ash","1","1",""
"Bank Balance Sheet","1","1",""
"Scheduled Areas Administration","1","1",""
"PM Surya Ghar Yojana","1","1",""
"Indirect Transfers","1","1",""
"Human Evolution & Lactose Tolerance","1","1",""
"Malnutrition & Public Health","1","1",""
"OLED Technology","1","1",""
"Indian Freedom Struggle","1","1",""
"Carbon Cycle & Soil Carbon","1","1",""
"National Skills Qualification Framework","1","1",""
"Right against Exploitation","1","1",""
"Andes Mountains Countries","1","1",""
"Delimitation Commissions","1","1",""
"Banking Technology","1","1",""
"WTO Trade Facilitation Agreement","1","1",""
"Jain Philosophy","1","1",""
"Wildlife Protection Act Schedule VI","1","1",""
"Sanskrit & Jain Literature","1","1",""
"Cripps Mission Proposals","1","1",""
"Tuberculosis & Social Determinants","1","1",""
"Vidyanjali Scheme","1","1",""
"Historical Lessons for Leadership","1","1",""
"Astronomy Objects","1","1",""
"Aadhaar Act","1","1",""
"Political Parties & Leaders","1","1",""
"Climate Change Adaptation","1","1",""
"Rule of Law Index","1","1",""
"Climate-Smart Agriculture","1","1",""
"Wet-Bulb Temperature Impacts","1","1",""
"Ashokan Rock Edicts","1","1",""
"Domestic Content Requirement","1","1",""
"Non-Financial Debt","1","1",""
"Solar Storm Impacts","1","1",""
"Indian Forest Act","1","1",""
"Crop Diversity & Food Security","1","1",""
"Swadeshi Movement","1","1",""
"Industrial Relations Legislation","1","1",""
"IBRD Role","1","1",""
"Delhi Sultanate Revenue Administration","1","1",""
"Water Vapour Distribution","1","1",""
"Money Bill vs Finance Bill","1","1",""
"Wildlife Corridors","1","1",""
"Physical Capital Types","1","1",""
"US Sovereign Debt","1","1",""
"Manual Scavenging Rehabilitation","1","1",""
"Central Ground Water Authority","1","1",""
"Science & Philosophy","1","1",""
"Sun Temples in India","1","1",""
"Ashokan Inscriptions","1","1",""
"Indian Laws & Offences","1","1",""
"Directive Principles","1","1",""
"Cloud Radiative Effects","1","1",""
"Asian Infrastructure Investment Bank","1","1",""
"RTGs in Spacecraft","1","1",""
"Democracy & Administrative Competence","1","1",""
"Classical Sanskrit Scholars","1","1",""
"Judicial Impeachment Process","1","1",""
"Cocoa Producers","1","1",""
"RBI Income Sources","1","1",""
"Human Capital Formation","1","1",""
"Metaverse Concept","1","1",""
"Biodiversity Loss","1","1",""
"Preamble Legal Status","1","1",""
"Social Welfare","1","1",""
"Banks Board Bureau","1","1",""
"UNOPS S3i Investments","1","1",""
"Boards & Ministries","1","1",""
"Nitrogen Use Efficiency","1","1",""
"Union vs State Subjects","1","1",""
"Opinions & Success","1","1",""
"IMF Reserve Tranche","1","1",""
"Real Sector of Economy","1","1",""
"Rashtriya Gokul Mission","1","1",""
"Cooperative Banking Structure","1","1",""
"Political Development & Group Identity","1","1",""
"Media & Democratic Accountability","1","1",""
"Economic Progress & Leisure","1","1",""
"Governor Discretion & Bills","1","1",""
"Gandhism and Marxism","1","1",""
"Governance & Citizenship","1","1",""
"Nitric Oxide Physiology","1","1",""
"Agricultural Emissions","1","1",""
"Fertigation","1","1",""
"President Election & Powers","1","1",""
"Small Farmer Large Field Model","1","1",""
"Nari Shakti Vandan Adhiniyam","1","1",""
"Vietnam Economy","1","1",""
"Constitution Parts","1","1",""
"Senkaku Islands Dispute","1","1",""
"Capital Flight & ECBs","1","1",""
"Anaemia Mukt Bharat","1","1",""
"GDP Growth & Development","1","1",""
"Chess Olympiad 2022","1","1",""
"National Handloom Day","1","1",""
"Environment & Health Behavior","1","1",""
"UNESCO World Heritage 2023","1","1",""
"Portuguese Fort at Bhatkal","1","1",""
"EU Stability and Growth Pact","1","1",""
"10th Schedule Disqualification","1","1",""
"Money Multiplier","1","1",""
"Soil Health Card Scheme","1","1",""
"Community Reserve","1","1",""
"Coal Gasification Products","1","1",""
"Currency Crisis Risk","1","1",""
"Nature Solutions Finance Hub","1","1",""
"Extremophiles","1","1",""
"Kishangarh School of Painting","1","1",""
"Columbian Exchange Crops","1","1",""
"Currency Management","1","1",""
"Money Supply Measures","1","1",""
"Constitution Amendment","1","1",""
"Miyawaki Method","1","1",""
"Flag Code of India","1","1",""
"Indian Elephant Biology & Conservation","1","1",""
"Judicial Review","1","1",""
"Patents & Access","1","1",""
"Indian Patents Act","1","1",""
"WTO TRIMs Agreement","1","1",""
"Missile Defense Systems","1","1",""
"External Debt","1","1",""
"Internal Security & Preventive Detention","1","1",""
"Methane Hydrates","1","1",""
"Legal Tender","1","1",""
"Insect Classification","1","1",""
"Rajya Sabha Powers","1","1",""
"Primary Deficit Calculation","1","1",""
"Gravitational Waves","1","1",""
"CAMPA","1","1",""
"Industrial Farming & Sustainability","1","1",""
"Dalit Movement Publications","1","1",""
"European Travellers in India","1","1",""
"Consumerism & Environmental Sustainability","1","1",""
"Mughal Painting","1","1",""
"Historical Places & Present States","1","1",""
"Remote Sensing Applications","1","1",""
"Regional Connectivity Projects","1","1",""
"UNESCO Intangible Heritage","1","1",""
"Skill Development Programs","1","1",""
"Rights & Social Order","1","1",""
"Rare Earth Elements Uses","1","1",""
"Algal Biofuels","1","1",""
"Indus Valley Civilization","1","1",""
"Country News","1","1",""
"CBLO Instruments","1","1",""
"Intellectual Property Rights Policy","1","1",""
"Economic Sectors Classification","1","1",""
"Digital Economy & Privacy","1","1",""
"Atmospheric Phenomena","1","1",""
"Climate Change & Resource Conflicts","1","1",""
"Deciduous Trees","1","1",""
"Debt vs Equity Risk","1","1",""
"International Agreements & Initiatives","1","1",""
"Microplastic Pollution","1","1",""
"Groundwater Extraction","1","1",""
"Gharial Conservation","1","1",""
"Money Market Instruments","1","1",""
"Hydrogels Applications","1","1",""
"Probiotics","1","1",""
"Ministerial Eligibility & Disqualification","1","1",""
"Food Safety Regulation","1","1",""
"Constitutional Government","1","1",""
"World Toilet Organization","1","1",""
"Waste-to-Energy Technologies","1","1",""
"Nuclear Fuel & Power Generation","1","1",""
"Afghanistan Bordering Countries","1","1",""
"NATO Membership","1","1",""
"European Trading Powers in India","1","1",""
"Conservation Agriculture","1","1",""
"Global Compact for Migration","1","1",""
"Raja Ram Mohan Roy","1","1",""
"Chola Expeditions","1","1",""
"Tropical Rainforest Soils","1","1",""
"Finance Commission Devolution Criteria","1","1",""
"Syndicated Lending","1","1",""
"Biodiversity & Hydrological Cycle","1","1",""
"Indian Hill Ranges","1","1",""
"Stock Market Beta","1","1",""
"Biotechnology","1","1",""
"Urban Planning & Inclusion","1","1",""
"Import Cover","1","1",""
"Education System & Skills","1","1",""
"Astrophysics & Cosmology","1","1",""
"Nutrition Security & Crop Diversity","1","1",""
"Protected Areas","1","1",""
"Glaciers and Rivers","1","1",""
"UNGA Observer Status","1","1",""
"Social Cost of Carbon","1","1",""
"Indian History","1","1",""
"Monetary Policy Committee","1","1",""
"Membrane Bioreactors","1","1",""
"Right to Privacy","1","1",""
"Green Hydrogen Applications","1","1",""
"Democracy & Education","1","1",""
"Red Sea Characteristics","1","1",""
"Capital-Output Ratio","1","1",""
"Money Bill","1","1",""
"Green Hydrogen for Heavy Industry","1","1",""
"Flood & Drought Management","1","1",""
"Capital Budget","1","1",""
"Climate Types","1","1",""
"Right to Education","1","1",""
"Balance of Trade & Current Account","1","1",""
"Global Governance Indices","1","1",""
"Intangible Assets","1","1",""
"E-commerce FDI Rules","1","1",""
"Fanam","1","1",""
"Employment & Structural Transformation","1","1",""
"Foreign Direct Investment","1","1",""
"Environmental Toxicology","1","1",""
"Indian Reservoirs","1","1",""
"Poetry and Truth","1","1",""
"Fig-fig Wasp Mutualism","1","1",""
"Refugee Settlements in Kenya","1","1",""
"Agrobiodiversity Loss","1","1",""
"Atmospheric Dust Distribution","1","1",""
"Pollination Ecology","1","1",""
"Land Reforms","1","1",""
"Tidal Phenomena","1","1",""
"Indian Dynasties & Kings","1","1",""
"Democratic Decentralization","1","1",""
"Legal Services Authorities Act","1","1",""
"UN-Habitat","1","1",""
"15th Finance Commission Recommendations","1","1",""
"India?s Regional Trade","1","1",""
"Social Contract & General Will","1","1",""
"Pulse Crops in India","1","1",""
"Niger Seed Cultivation","1","1",""
"Fungus-Farming Insects","1","1",""
"Equality & Democracy","1","1",""
"Qubit","1","1",""
"Swadeshi Literature","1","1",""
"Early Political Associations","1","1",""
"Fixed-term Employment","1","1",""
"Early Medieval Dynasties","1","1",""
"Vernal Window & Ecosystems","1","1",""
"US-EU Trade and Technology Council","1","1",""
"Religious Freedom & State Regulation","1","1",""
"Blockchain Technology","1","1",""
"Traditional Performing Arts","1","1",""
"PM-SYM Scheme","1","1",""
"Indigo Cultivation Decline","1","1",""
"Climate Policy & Uncertainty","1","1",""
"Lokpal Provisions","1","1",""
"Mitochondrial Replacement Therapy","1","1",""
"Union Budget Procedure","1","1",""
"Hepatitis Viruses","1","1",""
"Home Rule League","1","1",""
"Education Equity","1","1",""
"Antibiotic Resistance & Livestock","1","1",""
"Convertible Bonds","1","1",""
"Polar Code","1","1",""
"Nitrogen-fixing Plants","1","1",""
"Indian Waterfalls","1","1",""
"Industrial Labour Legislation","1","1",""
"Tea-Producing States","1","1",""
"Fundamental Duties","1","1",""
"Indian Wetlands & Lakes","1","1",""
"Work & Leisure","1","1",""
"Modern Indian Timeline","1","1",""
"Slavery in Arthashastra","1","1",""
"Buddhist Sites","1","1",""
"Medieval Administrative Terms","1","1",""
"Water Resource Management","1","1",""
"Interest Coverage Ratio","1","1",""
"PFAS Pollution","1","1",""
"Financial Markets Regulation","1","1",""
"Inclusive Innovation & Inequality","1","1",""
"Archaeological Sites","1","1",""
"IMF SDR","1","1",""
"MSP Procurement Policy","1","1",""
"Aerospace Technology","1","1",""
"Right to Marry","1","1",""
"India Exports & PLI Scheme","1","1",""
"Open-source Digital Platforms","1","1",""
"IMFC","1","1",""
"Climate Adaptation & Food Security","1","1",""
"Wolbachia for Mosquito Control","1","1",""
"Cryptocurrency","1","1",""
"Sangam Practices","1","1",""
"Early Medieval Dynasties Chronology","1","1",""
"Parliamentary Accountability","1","1",""
"Water Ecosystems & Policy","1","1",""
"Ancient Religious Terms","1","1",""
"Climate Change & Polar Ecosystems","1","1",""
"Plant Descriptions","1","1",""
"Food Price Policy","1","1",""
"Tiger Reserves & Critical Tiger Habitat","1","1",""
"Israel-Palestine Conflict","1","1",""
"Presidential Election Electoral College","1","1",""
"Innovation Programs","1","1",""
"Artificial Rainmaking","1","1",""
"Reservoir Management & Flood Control","1","1",""
"Agro-biodiversity & Food Security","1","1",""
"IMF Emergency Financing","1","1",""
"British Colonial Rule","1","1",""
"Agricultural Market Reforms","1","1",""
"Equity Options Market","1","1",""
"AI Action Summit 2025","1","1",""
"Somnath Temple","1","1",""
"Science & Faith","1","1",""
"ASEAN Free Trade Partners","1","1",""
"Electoral Rights","1","1",""
"Cybersecurity & IoT Risks","1","1",""
"National Career Service","1","1",""
"Paris Agreement Article 6","1","1",""
"Hydrofluorocarbons Applications","1","1",""
"COP28 Climate & Health Declaration","1","1",""
"Industrial Revolution Impact on India","1","1",""
"Capabilities Approach to Poverty","1","1",""
"Ancient Indian Literature","1","1",""
"Yogavasi??ha Translation","1","1",""
"Antarctic Climate Change","1","1",""
"Gandikota Canyon","1","1",""
"Financial Instruments","1","1",""
"Concept of Equality","1","1",""
"Fiscal Deficits","1","1",""
"Ethnic Conflicts","1","1",""
"Coal Controller?s Organization","1","1",""
"Wood's Dispatch","1","1",""
"PNGRB Regulation Scope","1","1",""
"Urban Air Pollution Policy","1","1",""
"Fifth Schedule Areas","1","1",""
"Indian Fauna Distribution","1","1",""
"Financialization of Savings","1","1",""
"DPSP Enforceability","1","1",""
"Parliamentary Oversight of Regulators","1","1",""
"INSTC Corridor","1","1",""
"Constitutional Amendments","1","1",""
"Water Conservation in Agriculture","1","1",""
"Carbon Fibre Materials","1","1",""
"Constitution Amendments","1","1",""
"Freshwater Fish Distribution","1","1",""
"Metagenomics","1","1",""
"GM Food Import Rules","1","1",""
"Manufacturing Upgradation","1","1",""
"Biofuel Feedstocks","1","1",""
"Bureaucracy in India","1","1",""
"Consumer Product Safety","1","1",""
"Inclusive Wealth & Sustainability","1","1",""
"Desert National Park","1","1",""
"Multidimensional Poverty","1","1",""
"Mineral Resources in India","1","1",""
"Musk Deer Habitat","1","1",""
"Freedom Fighters","1","1",""
"Food Security & Nutrition","1","1",""
"BRICS 16th Summit","1","1",""
"Atmospheric Greenhouse Effect","1","1",""
"Acid Rain Causes","1","1",""
"Congo Basin Geography","1","1",""
"Buddhist Text Commentaries","1","1",""
"Earth's Early Atmosphere","1","1",""
"Plastics in Products","1","1",""
"Battery Cathode Materials","1","1",""
"UDHR and Indian Constitution","1","1",""
"National Rail Plan & Kavach","1","1",""
"Coriolis Force","1","1",""
"Presidential Pardoning Power","1","1",""
"Merchant Discount Rate","1","1",""
"Charter Act 1813","1","1",""
"State, Morality & Law","1","1",""
"Election Commission of India","1","1",""
"Indian Flying Fox","1","1",""
"Circular Economy Benefits","1","1",""
"Public Health & Community Hygiene","1","1",""
"Rivers & Cities","1","1",""
"Plant Defense & Pest Control","1","1",""
"Governor's Immunities","1","1",""
"Climate Risk & Investments","1","1",""
"WTO Agreements","1","1",""
"Food Security & Resource Management","1","1",""
"Global Indices","1","1",""
"Seas and Bordering Countries","1","1",""
"IoT Security","1","1",""
"National Pension System","1","1",""
"Legal Profession Regulation","1","1",""
"Pesticides","1","1",""
"Bioremediation","1","1",""
"Indian State Geography","1","1",""
"Exercise Mitra Shakti 2023","1","1",""
"Unnat Bharat Abhiyan","1","1",""
"Labour Reforms & Employment","1","1",""
"Space Missions & Microgravity","1","1",""
"Water Pollution Indicators","1","1",""
"Marsupials & Biogeography","1","1",""
"Venezuela Economy & Oil","1","1",""
"Peacock Tarantula","1","1",""
"Trade Union Movement","1","1",""
"Planning in India","1","1",""
"Drone Applications","1","1",""
"Big Cats Behavior","1","1",""
"Rock Permeability","1","1",""
"Investment Risk & Asset Allocation","1","1",""
"Troposphere Thickness","1","1",""
"Solar Power Projects in India","1","1",""
"Self-Help Groups","1","1",""
"SUMED Pipeline","1","1",""
"Indo-Islamic Architecture","1","1",""
"Social Reform & Women's Rights","1","1",""
"Indian Lakes & River Systems","1","1",""
"Parliamentary Sessions & Summoning","1","1",""
"100 Million Farmers Initiative","1","1",""
"Dams & Reservoirs","1","1",""
"Minor Minerals Regulation","1","1",""
"FCI Economic Cost","1","1",""
"Major Minerals","1","1",""
"Nanoparticles","1","1",""
"Committee on Subordinate Legislation","1","1",""
"Participatory Notes","1","1",""
"Ryotwari Settlement","1","1",""
"Plastic in Chewing Gum","1","1",""
"Sugarcane Cultivation Techniques","1","1",""
"Food Security vs Trade Rules","1","1",""
"Sustainable Aviation Fuel","1","1",""
"Asiatic Lion Conservation","1","1",""
"Visible Light Communication","1","1",""
"DILRMP","1","1",""
"Critical Minerals Policy","1","1",""
"Missile Systems","1","1",""
"Urban Sanitation & Public Health","1","1",""
"Poisonous Species","1","1",""
"Tropical Peatlands","1","1",""
"Recirculating Aquaculture System","1","1",""
"Software as a Service","1","1",""
"Famine in Somalia","1","1",""
"Vijayanagara Temple Architecture","1","1",""
"Solid Waste Management Rules 2016","1","1",""
"Digital Payments","1","1",""
"Coastal Geomorphology","1","1",""
"Coal Sector Nationalization","1","1",""
"Agroecology","1","1",""
"Non-Cooperation Programme","1","1",""
"Foundational Learning & Education","1","1",""
"Animal Habitats","1","1",""
"UN Convention against Corruption","1","1",""
"India Sanitation Coalition; NIUA","1","1",""
"Ecosystem Resilience & Climate Change","1","1",""
"Civil Society & State","1","1",""
"Sea Turtles & Marine Reptiles","1","1",""
"Thermal Power Plants & Water Stress","1","1",""
"Constitution Amendment Procedure","1","1",""
"Fuel Cell Vehicles Emissions","1","1",""
"Activated Carbon Adsorption","1","1",""
"Sustainable Road Construction","1","1",""
"Ayushman Bharat Digital Mission","1","1",""
"Commercialization of Agriculture","1","1",""
"Organization of Turkic States","1","1",""
"Kharif Crops Area","1","1",""
"Effective Exchange Rate","1","1",""
"Credit Rating Agencies","1","1",""
"Harijan Upliftment","1","1",""
"Education for Citizenship","1","1",""
"Nutrition Security & Food Systems","1","1",""
"UN Credentials Committee","1","1",""
"Sustainable Agriculture Practices","1","1",""
"UNCCD","1","1",""
"Genome Editing","1","1",""
"India CO2 Emissions Profile","1","1",""
"Chess Records","1","1",""
"Lok Sabha Ethics Committee","1","1",""
"Climate Justice","1","1",""
"Banking System Reforms","1","1",""
"Edible Oil Imports","1","1",""
"Global Rice Exports","1","1",""
"Bhakti Saints","1","1",""
"Alternative Investment Funds","1","1",""
"Gandharva Mahavidyalaya","1","1",""
"Maternity Benefit Act","1","1",""
"Indian Avifauna","1","1",""
"Inland Water Bodies","1","1",""
"Viruses & Hosts","1","1",""
"Greenwashing","1","1",""
"Sanitation Behavior","1","1",""
"Carbon Sequestration","1","1",""
"State Legislature Procedures","1","1",""
"Education & Culture","1","1",""
"Mercury Pollution","1","1",""
"Biochar in Agriculture","1","1",""
"Constitution Day","1","1",""
"Lake Faguibine","1","1",""
"RTGS vs NEFT","1","1",""
"Lead Bank Scheme","1","1",""
"Inter-State River Water Governance","1","1",""
"GM Mustard","1","1",""
"Inflation-Indexed Bonds","1","1",""
"GAGAN System","1","1",""
"Bengal Exports","1","1",""
"Natural Fibre Crops","1","1",""
"Monetary Policy Instruments","1","1",""
"Green Economy","1","1",""
"Cyber Insurance","1","1",""
"Indian Philosophers","1","1",""
"Animal Communication","1","1",""
"G20 Formation & Priorities","1","1",""
"Nature Restoration Law","1","1",""
"National Payments Corporation of India","1","1",""
"Greenfield Airports","1","1",""
"Carbon Capture & Sequestration","1","1",""
"Unemployment & Aspirations","1","1",""
"MSME Classification & Priority Sector","1","1",""
"Indian Physiography","1","1",""
"EP100 & Climate Group","1","1",""
"Geoengineering","1","1",""
