"questionId","year","subject","questionType","reasoning_type","difficulty","static_vs_dynamic","suggested_difficulty","suggested_static_vs_dynamic","suggested_reasoning_type","passage_id","suggested_passage_id","question_nature","suggested_question_nature","primary_concept","concepts","concept_suggestions","questionText"
"UPSC_2017_CSAT_Q2","2017","Aptitude","mcq_standard","Main Idea","medium","static","medium","static","elimination","CSAT_2017_P2","","","","Decision-Making & Perseverance","Resolution; Perseverance; Indecision","","The keynote that seems to be emerging from the passage is that:"
"UPSC_2017_CSAT_Q21","2017","Aptitude","mcq_standard","Main Idea","medium","static","medium","static","elimination","CSAT_2017_P9","","","","National Integration & Civic Responsibility","Communalism; Citizenship Duties; Social Cohesion","","The challenge the author of the above passage throws to the public is to achieve"
"UPSC_2017_CSAT_Q22","2017","Aptitude","mcq_standard","Main Idea","medium","static","medium","static","elimination","CSAT_2017_P10","","","","Social Contract & General Will","Rousseau; Popular Sovereignty","","In the light of the above passage, the nature of General Will is best described as"
"UPSC_2017_CSAT_Q23","2017","Aptitude","mcq_standard","Inference","medium","static","medium","static","elimination","CSAT_2017_P11","","","","Democratic Political Maturity","Sovereignty; Democratic Legitimacy","","What does the above passage imply?"
"UPSC_2017_CSAT_Q24","2017","Aptitude","mcq_standard","Main Idea","medium","static","medium","static","elimination","CSAT_2017_P12","","","","Civic Participation & Voting Duty","Political Participation; Electoral Responsibility","","This passage relates to"
"UPSC_2017_CSAT_Q25","2017","Aptitude","mcq_standard","Inference","medium","static","medium","static","elimination","CSAT_2017_P13","","","","Leadership & Political Legitimacy","Democratic Leadership; Dictatorship","","The passage seems to suggest that"
"UPSC_2017_CSAT_Q26","2017","Aptitude","mcq_standard","Assumption","medium","static","medium","static","assumption","CSAT_2017_P14","","","","Leisure and Human Progress","Creativity; Technological Progress","","With reference to the above passage, the following assumptions have been made: People always see leisure time as a gift and use it for acquiring more material possessions. Use of leisure by some people to produce new and original things has been the chief source of human progress. Which of these assumptions is/are valid?"
"UPSC_2017_CSAT_Q27","2017","Aptitude","mcq_standard","Assumption","medium","static","medium","static","assumption","CSAT_2017_P15","","","","Historical Lessons for Leadership","Military History; Leadership Traits","","With reference to the above passage, the following assumptions have been made: A study of the famous battles of history would help us understand the modern warfare. Studying the history is essential for anyone who aspires to be a leader. Which of these assumptions is/are valid?"
"UPSC_2017_CSAT_Q28","2017","Aptitude","mcq_standard","Elimination","medium","static","medium","static","elimination","","","","","Averages","Weighted Average; Mean Calculation","","Suppose the average weight of 9 persons is 50 kg. The average weight of the first 5 persons is 45 kg, whereas the average weight of the last 5 persons is 55 kg. Then the weight of the 5th person will be"
"UPSC_2017_CSAT_Q29","2017","Aptitude","mcq_standard","Elimination","medium","static","medium","static","elimination","","","","","Grouping and Selection","Logic Games; Set Constraints","","In a group of six women, there are four tennis players, four postgraduates in Sociology, one postgraduate in Commerce and three bank employees. Vimala and Kamala are the bank employees while Amala and Komala are unemployed. Komala and Nirmala are among the tennis players. Amala, Kamala, Komala and Nirmala are postgraduates in Sociology of whom two are bank employees. If Shyamala is a postgraduate in Commerce, who among the following is both a tennis player and a bank employee?"
